{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 26.221383387, 'lon': 127.667935516, 'time': 1072, 'x': 205.938, 'y': -1.313}
{'lat': 26.221383387, 'lon': 127.667935516, 'time': 1072, 'x': 205.938, 'y': -1.313, 'z': 175.0, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 28.067, 'thr1': -273.15, 'thr2': 25.913, 'thr3': 26.627, 'thr4': 28.794}
{'lat': 26.221383387, 'lon': 127.667935516, 'time': 1072, 'x': 205.938, 'y': -1.313, 'z': 175.0, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 28.067, 'thr1': -273.15, 'thr2': 25.913, 'thr3': 26.627, 'thr4': 28.794, 'thr5': 29.422, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 9.2, 'cel1': 6.2}
{'lat': 26.221383387, 'lon': 127.667935516, 'time': 1072, 'x': 205.938, 'y': -1.313, 'z': 175.0, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 28.067, 'thr1': -273.15, 'thr2': 25.913, 'thr3': 26.627, 'thr4': 28.794, 'thr5': 29.422, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 9.2, 'cel1': 6.2, 'cel2': 5.0, 'cel3': 4.6, 'cel4': 4.1, 'cel5': 3.9, 'rot0': 0}
{'lat': 26.221383387, 'lon': 127.667935516, 'time': 1072, 'x': 205.938, 'y': -1.313, 'z': 175.0, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 28.067, 'thr1': -273.15, 'thr2': 25.913, 'thr3': 26.627, 'thr4': 28.794, 'thr5': 29.422, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 9.2, 'cel1': 6.2, 'cel2': 5.0, 'cel3': 4.6, 'cel4': 4.1, 'cel5': 3.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0}
{'lat': 26.221383387, 'lon': 127.667935516, 'time': 1072, 'x': 205.938, 'y': -1.313, 'z': 175.0, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 28.067, 'thr1': -273.15, 'thr2': 25.913, 'thr3': 26.627, 'thr4': 28.794, 'thr5': 29.422, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 9.2, 'cel1': 6.2, 'cel2': 5.0, 'cel3': 4.6, 'cel4': 4.1, 'cel5': 3.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1082}
{'lat': 26.221383387, 'lon': 127.667935516, 'time': 1436, 'x': 206.438, 'y': -1.813, 'z': 173.563, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 28.067, 'thr1': -273.15, 'thr2': 25.913, 'thr3': 26.627, 'thr4': 28.794, 'thr5': 29.422, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 9.2, 'cel1': 6.2, 'cel2': 5.0, 'cel3': 4.6, 'cel4': 4.1, 'cel5': 3.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1082}
{'lat': 26.221383387, 'lon': 127.667935516, 'time': 1436, 'x': 206.438, 'y': -1.813, 'z': 173.563, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 28.275, 'thr1': -273.15, 'thr2': 26.014, 'thr3': 26.729, 'thr4': 28.69, 'thr5': 29.422, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 9.2, 'cel1': 6.2, 'cel2': 5.0, 'cel3': 4.6, 'cel4': 4.1, 'cel5': 3.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1082}
{'lat': 26.221383387, 'lon': 127.667935516, 'time': 1436, 'x': 206.438, 'y': -1.813, 'z': 173.563, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 28.275, 'thr1': -273.15, 'thr2': 26.014, 'thr3': 26.729, 'thr4': 28.69, 'thr5': 28.899, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 9.1, 'cel1': 6.3, 'cel2': 5.1, 'cel3': 4.7, 'cel4': 4.1, 'cel5': 3.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1082}
{'lat': 26.221383387, 'lon': 127.667935516, 'time': 1800, 'x': 206.375, 'y': -1.813, 'z': 173.563, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 28.275, 'thr1': -273.15, 'thr2': 26.014, 'thr3': 26.729, 'thr4': 28.69, 'thr5': 28.899, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 9.1, 'cel1': 6.3, 'cel2': 5.1, 'cel3': 4.7, 'cel4': 4.1, 'cel5': 3.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1446}
{'lat': 26.221383387, 'lon': 127.667935516, 'time': 1800, 'x': 206.375, 'y': -1.688, 'z': 172.813, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 27.242, 'thr1': -273.15, 'thr2': 26.218, 'thr3': 25.913, 'thr4': 29.108, 'thr5': 27.757, 'cur0': 6.7, 'cur1': 0.1, 'cur2': 5.5, 'cel0': 8.8, 'cel1': 7.0, 'cel2': 5.6, 'cel3': 5.1, 'cel4': 4.6, 'cel5': 4.5, 'rot0': 9, 'rot1': 24, 'rot2': 21, 'rot3': 58, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1811}
{'lat': 26.221383387, 'lon': 127.667935516, 'time': 2168, 'x': 206.438, 'y': -1.188, 'z': 173.75, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 27.242, 'thr1': -273.15, 'thr2': 26.218, 'thr3': 25.913, 'thr4': 29.108, 'thr5': 27.757, 'cur0': 6.7, 'cur1': 0.1, 'cur2': 5.5, 'cel0': 8.8, 'cel1': 7.0, 'cel2': 5.6, 'cel3': 5.1, 'cel4': 4.6, 'cel5': 4.5, 'rot0': 9, 'rot1': 24, 'rot2': 21, 'rot3': 58, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1811}
{'lat': 26.221383387, 'lon': 127.667935516, 'time': 2168, 'x': 206.438, 'y': -1.188, 'z': 173.75, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 28.067, 'thr1': -273.15, 'thr2': 25.811, 'thr3': 26.218, 'thr4': 29.108, 'thr5': 27.757, 'cur0': 6.7, 'cur1': 0.1, 'cur2': 5.5, 'cel0': 8.8, 'cel1': 7.0, 'cel2': 5.6, 'cel3': 5.1, 'cel4': 4.6, 'cel5': 4.5, 'rot0': 9, 'rot1': 24, 'rot2': 21, 'rot3': 58, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1811}
{'lat': 26.221383387, 'lon': 127.667935516, 'time': 2168, 'x': 206.438, 'y': -1.188, 'z': 173.75, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 28.067, 'thr1': -273.15, 'thr2': 25.811, 'thr3': 26.218, 'thr4': 28.586, 'thr5': 29.108, 'cur0': 7.0, 'cur1': 0.2, 'cur2': 5.5, 'cel0': 8.8, 'cel1': 7.0, 'cel2': 5.6, 'cel3': 5.1, 'cel4': 4.6, 'cel5': 4.5, 'rot0': 9, 'rot1': 24, 'rot2': 21, 'rot3': 58, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1811}
{'lat': 26.221383387, 'lon': 127.667935516, 'time': 2168, 'x': 206.438, 'y': -1.188, 'z': 173.75, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 28.067, 'thr1': -273.15, 'thr2': 25.811, 'thr3': 26.218, 'thr4': 28.586, 'thr5': 29.108, 'cur0': 7.0, 'cur1': 0.2, 'cur2': 5.7, 'cel0': 8.4, 'cel1': 6.4, 'cel2': 5.4, 'cel3': 5.0, 'cel4': 4.5, 'cel5': 4.5, 'rot0': 9, 'rot1': 24, 'rot2': 21, 'rot3': 58, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1811}
{'lat': 26.221383387, 'lon': 127.667935516, 'time': 2168, 'x': 206.438, 'y': -1.188, 'z': 173.75, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 28.067, 'thr1': -273.15, 'thr2': 25.811, 'thr3': 26.218, 'thr4': 28.586, 'thr5': 29.108, 'cur0': 7.0, 'cur1': 0.2, 'cur2': 5.7, 'cel0': 8.4, 'cel1': 6.4, 'cel2': 5.4, 'cel3': 5.0, 'cel4': 4.5, 'cel5': 4.3, 'rot0': 24, 'rot1': 40, 'rot2': 39, 'rot3': 76, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1811}
