{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 26.2214471, 'lon': 127.667961783}
{'lat': 26.221439003, 'lon': 127.667961783, 'time': 1082, 'x': 200.0, 'y': -1.188}
{'lat': 26.221439003, 'lon': 127.667961783, 'time': 1082, 'x': 200.0, 'y': -1.188, 'z': 175.375, 'watertmp': 25.9, 'depth': 0.4, 'thr0': 28.275}
{'lat': 26.221439003, 'lon': 127.667961783, 'time': 1082, 'x': 200.0, 'y': -1.188, 'z': 175.375, 'watertmp': 25.9, 'depth': 0.4, 'thr0': 28.275, 'thr1': -273.15, 'thr2': 25.506, 'thr3': 26.218, 'thr4': 28.69, 'thr5': 29.003}
{'lat': 26.221439003, 'lon': 127.667961783, 'time': 1082, 'x': 200.0, 'y': -1.188, 'z': 175.375, 'watertmp': 25.9, 'depth': 0.4, 'thr0': 28.275, 'thr1': -273.15, 'thr2': 25.506, 'thr3': 26.218, 'thr4': 28.69, 'thr5': 29.003, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 8.3}
{'lat': 26.221439003, 'lon': 127.667961783, 'time': 1082, 'x': 200.0, 'y': -1.188, 'z': 175.375, 'watertmp': 25.9, 'depth': 0.4, 'thr0': 28.275, 'thr1': -273.15, 'thr2': 25.506, 'thr3': 26.218, 'thr4': 28.69, 'thr5': 29.003, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 8.3, 'cel1': 5.7, 'cel2': 4.7, 'cel3': 4.4, 'cel4': 3.9}
{'lat': 26.221439003, 'lon': 127.667961783, 'time': 1082, 'x': 200.0, 'y': -1.188, 'z': 175.375, 'watertmp': 25.9, 'depth': 0.4, 'thr0': 28.275, 'thr1': -273.15, 'thr2': 25.506, 'thr3': 26.218, 'thr4': 28.69, 'thr5': 29.003, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 8.3, 'cel1': 5.7, 'cel2': 4.7, 'cel3': 4.4, 'cel4': 3.9, 'cel5': 3.7, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0}
{'lat': 26.221439003, 'lon': 127.667961783, 'time': 1082, 'x': 200.0, 'y': -1.188, 'z': 175.375, 'watertmp': 25.9, 'depth': 0.4, 'thr0': 28.275, 'thr1': -273.15, 'thr2': 25.506, 'thr3': 26.218, 'thr4': 28.69, 'thr5': 29.003, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 8.3, 'cel1': 5.7, 'cel2': 4.7, 'cel3': 4.4, 'cel4': 3.9, 'cel5': 3.7, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1091}
{'lat': 26.221439003, 'lon': 127.667961783, 'time': 1445, 'x': 201.563, 'y': -1.188, 'z': 175.375, 'watertmp': 25.9, 'depth': 0.4, 'thr0': 28.275, 'thr1': -273.15, 'thr2': 25.506, 'thr3': 26.218, 'thr4': 28.69, 'thr5': 29.003, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 8.3, 'cel1': 5.7, 'cel2': 4.7, 'cel3': 4.4, 'cel4': 3.9, 'cel5': 3.7, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1091}
{'lat': 26.221439003, 'lon': 127.667961783, 'time': 1445, 'x': 201.563, 'y': -1.188, 'z': 174.188, 'watertmp': 25.9, 'depth': 0.4, 'thr0': 28.275, 'thr1': -273.15, 'thr2': 25.608, 'thr3': 26.32, 'thr4': 28.69, 'thr5': 29.003, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 8.3, 'cel1': 5.7, 'cel2': 4.7, 'cel3': 4.4, 'cel4': 3.9, 'cel5': 3.7, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1091}
{'lat': 26.221439003, 'lon': 127.667961783, 'time': 1445, 'x': 201.563, 'y': -1.188, 'z': 174.188, 'watertmp': 25.9, 'depth': 0.4, 'thr0': 28.275, 'thr1': -273.15, 'thr2': 25.608, 'thr3': 26.32, 'thr4': 28.899, 'thr5': 28.794, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 8.3, 'cel1': 5.7, 'cel2': 4.7, 'cel3': 4.4, 'cel4': 3.9, 'cel5': 3.7, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1091}
{'lat': 26.221439003, 'lon': 127.667961783, 'time': 1445, 'x': 201.563, 'y': -1.188, 'z': 174.188, 'watertmp': 25.9, 'depth': 0.4, 'thr0': 28.275, 'thr1': -273.15, 'thr2': 25.608, 'thr3': 26.32, 'thr4': 28.899, 'thr5': 28.794, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 8.2, 'cel1': 5.7, 'cel2': 4.7, 'cel3': 4.4, 'cel4': 4.0, 'cel5': 3.7, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1456}
{'lat': 26.221439003, 'lon': 127.667961783, 'time': 1810, 'x': 203.25, 'y': -0.938, 'z': 172.938, 'watertmp': 25.9, 'depth': 0.4, 'thr0': 28.067, 'thr1': -273.15, 'thr2': 24.798, 'thr3': 26.525, 'thr4': 28.275, 'thr5': 29.003, 'cur0': 5.2, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 8.2, 'cel1': 5.7, 'cel2': 4.7, 'cel3': 4.4, 'cel4': 4.0, 'cel5': 3.7, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1456}
{'lat': 26.221439003, 'lon': 127.667961783, 'time': 1810, 'x': 203.25, 'y': -0.938, 'z': 172.938, 'watertmp': 25.9, 'depth': 0.4, 'thr0': 28.067, 'thr1': -273.15, 'thr2': 24.798, 'thr3': 26.525, 'thr4': 28.275, 'thr5': 29.003, 'cur0': 5.2, 'cur1': 0.0, 'cur2': 6.1, 'cel0': 7.6, 'cel1': 6.2, 'cel2': 5.1, 'cel3': 4.7, 'cel4': 4.4, 'cel5': 4.3, 'rot0': 10, 'rot1': 17, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1456}
{'lat': 26.221439003, 'lon': 127.667961783, 'time': 1810, 'x': 203.25, 'y': -0.938, 'z': 172.938, 'watertmp': 25.9, 'depth': 0.4, 'thr0': 28.067, 'thr1': -273.15, 'thr2': 24.798, 'thr3': 26.525, 'thr4': 28.275, 'thr5': 29.003, 'cur0': 5.2, 'cur1': 0.0, 'cur2': 6.1, 'cel0': 7.6, 'cel1': 6.2, 'cel2': 5.1, 'cel3': 4.7, 'cel4': 4.4, 'cel5': 4.3, 'rot0': 10, 'rot1': 17, 'rot2': 13, 'rot3': 46, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1821}
{'lat': 26.221439003, 'lon': 127.667961783, 'time': 2179, 'x': 204.438, 'y': -0.938, 'z': 172.938, 'watertmp': 25.9, 'depth': 0.4, 'thr0': 28.067, 'thr1': -273.15, 'thr2': 24.798, 'thr3': 26.525, 'thr4': 28.275, 'thr5': 29.003, 'cur0': 5.2, 'cur1': 0.0, 'cur2': 6.1, 'cel0': 7.6, 'cel1': 6.2, 'cel2': 5.1, 'cel3': 4.7, 'cel4': 4.4, 'cel5': 4.3, 'rot0': 10, 'rot1': 17, 'rot2': 13, 'rot3': 46, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1821}
{'lat': 26.221439003, 'lon': 127.667961783, 'time': 2179, 'x': 204.438, 'y': -1.25, 'z': 172.25, 'watertmp': 25.9, 'depth': 0.4, 'thr0': 28.067, 'thr1': -273.15, 'thr2': 24.798, 'thr3': 26.525, 'thr4': 28.275, 'thr5': 29.003, 'cur0': 5.2, 'cur1': 0.0, 'cur2': 6.1, 'cel0': 7.6, 'cel1': 6.2, 'cel2': 5.1, 'cel3': 4.7, 'cel4': 4.4, 'cel5': 4.3, 'rot0': 10, 'rot1': 17, 'rot2': 13, 'rot3': 46, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1821}
{'lat': 26.221439003, 'lon': 127.667961783, 'time': 2179, 'x': 204.438, 'y': -1.25, 'z': 172.25, 'watertmp': 25.9, 'depth': 0.4, 'thr0': 28.171, 'thr1': -273.15, 'thr2': 24.798, 'thr3': 26.525, 'thr4': 28.275, 'thr5': 29.003, 'cur0': 5.2, 'cur1': 0.0, 'cur2': 6.1, 'cel0': 7.6, 'cel1': 6.2, 'cel2': 5.1, 'cel3': 4.7, 'cel4': 4.4, 'cel5': 4.3, 'rot0': 10, 'rot1': 17, 'rot2': 13, 'rot3': 46, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1821}
