{}
{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1082, 'x': 215.188, 'y': -1.75, 'z': 172.25, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 25.0, 'thr1': -273.15}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1082, 'x': 215.188, 'y': -1.75, 'z': 172.25, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 25.0, 'thr1': -273.15, 'thr2': 22.791}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1082, 'x': 215.188, 'y': -1.75, 'z': 172.25, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 25.0, 'thr1': -273.15, 'thr2': 22.791, 'thr3': 25.202, 'thr4': 25.913, 'thr5': 23.591, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.4, 'cel1': 7.6, 'cel2': 6.1, 'cel3': 5.4, 'cel4': 4.7, 'cel5': 4.4, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1447, 'x': 215.438, 'y': -1.75, 'z': 172.25, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 25.0, 'thr1': -273.15, 'thr2': 22.791, 'thr3': 25.202, 'thr4': 25.913, 'thr5': 23.591, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.4, 'cel1': 7.6, 'cel2': 6.1, 'cel3': 5.4, 'cel4': 4.7, 'cel5': 4.4, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1447, 'x': 215.438, 'y': -1.75, 'z': 172.688, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 24.697, 'thr1': -273.15, 'thr2': 22.791, 'thr3': 25.202, 'thr4': 25.913, 'thr5': 23.591, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.4, 'cel1': 7.6, 'cel2': 6.1, 'cel3': 5.4, 'cel4': 4.7, 'cel5': 4.4, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1447, 'x': 215.438, 'y': -1.75, 'z': 172.688, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 24.697, 'thr1': -273.15, 'thr2': 22.492, 'thr3': 25.0, 'thr4': 25.913, 'thr5': 23.591, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.4, 'cel1': 7.6, 'cel2': 6.1, 'cel3': 5.4, 'cel4': 4.7, 'cel5': 4.4, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1447, 'x': 215.438, 'y': -1.75, 'z': 172.688, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 24.697, 'thr1': -273.15, 'thr2': 22.492, 'thr3': 25.0, 'thr4': 25.709, 'thr5': 23.491, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.4, 'cel1': 7.6, 'cel2': 6.1, 'cel3': 5.4, 'cel4': 4.7, 'cel5': 4.4, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1447, 'x': 215.438, 'y': -1.75, 'z': 172.688, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 24.697, 'thr1': -273.15, 'thr2': 22.492, 'thr3': 25.0, 'thr4': 25.709, 'thr5': 23.491, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.4, 'cel1': 7.7, 'cel2': 6.1, 'cel3': 5.4, 'cel4': 4.7, 'cel5': 4.4, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1447, 'x': 215.438, 'y': -1.75, 'z': 172.688, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 24.697, 'thr1': -273.15, 'thr2': 22.492, 'thr3': 25.0, 'thr4': 25.709, 'thr5': 23.491, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.4, 'cel1': 7.7, 'cel2': 6.1, 'cel3': 5.4, 'cel4': 4.8, 'cel5': 4.4, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1813, 'x': 214.313, 'y': -2.25, 'z': 172.688, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 24.697, 'thr1': -273.15, 'thr2': 22.492, 'thr3': 25.0, 'thr4': 25.709, 'thr5': 23.491, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.4, 'cel1': 7.7, 'cel2': 6.1, 'cel3': 5.4, 'cel4': 4.8, 'cel5': 4.4, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1457}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1813, 'x': 214.313, 'y': -2.25, 'z': 175.438, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 25.0, 'thr1': -273.15, 'thr2': 22.791, 'thr3': 25.202, 'thr4': 25.913, 'thr5': 23.491, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.4, 'cel1': 7.7, 'cel2': 6.1, 'cel3': 5.4, 'cel4': 4.8, 'cel5': 4.4, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1457}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1813, 'x': 214.313, 'y': -2.25, 'z': 175.438, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 25.0, 'thr1': -273.15, 'thr2': 22.791, 'thr3': 25.202, 'thr4': 25.913, 'thr5': 23.892, 'cur0': 0.0, 'cur1': 1.1, 'cur2': 0.0, 'cel0': 11.4, 'cel1': 7.7, 'cel2': 6.1, 'cel3': 5.4, 'cel4': 4.8, 'cel5': 4.4, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1457}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1813, 'x': 214.313, 'y': -2.25, 'z': 175.438, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 25.0, 'thr1': -273.15, 'thr2': 22.791, 'thr3': 25.202, 'thr4': 25.913, 'thr5': 23.892, 'cur0': 0.0, 'cur1': 1.1, 'cur2': 0.0, 'cel0': 11.4, 'cel1': 7.7, 'cel2': 6.2, 'cel3': 5.5, 'cel4': 4.8, 'cel5': 4.4, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1457}
