{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 26.221471701, 'lon': 127.668006395}
{'lat': 26.221471701, 'lon': 127.668006395, 'time': 1082, 'x': 168.875, 'y': -0.813, 'z': 172.625, 'watertmp': 25.5, 'depth': 0.3, 'thr0': 25.506}
{'lat': 26.221471701, 'lon': 127.668006395, 'time': 1082, 'x': 168.875, 'y': -0.813, 'z': 172.625, 'watertmp': 25.5, 'depth': 0.3, 'thr0': 25.506, 'thr1': -273.15, 'thr2': 24.596, 'thr3': 24.294}
{'lat': 26.221471701, 'lon': 127.668006395, 'time': 1082, 'x': 168.875, 'y': -0.813, 'z': 172.625, 'watertmp': 25.5, 'depth': 0.3, 'thr0': 25.506, 'thr1': -273.15, 'thr2': 24.596, 'thr3': 24.294, 'thr4': 25.913, 'thr5': 25.0, 'cur0': 0.0}
{'lat': 26.221471701, 'lon': 127.668006395, 'time': 1082, 'x': 168.875, 'y': -0.813, 'z': 172.625, 'watertmp': 25.5, 'depth': 0.3, 'thr0': 25.506, 'thr1': -273.15, 'thr2': 24.596, 'thr3': 24.294, 'thr4': 25.913, 'thr5': 25.0, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.4, 'cel1': 7.7, 'cel2': 6.0, 'cel3': 5.3}
{'lat': 26.221471701, 'lon': 127.668006395, 'time': 1082, 'x': 168.875, 'y': -0.813, 'z': 172.625, 'watertmp': 25.5, 'depth': 0.3, 'thr0': 25.506, 'thr1': -273.15, 'thr2': 24.596, 'thr3': 24.294, 'thr4': 25.913, 'thr5': 25.0, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.4, 'cel1': 7.7, 'cel2': 6.0, 'cel3': 5.3, 'cel4': 4.7, 'cel5': 4.2}
{'lat': 26.221471701, 'lon': 127.668006395, 'time': 1082, 'x': 168.875, 'y': -0.813, 'z': 172.625, 'watertmp': 25.5, 'depth': 0.3, 'thr0': 25.506, 'thr1': -273.15, 'thr2': 24.596, 'thr3': 24.294, 'thr4': 25.913, 'thr5': 25.0, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.4, 'cel1': 7.7, 'cel2': 6.0, 'cel3': 5.3, 'cel4': 4.7, 'cel5': 4.2, 'rot0': 0}
{'lat': 26.221471701, 'lon': 127.668006395, 'time': 1082, 'x': 168.875, 'y': -0.813, 'z': 172.625, 'watertmp': 25.5, 'depth': 0.3, 'thr0': 25.506, 'thr1': -273.15, 'thr2': 24.596, 'thr3': 24.294, 'thr4': 25.913, 'thr5': 25.0, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.4, 'cel1': 7.7, 'cel2': 6.0, 'cel3': 5.3, 'cel4': 4.7, 'cel5': 4.2, 'rot0': 0, 'rot1': 0, 'rot2': 0}
{'lat': 26.221471701, 'lon': 127.668006395, 'time': 1447, 'x': 169.438, 'y': -2.125, 'z': 173.5, 'watertmp': 25.5, 'depth': 0.3, 'thr0': 25.506, 'thr1': -273.15, 'thr2': 24.596, 'thr3': 24.294, 'thr4': 25.913, 'thr5': 25.0, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.4, 'cel1': 7.7, 'cel2': 6.0, 'cel3': 5.3, 'cel4': 4.7, 'cel5': 4.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 26.221471701, 'lon': 127.668006395, 'time': 1447, 'x': 169.438, 'y': -2.125, 'z': 173.5, 'watertmp': 25.5, 'depth': 0.3, 'thr0': 25.405, 'thr1': -273.15, 'thr2': 24.596, 'thr3': 24.294, 'thr4': 25.913, 'thr5': 24.899, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.4, 'cel1': 7.7, 'cel2': 6.0, 'cel3': 5.3, 'cel4': 4.7, 'cel5': 4.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 26.221471701, 'lon': 127.668006395, 'time': 1447, 'x': 169.438, 'y': -2.125, 'z': 173.5, 'watertmp': 25.5, 'depth': 0.3, 'thr0': 25.405, 'thr1': -273.15, 'thr2': 24.596, 'thr3': 24.294, 'thr4': 25.913, 'thr5': 24.899, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.4, 'cel1': 7.7, 'cel2': 6.1, 'cel3': 5.4, 'cel4': 4.7, 'cel5': 4.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 26.221471701, 'lon': 127.668006395, 'time': 1447, 'x': 169.438, 'y': -2.125, 'z': 173.5, 'watertmp': 25.5, 'depth': 0.3, 'thr0': 25.405, 'thr1': -273.15, 'thr2': 24.596, 'thr3': 24.294, 'thr4': 25.913, 'thr5': 24.899, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.4, 'cel1': 7.7, 'cel2': 6.1, 'cel3': 5.4, 'cel4': 4.7, 'cel5': 4.3, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 26.221471701, 'lon': 127.668006395, 'time': 1813, 'x': 169.375, 'y': -1.938, 'z': 173.5, 'watertmp': 25.5, 'depth': 0.3, 'thr0': 25.405, 'thr1': -273.15, 'thr2': 24.596, 'thr3': 24.294, 'thr4': 25.913, 'thr5': 24.899, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.4, 'cel1': 7.7, 'cel2': 6.1, 'cel3': 5.4, 'cel4': 4.7, 'cel5': 4.3, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1458}
{'lat': 26.221471701, 'lon': 127.668006395, 'time': 1813, 'x': 169.375, 'y': -1.938, 'z': 172.25, 'watertmp': 25.5, 'depth': 0.3, 'thr0': 25.405, 'thr1': -273.15, 'thr2': 22.691, 'thr3': 24.193, 'thr4': 25.913, 'thr5': 24.899, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.4, 'cel1': 7.7, 'cel2': 6.1, 'cel3': 5.4, 'cel4': 4.7, 'cel5': 4.3, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1458}
{'lat': 26.221471701, 'lon': 127.668006395, 'time': 1813, 'x': 169.375, 'y': -1.938, 'z': 172.25, 'watertmp': 25.5, 'depth': 0.3, 'thr0': 25.405, 'thr1': -273.15, 'thr2': 22.691, 'thr3': 24.193, 'thr4': 24.093, 'thr5': 24.899, 'cur0': 12.1, 'cur1': 0.2, 'cur2': 11.0, 'cel0': 11.4, 'cel1': 7.7, 'cel2': 6.1, 'cel3': 5.4, 'cel4': 4.7, 'cel5': 4.3, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1458}
{'lat': 26.221471701, 'lon': 127.668006395, 'time': 1813, 'x': 169.375, 'y': -1.938, 'z': 172.25, 'watertmp': 25.5, 'depth': 0.3, 'thr0': 25.405, 'thr1': -273.15, 'thr2': 22.691, 'thr3': 24.193, 'thr4': 24.093, 'thr5': 24.899, 'cur0': 12.1, 'cur1': 0.2, 'cur2': 11.0, 'cel0': 11.1, 'cel1': 8.9, 'cel2': 6.9, 'cel3': 5.4, 'cel4': 4.7, 'cel5': 4.3, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1458}
{'lat': 26.221471701, 'lon': 127.668006395, 'time': 1813, 'x': 169.375, 'y': -1.938, 'z': 172.25, 'watertmp': 25.5, 'depth': 0.3, 'thr0': 25.405, 'thr1': -273.15, 'thr2': 22.691, 'thr3': 24.193, 'thr4': 24.093, 'thr5': 24.899, 'cur0': 12.1, 'cur1': 0.2, 'cur2': 11.0, 'cel0': 11.1, 'cel1': 8.9, 'cel2': 6.9, 'cel3': 6.3, 'cel4': 5.8, 'cel5': 5.6, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1458}
{'lat': 26.221471701, 'lon': 127.668006395, 'time': 1813, 'x': 169.375, 'y': -1.938, 'z': 172.25, 'watertmp': 25.5, 'depth': 0.3, 'thr0': 25.405, 'thr1': -273.15, 'thr2': 22.691, 'thr3': 24.193, 'thr4': 24.093, 'thr5': 24.899, 'cur0': 12.1, 'cur1': 0.2, 'cur2': 11.0, 'cel0': 11.1, 'cel1': 8.9, 'cel2': 6.9, 'cel3': 6.3, 'cel4': 5.8, 'cel5': 5.6, 'rot0': 230, 'rot1': 101, 'rot2': 148, 'rot3': 192, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1458}
{'lat': 26.221471701, 'lon': 127.668006395, 'time': 1813, 'x': 169.375, 'y': -1.938, 'z': 172.25, 'watertmp': 25.5, 'depth': 0.3, 'thr0': 25.405, 'thr1': -273.15, 'thr2': 22.691, 'thr3': 24.193, 'thr4': 24.093, 'thr5': 24.899, 'cur0': 12.1, 'cur1': 0.2, 'cur2': 11.0, 'cel0': 11.1, 'cel1': 8.9, 'cel2': 6.9, 'cel3': 6.3, 'cel4': 5.8, 'cel5': 5.6, 'rot0': 230, 'rot1': 101, 'rot2': 148, 'rot3': 192, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1824}
