{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 26.221436155, 'lon': 127.66800028, 'time': 1082, 'x': 216.063, 'y': -2.625}
{'lat': 26.221436155, 'lon': 127.66800028, 'time': 1082, 'x': 216.063, 'y': -2.625, 'z': 170.813, 'watertmp': 25.5, 'depth': 0.3, 'thr0': 28.586, 'thr1': -273.15, 'thr2': 25.913, 'thr3': 24.596, 'thr4': 29.108}
{'lat': 26.221436155, 'lon': 127.66800028, 'time': 1082, 'x': 216.063, 'y': -2.625, 'z': 170.813, 'watertmp': 25.5, 'depth': 0.3, 'thr0': 28.586, 'thr1': -273.15, 'thr2': 25.913, 'thr3': 24.596, 'thr4': 29.108, 'thr5': 29.108, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.4, 'cel1': 7.6, 'cel2': 6.0, 'cel3': 5.3, 'cel4': 4.6, 'cel5': 4.2, 'rot0': 0, 'rot1': 0}
{'lat': 26.221436155, 'lon': 127.66800028, 'time': 1447, 'x': 215.313, 'y': -1.438, 'z': 170.938, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 28.378, 'thr1': -273.15, 'thr2': 25.913, 'thr3': 24.596, 'thr4': 29.108, 'thr5': 29.108, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.4, 'cel1': 7.6, 'cel2': 6.0, 'cel3': 5.3, 'cel4': 4.6, 'cel5': 4.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 26.221436155, 'lon': 127.66800028, 'time': 1447, 'x': 215.313, 'y': -1.438, 'z': 170.938, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 28.378, 'thr1': -273.15, 'thr2': 25.811, 'thr3': 24.395, 'thr4': 29.108, 'thr5': 29.003, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.4, 'cel1': 7.6, 'cel2': 6.0, 'cel3': 5.3, 'cel4': 4.6, 'cel5': 4.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 26.221436155, 'lon': 127.66800028, 'time': 1447, 'x': 215.313, 'y': -1.438, 'z': 170.938, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 28.378, 'thr1': -273.15, 'thr2': 25.811, 'thr3': 24.395, 'thr4': 29.108, 'thr5': 29.003, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.4, 'cel1': 7.7, 'cel2': 6.0, 'cel3': 5.3, 'cel4': 4.7, 'cel5': 4.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 26.221436155, 'lon': 127.66800028, 'time': 1447, 'x': 215.313, 'y': -1.438, 'z': 170.938, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 28.378, 'thr1': -273.15, 'thr2': 25.811, 'thr3': 24.395, 'thr4': 29.108, 'thr5': 29.003, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.4, 'cel1': 7.7, 'cel2': 6.0, 'cel3': 5.3, 'cel4': 4.7, 'cel5': 4.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1457}
{'lat': 26.221439312, 'lon': 127.668006395, 'time': 1447, 'x': 215.313, 'y': -1.438, 'z': 170.938, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 28.378, 'thr1': -273.15, 'thr2': 25.811, 'thr3': 24.395, 'thr4': 29.108, 'thr5': 29.003, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.4, 'cel1': 7.7, 'cel2': 6.0, 'cel3': 5.3, 'cel4': 4.7, 'cel5': 4.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1457}
{'lat': 26.221439312, 'lon': 127.668006395, 'time': 1814, 'x': 215.0, 'y': -0.438, 'z': 171.375, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 26.934, 'thr1': -273.15, 'thr2': 25.608, 'thr3': 24.395, 'thr4': 29.108, 'thr5': 29.003, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.4, 'cel1': 7.7, 'cel2': 6.0, 'cel3': 5.3, 'cel4': 4.7, 'cel5': 4.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1457}
{'lat': 26.221439312, 'lon': 127.668006395, 'time': 1814, 'x': 215.0, 'y': -0.438, 'z': 171.375, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 26.934, 'thr1': -273.15, 'thr2': 25.608, 'thr3': 22.791, 'thr4': 29.108, 'thr5': 27.345, 'cur0': 12.3, 'cur1': 0.2, 'cur2': 10.6, 'cel0': 11.4, 'cel1': 7.7, 'cel2': 6.0, 'cel3': 5.3, 'cel4': 4.7, 'cel5': 4.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1457}
{'lat': 26.221439312, 'lon': 127.668006395, 'time': 1814, 'x': 215.0, 'y': -0.438, 'z': 171.375, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 26.934, 'thr1': -273.15, 'thr2': 25.608, 'thr3': 22.791, 'thr4': 29.108, 'thr5': 27.345, 'cur0': 12.3, 'cur1': 0.2, 'cur2': 10.6, 'cel0': 10.3, 'cel1': 9.2, 'cel2': 7.2, 'cel3': 6.3, 'cel4': 5.8, 'cel5': 5.6, 'rot0': 155, 'rot1': 200, 'rot2': 180, 'rot3': 128, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1825}
{'lat': 26.221439312, 'lon': 127.668006395, 'time': 2188, 'x': 214.375, 'y': -0.438, 'z': 171.375, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 26.934, 'thr1': -273.15, 'thr2': 25.608, 'thr3': 22.791, 'thr4': 29.108, 'thr5': 27.345, 'cur0': 12.3, 'cur1': 0.2, 'cur2': 10.6, 'cel0': 10.3, 'cel1': 9.2, 'cel2': 7.2, 'cel3': 6.3, 'cel4': 5.8, 'cel5': 5.6, 'rot0': 155, 'rot1': 200, 'rot2': 180, 'rot3': 128, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1825}
{'lat': 26.221439312, 'lon': 127.668006395, 'time': 2188, 'x': 214.375, 'y': -0.438, 'z': 173.0, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 28.275, 'thr1': -273.15, 'thr2': 24.193, 'thr3': 24.495, 'thr4': 29.108, 'thr5': 27.345, 'cur0': 12.3, 'cur1': 0.2, 'cur2': 10.6, 'cel0': 10.3, 'cel1': 9.2, 'cel2': 7.2, 'cel3': 6.3, 'cel4': 5.8, 'cel5': 5.6, 'rot0': 155, 'rot1': 200, 'rot2': 180, 'rot3': 128, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1825}
{'lat': 26.221439312, 'lon': 127.668006395, 'time': 2188, 'x': 214.375, 'y': -0.438, 'z': 173.0, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 28.275, 'thr1': -273.15, 'thr2': 24.193, 'thr3': 24.495, 'thr4': 27.861, 'thr5': 29.108, 'cur0': 12.0, 'cur1': 0.0, 'cur2': 10.6, 'cel0': 10.3, 'cel1': 9.2, 'cel2': 7.2, 'cel3': 6.3, 'cel4': 5.8, 'cel5': 5.6, 'rot0': 155, 'rot1': 200, 'rot2': 180, 'rot3': 128, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1825}
{'lat': 26.221439312, 'lon': 127.668006395, 'time': 2188, 'x': 214.375, 'y': -0.438, 'z': 173.0, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 28.275, 'thr1': -273.15, 'thr2': 24.193, 'thr3': 24.495, 'thr4': 27.861, 'thr5': 29.108, 'cur0': 12.0, 'cur1': 0.0, 'cur2': 11.3, 'cel0': 11.2, 'cel1': 9.4, 'cel2': 7.2, 'cel3': 6.3, 'cel4': 5.8, 'cel5': 5.6, 'rot0': 155, 'rot1': 200, 'rot2': 180, 'rot3': 128, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1825}
{'lat': 26.221439312, 'lon': 127.668006395, 'time': 2188, 'x': 214.375, 'y': -0.438, 'z': 173.0, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 28.275, 'thr1': -273.15, 'thr2': 24.193, 'thr3': 24.495, 'thr4': 27.861, 'thr5': 29.108, 'cur0': 12.0, 'cur1': 0.0, 'cur2': 11.3, 'cel0': 11.2, 'cel1': 9.4, 'cel2': 7.2, 'cel3': 6.2, 'cel4': 5.8, 'cel5': 5.5, 'rot0': 248, 'rot1': 228, 'rot2': 180, 'rot3': 128, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1825}
{'lat': 26.221439312, 'lon': 127.668006395, 'time': 2188, 'x': 214.375, 'y': -0.438, 'z': 173.0, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 28.275, 'thr1': -273.15, 'thr2': 24.193, 'thr3': 24.495, 'thr4': 27.861, 'thr5': 29.108, 'cur0': 12.0, 'cur1': 0.0, 'cur2': 11.3, 'cel0': 11.2, 'cel1': 9.4, 'cel2': 7.2, 'cel3': 6.2, 'cel4': 5.8, 'cel5': 5.5, 'rot0': 248, 'rot1': 228, 'rot2': 309, 'rot3': 291, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1825}
{'lat': 26.221439312, 'lon': 127.668006395, 'time': 2188, 'x': 214.375, 'y': -0.438, 'z': 173.0, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 28.275, 'thr1': -273.15, 'thr2': 24.193, 'thr3': 24.495, 'thr4': 27.861, 'thr5': 29.108, 'cur0': 12.0, 'cur1': 0.0, 'cur2': 11.3, 'cel0': 11.2, 'cel1': 9.4, 'cel2': 7.2, 'cel3': 6.2, 'cel4': 5.8, 'cel5': 5.5, 'rot0': 248, 'rot1': 228, 'rot2': 309, 'rot3': 291, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 2199}
{'lat': 26.221439312, 'lon': 127.668006395, 'time': 2565, 'x': 214.5, 'y': -0.875, 'z': 173.0, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 28.275, 'thr1': -273.15, 'thr2': 24.193, 'thr3': 24.495, 'thr4': 27.861, 'thr5': 29.108, 'cur0': 12.0, 'cur1': 0.0, 'cur2': 11.3, 'cel0': 11.2, 'cel1': 9.4, 'cel2': 7.2, 'cel3': 6.2, 'cel4': 5.8, 'cel5': 5.5, 'rot0': 248, 'rot1': 228, 'rot2': 309, 'rot3': 291, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 2199}
