{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 26.221453281, 'lon': 127.667954559}
{'lat': 26.221453281, 'lon': 127.667954559, 'time': 1073}
{'lat': 26.221453281, 'lon': 127.667954559, 'time': 1073, 'x': 224.5, 'y': -1.125, 'z': 173.25, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 26.729, 'thr1': -273.15, 'thr2': 29.212}
{'lat': 26.221453281, 'lon': 127.667954559, 'time': 1073, 'x': 224.5, 'y': -1.125, 'z': 173.25, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 26.729, 'thr1': -273.15, 'thr2': 29.212, 'thr3': 27.139, 'thr4': 27.551, 'thr5': 27.861, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0}
{'lat': 26.221453281, 'lon': 127.667954559, 'time': 1437, 'x': 223.563, 'y': -0.75, 'z': 174.5, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 26.729, 'thr1': -273.15, 'thr2': 29.212, 'thr3': 27.139, 'thr4': 27.551, 'thr5': 27.861, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.0, 'cel1': 7.3, 'cel2': 5.7, 'cel3': 5.0, 'cel4': 4.3, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1082}
{'lat': 26.221453281, 'lon': 127.667954559, 'time': 1437, 'x': 223.563, 'y': -0.75, 'z': 174.5, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 26.627, 'thr1': -273.15, 'thr2': 29.003, 'thr3': 26.832, 'thr4': 27.448, 'thr5': 27.861, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.0, 'cel1': 7.3, 'cel2': 5.7, 'cel3': 5.0, 'cel4': 4.3, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1082}
{'lat': 26.221453281, 'lon': 127.667954559, 'time': 1437, 'x': 223.563, 'y': -0.75, 'z': 174.5, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 26.627, 'thr1': -273.15, 'thr2': 29.003, 'thr3': 26.832, 'thr4': 27.448, 'thr5': 27.757, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 10.9, 'cel1': 7.3, 'cel2': 5.7, 'cel3': 5.1, 'cel4': 4.3, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1082}
{'lat': 26.221453281, 'lon': 127.667954559, 'time': 1437, 'x': 223.563, 'y': -0.75, 'z': 174.5, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 26.627, 'thr1': -273.15, 'thr2': 29.003, 'thr3': 26.832, 'thr4': 27.448, 'thr5': 27.757, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 10.9, 'cel1': 7.3, 'cel2': 5.7, 'cel3': 5.1, 'cel4': 4.4, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1447}
{'lat': 26.221453281, 'lon': 127.667954559, 'time': 1804, 'x': 223.125, 'y': -0.875, 'z': 173.188, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 26.627, 'thr1': -273.15, 'thr2': 29.003, 'thr3': 26.832, 'thr4': 27.448, 'thr5': 27.757, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 10.9, 'cel1': 7.3, 'cel2': 5.7, 'cel3': 5.1, 'cel4': 4.4, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1447}
{'lat': 26.221453281, 'lon': 127.667954559, 'time': 1804, 'x': 223.125, 'y': -0.875, 'z': 173.188, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 26.014, 'thr1': -273.15, 'thr2': 29.003, 'thr3': 25.506, 'thr4': 27.345, 'thr5': 26.525, 'cur0': 9.0, 'cur1': 0.3, 'cur2': 0.0, 'cel0': 10.9, 'cel1': 7.3, 'cel2': 5.7, 'cel3': 5.1, 'cel4': 4.4, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1447}
{'lat': 26.221453281, 'lon': 127.667954559, 'time': 1804, 'x': 223.125, 'y': -0.875, 'z': 173.188, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 26.014, 'thr1': -273.15, 'thr2': 29.003, 'thr3': 25.506, 'thr4': 27.345, 'thr5': 26.525, 'cur0': 9.0, 'cur1': 0.3, 'cur2': 7.2, 'cel0': 9.9, 'cel1': 8.3, 'cel2': 6.5, 'cel3': 5.8, 'cel4': 4.4, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1447}
{'lat': 26.221453281, 'lon': 127.667954559, 'time': 1804, 'x': 223.125, 'y': -0.875, 'z': 173.188, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 26.014, 'thr1': -273.15, 'thr2': 29.003, 'thr3': 25.506, 'thr4': 27.345, 'thr5': 26.525, 'cur0': 9.0, 'cur1': 0.3, 'cur2': 7.2, 'cel0': 9.9, 'cel1': 8.3, 'cel2': 6.5, 'cel3': 5.8, 'cel4': 5.1, 'cel5': 4.9, 'rot0': 16, 'rot1': 78, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1447}
{'lat': 26.221453281, 'lon': 127.667954559, 'time': 1804, 'x': 223.125, 'y': -0.875, 'z': 173.188, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 26.014, 'thr1': -273.15, 'thr2': 29.003, 'thr3': 25.506, 'thr4': 27.345, 'thr5': 26.525, 'cur0': 9.0, 'cur1': 0.3, 'cur2': 7.2, 'cel0': 9.9, 'cel1': 8.3, 'cel2': 6.5, 'cel3': 5.8, 'cel4': 5.1, 'cel5': 4.9, 'rot0': 16, 'rot1': 78, 'rot2': 70, 'rot3': 113, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1447}
{'lat': 26.221453281, 'lon': 127.667954559, 'time': 1804, 'x': 223.125, 'y': -0.875, 'z': 173.188, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 26.014, 'thr1': -273.15, 'thr2': 29.003, 'thr3': 25.506, 'thr4': 27.345, 'thr5': 26.525, 'cur0': 9.0, 'cur1': 0.3, 'cur2': 7.2, 'cel0': 9.9, 'cel1': 8.3, 'cel2': 6.5, 'cel3': 5.8, 'cel4': 5.1, 'cel5': 4.9, 'rot0': 16, 'rot1': 78, 'rot2': 70, 'rot3': 113, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1815}
{'lat': 26.221453281, 'lon': 127.667954559, 'time': 2171, 'x': 223.5, 'y': -1.5, 'z': 173.25, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 26.832, 'thr1': -273.15, 'thr2': 29.317, 'thr3': 26.116, 'thr4': 27.448, 'thr5': 27.139, 'cur0': 8.9, 'cur1': 0.3, 'cur2': 7.2, 'cel0': 9.9, 'cel1': 8.3, 'cel2': 6.5, 'cel3': 5.8, 'cel4': 5.1, 'cel5': 4.9, 'rot0': 16, 'rot1': 78, 'rot2': 70, 'rot3': 113, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1815}
