{}
{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 26.22150646, 'lon': 127.667988747, 'time': 1082, 'x': 203.813, 'y': -1.875, 'z': 172.625, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 27.345, 'thr1': -273.15, 'thr2': 28.899, 'thr3': 28.899, 'thr4': 27.861, 'thr5': 28.482, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 10.9, 'cel1': 7.2, 'cel2': 5.6, 'cel3': 5.0}
{'lat': 26.22150646, 'lon': 127.667988747, 'time': 1082, 'x': 203.813, 'y': -1.875, 'z': 172.625, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 27.345, 'thr1': -273.15, 'thr2': 28.899, 'thr3': 28.899, 'thr4': 27.861, 'thr5': 28.482, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 10.9, 'cel1': 7.2, 'cel2': 5.6, 'cel3': 5.0, 'cel4': 4.3, 'cel5': 4.0, 'rot0': 0, 'rot1': 0}
{'lat': 26.22150646, 'lon': 127.667988747, 'time': 1447, 'x': 202.625, 'y': -1.938, 'z': 172.313, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 27.345, 'thr1': -273.15, 'thr2': 28.899, 'thr3': 28.899, 'thr4': 27.861, 'thr5': 28.482, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 10.9, 'cel1': 7.2, 'cel2': 5.6, 'cel3': 5.0, 'cel4': 4.3, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 26.22150646, 'lon': 127.667988747, 'time': 1447, 'x': 202.625, 'y': -1.938, 'z': 172.313, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 27.242, 'thr1': -273.15, 'thr2': 28.899, 'thr3': 28.899, 'thr4': 27.861, 'thr5': 28.482, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 10.9, 'cel1': 7.2, 'cel2': 5.6, 'cel3': 5.0, 'cel4': 4.3, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 26.22150646, 'lon': 127.667988747, 'time': 1447, 'x': 202.625, 'y': -1.938, 'z': 172.313, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 27.242, 'thr1': -273.15, 'thr2': 28.69, 'thr3': 28.794, 'thr4': 27.861, 'thr5': 28.482, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 10.9, 'cel1': 7.2, 'cel2': 5.6, 'cel3': 5.0, 'cel4': 4.3, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 26.22150646, 'lon': 127.667988747, 'time': 1447, 'x': 202.625, 'y': -1.938, 'z': 172.313, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 27.242, 'thr1': -273.15, 'thr2': 28.69, 'thr3': 28.794, 'thr4': 27.964, 'thr5': 28.69, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 10.9, 'cel1': 7.2, 'cel2': 5.6, 'cel3': 5.0, 'cel4': 4.3, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 26.22150646, 'lon': 127.667988747, 'time': 1447, 'x': 202.625, 'y': -1.938, 'z': 172.313, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 27.242, 'thr1': -273.15, 'thr2': 28.69, 'thr3': 28.794, 'thr4': 27.964, 'thr5': 28.69, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 10.9, 'cel1': 7.2, 'cel2': 5.7, 'cel3': 5.1, 'cel4': 4.4, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 26.22150646, 'lon': 127.667988747, 'time': 1813, 'x': 201.5, 'y': -1.688, 'z': 173.813, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 27.037, 'thr1': -273.15, 'thr2': 28.69, 'thr3': 28.794, 'thr4': 27.964, 'thr5': 28.69, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 10.9, 'cel1': 7.2, 'cel2': 5.7, 'cel3': 5.1, 'cel4': 4.4, 'cel5': 4.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1457}
{'lat': 26.22150646, 'lon': 127.667988747, 'time': 1813, 'x': 201.5, 'y': -1.688, 'z': 173.813, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 27.037, 'thr1': -273.15, 'thr2': 28.067, 'thr3': 28.794, 'thr4': 27.242, 'thr5': 28.482, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 10.9, 'cel1': 7.2, 'cel2': 5.7, 'cel3': 5.1, 'cel4': 4.4, 'cel5': 4.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1457}
{'lat': 26.22150646, 'lon': 127.667988747, 'time': 1813, 'x': 201.5, 'y': -1.688, 'z': 173.813, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 27.037, 'thr1': -273.15, 'thr2': 28.067, 'thr3': 28.794, 'thr4': 27.242, 'thr5': 28.482, 'cur0': 8.3, 'cur1': 0.0, 'cur2': 7.6, 'cel0': 10.6, 'cel1': 8.3, 'cel2': 6.5, 'cel3': 5.7, 'cel4': 4.4, 'cel5': 4.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1457}
{'lat': 26.22150646, 'lon': 127.667988747, 'time': 1813, 'x': 201.5, 'y': -1.688, 'z': 173.813, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 27.037, 'thr1': -273.15, 'thr2': 28.067, 'thr3': 28.794, 'thr4': 27.242, 'thr5': 28.482, 'cur0': 8.3, 'cur1': 0.0, 'cur2': 7.6, 'cel0': 10.6, 'cel1': 8.3, 'cel2': 6.5, 'cel3': 5.7, 'cel4': 5.1, 'cel5': 5.0, 'rot0': 24, 'rot1': 51, 'rot2': 94, 'rot3': 121, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1457}
{'lat': 26.22150646, 'lon': 127.667988747, 'time': 2183, 'x': 199.875, 'y': -1.438, 'z': 174.0, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 27.037, 'thr1': -273.15, 'thr2': 28.067, 'thr3': 28.794, 'thr4': 27.242, 'thr5': 28.482, 'cur0': 8.3, 'cur1': 0.0, 'cur2': 7.6, 'cel0': 10.6, 'cel1': 8.3, 'cel2': 6.5, 'cel3': 5.7, 'cel4': 5.1, 'cel5': 5.0, 'rot0': 24, 'rot1': 51, 'rot2': 94, 'rot3': 121, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1824}
{'lat': 26.22150646, 'lon': 127.667988747, 'time': 2183, 'x': 199.875, 'y': -1.438, 'z': 174.0, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 27.242, 'thr1': -273.15, 'thr2': 27.861, 'thr3': 28.69, 'thr4': 26.32, 'thr5': 28.482, 'cur0': 8.3, 'cur1': 0.0, 'cur2': 7.6, 'cel0': 10.6, 'cel1': 8.3, 'cel2': 6.5, 'cel3': 5.7, 'cel4': 5.1, 'cel5': 5.0, 'rot0': 24, 'rot1': 51, 'rot2': 94, 'rot3': 121, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1824}
