{}
{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1072, 'x': 197.5, 'y': -0.563, 'z': 175.313, 'watertmp': 26.0, 'depth': 0.2, 'thr0': 27.037, 'thr1': -273.15, 'thr2': 26.218}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1072, 'x': 197.5, 'y': -0.563, 'z': 175.313, 'watertmp': 26.0, 'depth': 0.2, 'thr0': 27.037, 'thr1': -273.15, 'thr2': 26.218, 'thr3': 25.506, 'thr4': 26.525, 'thr5': 27.861, 'cur0': 0.0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1072, 'x': 197.5, 'y': -0.563, 'z': 175.313, 'watertmp': 26.0, 'depth': 0.2, 'thr0': 27.037, 'thr1': -273.15, 'thr2': 26.218, 'thr3': 25.506, 'thr4': 26.525, 'thr5': 27.861, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1072, 'x': 197.5, 'y': -0.563, 'z': 175.313, 'watertmp': 26.0, 'depth': 0.2, 'thr0': 27.037, 'thr1': -273.15, 'thr2': 26.218, 'thr3': 25.506, 'thr4': 26.525, 'thr5': 27.861, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1072, 'x': 197.5, 'y': -0.563, 'z': 175.313, 'watertmp': 26.0, 'depth': 0.2, 'thr0': 27.037, 'thr1': -273.15, 'thr2': 26.218, 'thr3': 25.506, 'thr4': 26.525, 'thr5': 27.861, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1072, 'x': 197.5, 'y': -0.563, 'z': 175.313, 'watertmp': 26.0, 'depth': 0.2, 'thr0': 27.037, 'thr1': -273.15, 'thr2': 26.218, 'thr3': 25.506, 'thr4': 26.525, 'thr5': 27.861, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1081}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1435, 'x': 197.5, 'y': 0.0, 'z': 174.313, 'watertmp': 26.0, 'depth': 0.2, 'thr0': 27.037, 'thr1': -273.15, 'thr2': 26.218, 'thr3': 25.506, 'thr4': 26.525, 'thr5': 27.861, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1081}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1435, 'x': 197.5, 'y': 0.0, 'z': 174.313, 'watertmp': 26.0, 'depth': 0.2, 'thr0': 27.139, 'thr1': -86.987, 'thr2': 26.014, 'thr3': 25.405, 'thr4': 26.525, 'thr5': 27.861, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1081}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1435, 'x': 197.5, 'y': 0.0, 'z': 174.313, 'watertmp': 26.0, 'depth': 0.2, 'thr0': 27.139, 'thr1': -86.987, 'thr2': 26.014, 'thr3': 25.405, 'thr4': 26.422, 'thr5': 27.757, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1081}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1435, 'x': 197.5, 'y': 0.0, 'z': 174.313, 'watertmp': 26.0, 'depth': 0.2, 'thr0': 27.139, 'thr1': -86.987, 'thr2': 26.014, 'thr3': 25.405, 'thr4': 26.422, 'thr5': 27.757, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1081}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1435, 'x': 197.5, 'y': 0.0, 'z': 174.313, 'watertmp': 26.0, 'depth': 0.2, 'thr0': 27.139, 'thr1': -86.987, 'thr2': 26.014, 'thr3': 25.405, 'thr4': 26.422, 'thr5': 27.757, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1445}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1798, 'x': 198.0, 'y': -0.25, 'z': 174.313, 'watertmp': 26.0, 'depth': 0.2, 'thr0': 27.139, 'thr1': -86.987, 'thr2': 26.014, 'thr3': 25.405, 'thr4': 26.422, 'thr5': 27.757, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1445}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1798, 'x': 198.0, 'y': -0.25, 'z': 174.25, 'watertmp': 26.0, 'depth': 0.2, 'thr0': 27.139, 'thr1': -273.15, 'thr2': 26.422, 'thr3': 25.608, 'thr4': 26.422, 'thr5': 27.757, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1445}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1798, 'x': 198.0, 'y': -0.25, 'z': 174.25, 'watertmp': 26.0, 'depth': 0.2, 'thr0': 27.139, 'thr1': -273.15, 'thr2': 26.422, 'thr3': 25.608, 'thr4': 27.139, 'thr5': 28.378, 'cur0': 11.9, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1445}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1798, 'x': 198.0, 'y': -0.25, 'z': 174.25, 'watertmp': 26.0, 'depth': 0.2, 'thr0': 27.139, 'thr1': -273.15, 'thr2': 26.422, 'thr3': 25.608, 'thr4': 27.139, 'thr5': 28.378, 'cur0': 11.9, 'cur1': 0.5, 'cur2': 12.1, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1445}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1798, 'x': 198.0, 'y': -0.25, 'z': 174.25, 'watertmp': 26.0, 'depth': 0.2, 'thr0': 27.139, 'thr1': -273.15, 'thr2': 26.422, 'thr3': 25.608, 'thr4': 27.139, 'thr5': 28.378, 'cur0': 11.9, 'cur1': 0.5, 'cur2': 12.1, 'cel0': 0.0, 'cel1': 2.9, 'cel2': 3.1, 'cel3': 3.6, 'cel4': 2.8, 'cel5': 2.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1445}
