{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 26.221468234, 'lon': 127.667955668}
{'lat': 26.221468954, 'lon': 127.667969704}
{'lat': 26.221468234, 'lon': 127.667955668}
{'lat': 26.221471391, 'lon': 127.667961783}
{'lat': 26.221471391, 'lon': 127.667961783, 'time': 6704, 'x': 237.438}
{'lat': 26.221471391, 'lon': 127.667961783, 'time': 6704, 'x': 237.438, 'y': -3.625, 'z': 174.563, 'watertmp': 26.0}
{'lat': 26.221471391, 'lon': 127.667961783, 'time': 6704, 'x': 237.438, 'y': -3.625, 'z': 174.563, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.654, 'thr1': -273.15}
{'lat': 26.221471391, 'lon': 127.667961783, 'time': 6704, 'x': 237.438, 'y': -3.625, 'z': 174.563, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.654, 'thr1': -273.15, 'thr2': 27.551, 'thr3': 29.527, 'thr4': 28.171}
{'lat': 26.221471391, 'lon': 127.667961783, 'time': 6704, 'x': 237.438, 'y': -3.625, 'z': 174.563, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.654, 'thr1': -273.15, 'thr2': 27.551, 'thr3': 29.527, 'thr4': 28.171, 'thr5': 28.378, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0}
{'lat': 26.221471391, 'lon': 127.667961783, 'time': 6704, 'x': 237.438, 'y': -3.625, 'z': 174.563, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.654, 'thr1': -273.15, 'thr2': 27.551, 'thr3': 29.527, 'thr4': 28.171, 'thr5': 28.378, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7}
{'lat': 26.221471391, 'lon': 127.667961783, 'time': 6704, 'x': 237.438, 'y': -3.625, 'z': 174.563, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.654, 'thr1': -273.15, 'thr2': 27.551, 'thr3': 29.527, 'thr4': 28.171, 'thr5': 28.378, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.8, 'rot0': 0, 'rot1': 0}
{'lat': 26.221471391, 'lon': 127.667961783, 'time': 6704, 'x': 237.438, 'y': -3.625, 'z': 174.563, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.654, 'thr1': -273.15, 'thr2': 27.551, 'thr3': 29.527, 'thr4': 28.171, 'thr5': 28.378, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0}
{'lat': 26.221471391, 'lon': 127.667961783, 'time': 6704, 'x': 237.438, 'y': -3.625, 'z': 174.563, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.654, 'thr1': -273.15, 'thr2': 27.551, 'thr3': 29.527, 'thr4': 28.171, 'thr5': 28.378, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 6714}
{'lat': 26.221471391, 'lon': 127.667961783, 'time': 7068, 'x': 237.625, 'y': -2.625, 'z': 174.938, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.964, 'thr1': -273.15, 'thr2': 27.345, 'thr3': 29.632, 'thr4': 28.378, 'thr5': 28.586, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 6714}
{'lat': 26.221471391, 'lon': 127.667961783, 'time': 7068, 'x': 237.625, 'y': -2.625, 'z': 174.938, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.964, 'thr1': -273.15, 'thr2': 27.345, 'thr3': 29.632, 'thr4': 28.378, 'thr5': 28.586, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 7077}
{'lat': 26.221471391, 'lon': 127.667961783, 'time': 7432, 'x': 238.0, 'y': 0.313, 'z': 174.063, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.964, 'thr1': -273.15, 'thr2': 27.345, 'thr3': 29.632, 'thr4': 28.378, 'thr5': 28.586, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 7077}
{'lat': 26.221471391, 'lon': 127.667961783, 'time': 7432, 'x': 238.0, 'y': 0.313, 'z': 174.063, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.757, 'thr1': -273.15, 'thr2': 27.448, 'thr3': 29.422, 'thr4': 28.378, 'thr5': 28.586, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 7077}
{'lat': 26.221471391, 'lon': 127.667961783, 'time': 7432, 'x': 238.0, 'y': 0.313, 'z': 174.063, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.757, 'thr1': -273.15, 'thr2': 27.448, 'thr3': 29.422, 'thr4': 28.171, 'thr5': 28.482, 'cur0': 0.0, 'cur1': 1.1, 'cur2': 0.1, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 7077}
{'lat': 26.221471391, 'lon': 127.667961783, 'time': 7796, 'x': 238.0, 'y': 0.313, 'z': 174.063, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.757, 'thr1': -273.15, 'thr2': 27.448, 'thr3': 29.422, 'thr4': 28.171, 'thr5': 28.482, 'cur0': 0.0, 'cur1': 1.1, 'cur2': 0.1, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 7441}
{'lat': 26.221471391, 'lon': 127.667961783, 'time': 7796, 'x': 238.125, 'y': 1.938, 'z': 174.125, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.757, 'thr1': -273.15, 'thr2': 27.448, 'thr3': 29.422, 'thr4': 28.171, 'thr5': 28.482, 'cur0': 0.0, 'cur1': 1.1, 'cur2': 0.1, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 7441}
{'lat': 26.221471391, 'lon': 127.667961783, 'time': 7796, 'x': 238.125, 'y': 1.938, 'z': 174.125, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.448, 'thr1': -273.15, 'thr2': 27.345, 'thr3': 29.317, 'thr4': 28.171, 'thr5': 28.482, 'cur0': 0.0, 'cur1': 1.1, 'cur2': 0.1, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 7441}
{'lat': 26.221471391, 'lon': 127.667961783, 'time': 7796, 'x': 238.125, 'y': 1.938, 'z': 174.125, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.448, 'thr1': -273.15, 'thr2': 27.345, 'thr3': 29.317, 'thr4': 28.067, 'thr5': 28.378, 'cur0': 0.0, 'cur1': 1.6, 'cur2': 0.1, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.7, 'cel5': 2.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 7441}
{'lat': 26.221471391, 'lon': 127.667961783, 'time': 7796, 'x': 238.125, 'y': 1.938, 'z': 174.125, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.448, 'thr1': -273.15, 'thr2': 27.345, 'thr3': 29.317, 'thr4': 28.067, 'thr5': 28.378, 'cur0': 0.0, 'cur1': 1.6, 'cur2': 0.1, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.7, 'cel5': 2.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 7805}
