{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 'n/a', 'lon': 'n/a', 'time': 735, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 26.0, 'depth': 0.4, 'thr0': 26.525, 'thr1': -273.15, 'thr2': 27.654, 'thr3': 28.899, 'thr4': 26.627, 'thr5': 27.448}
{'lat': 'n/a', 'lon': 'n/a', 'time': 735, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 26.0, 'depth': 0.4, 'thr0': 26.525, 'thr1': -273.15, 'thr2': 27.654, 'thr3': 28.899, 'thr4': 26.627, 'thr5': 27.448, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.4}
{'lat': 'n/a', 'lon': 'n/a', 'time': 735, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 26.0, 'depth': 0.4, 'thr0': 26.525, 'thr1': -273.15, 'thr2': 27.654, 'thr3': 28.899, 'thr4': 26.627, 'thr5': 27.448, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.4, 'cel2': 2.1, 'cel3': 2.8, 'cel4': 2.9}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1081, 'x': 207.438, 'y': -1.813, 'z': 171.063, 'watertmp': 26.0, 'depth': 0.4, 'thr0': 26.525, 'thr1': -273.15, 'thr2': 27.757, 'thr3': 29.317, 'thr4': 27.139, 'thr5': 27.551, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.4, 'cel2': 2.1, 'cel3': 2.8, 'cel4': 2.9, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 744}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1081, 'x': 207.438, 'y': -1.813, 'z': 171.063, 'watertmp': 26.0, 'depth': 0.4, 'thr0': 26.525, 'thr1': -273.15, 'thr2': 27.757, 'thr3': 29.317, 'thr4': 27.139, 'thr5': 27.551, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 744}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1445, 'x': 207.188, 'y': -1.5, 'z': 172.625, 'watertmp': 26.0, 'depth': 0.4, 'thr0': 26.525, 'thr1': -273.15, 'thr2': 27.757, 'thr3': 29.317, 'thr4': 27.139, 'thr5': 27.551, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1091}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1445, 'x': 207.188, 'y': -1.5, 'z': 172.625, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 26.627, 'thr1': -273.15, 'thr2': 27.757, 'thr3': 29.317, 'thr4': 27.037, 'thr5': 27.964, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1091}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1445, 'x': 207.188, 'y': -1.5, 'z': 172.625, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 26.627, 'thr1': -273.15, 'thr2': 27.757, 'thr3': 29.317, 'thr4': 27.037, 'thr5': 27.964, 'cur0': 0.0, 'cur1': 1.2, 'cur2': 0.1, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1091}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1445, 'x': 207.188, 'y': -1.5, 'z': 172.625, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 26.627, 'thr1': -273.15, 'thr2': 27.757, 'thr3': 29.317, 'thr4': 27.037, 'thr5': 27.964, 'cur0': 0.0, 'cur1': 1.2, 'cur2': 0.1, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1456}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1809, 'x': 207.125, 'y': -0.25, 'z': 172.625, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 26.627, 'thr1': -273.15, 'thr2': 27.757, 'thr3': 29.317, 'thr4': 27.037, 'thr5': 27.964, 'cur0': 0.0, 'cur1': 1.2, 'cur2': 0.1, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1456}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1809, 'x': 207.125, 'y': -0.25, 'z': 173.938, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 26.627, 'thr1': -273.15, 'thr2': 27.757, 'thr3': 29.108, 'thr4': 27.139, 'thr5': 27.757, 'cur0': 0.0, 'cur1': 1.6, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1819}
{'lat': 26.22146974, 'lon': 127.667993468, 'time': 2174, 'x': 206.75, 'y': -0.25, 'z': 173.938, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 26.627, 'thr1': -273.15, 'thr2': 27.757, 'thr3': 29.108, 'thr4': 27.139, 'thr5': 27.757, 'cur0': 0.0, 'cur1': 1.6, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1819}
{'lat': 26.22146974, 'lon': 127.667993468, 'time': 2174, 'x': 206.75, 'y': 1.125, 'z': 174.438, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 26.627, 'thr1': -273.15, 'thr2': 27.757, 'thr3': 29.108, 'thr4': 27.139, 'thr5': 27.757, 'cur0': 0.0, 'cur1': 1.6, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1819}
{'lat': 26.22146974, 'lon': 127.667993468, 'time': 2174, 'x': 206.75, 'y': 1.125, 'z': 174.438, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 26.32, 'thr1': -273.15, 'thr2': 27.448, 'thr3': 29.108, 'thr4': 27.139, 'thr5': 27.757, 'cur0': 0.0, 'cur1': 1.6, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1819}
