{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 26.221428402, 'lon': 127.667959977, 'time': 1083, 'x': 187.875, 'y': -0.375}
{'lat': 26.221428402, 'lon': 127.667959977, 'time': 1083, 'x': 187.875, 'y': -0.375, 'z': 174.125, 'watertmp': 25.9, 'depth': 0.3, 'thr0': 29.632, 'thr1': -273.15, 'thr2': 28.067}
{'lat': 26.221428402, 'lon': 127.667959977, 'time': 1083, 'x': 187.875, 'y': -0.375, 'z': 174.125, 'watertmp': 25.9, 'depth': 0.3, 'thr0': 29.632, 'thr1': -273.15, 'thr2': 28.067, 'thr3': 29.108, 'thr4': 30.053, 'thr5': 31.327, 'cur0': 0.0}
{'lat': 26.221428402, 'lon': 127.667959977, 'time': 1083, 'x': 187.875, 'y': -0.375, 'z': 174.125, 'watertmp': 25.9, 'depth': 0.3, 'thr0': 29.632, 'thr1': -273.15, 'thr2': 28.067, 'thr3': 29.108, 'thr4': 30.053, 'thr5': 31.327, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 10.4, 'cel1': 6.9, 'cel2': 5.5}
{'lat': 26.221428402, 'lon': 127.667959977, 'time': 1083, 'x': 187.875, 'y': -0.375, 'z': 174.125, 'watertmp': 25.9, 'depth': 0.3, 'thr0': 29.632, 'thr1': -273.15, 'thr2': 28.067, 'thr3': 29.108, 'thr4': 30.053, 'thr5': 31.327, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 10.4, 'cel1': 6.9, 'cel2': 5.5, 'cel3': 4.9, 'cel4': 4.3, 'cel5': 3.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 26.221428402, 'lon': 127.667959977, 'time': 1447, 'x': 188.0, 'y': -0.938, 'z': 173.938, 'watertmp': 25.9, 'depth': 0.3, 'thr0': 29.632, 'thr1': -273.15, 'thr2': 28.067, 'thr3': 29.108, 'thr4': 30.053, 'thr5': 31.327, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 10.4, 'cel1': 6.9, 'cel2': 5.5, 'cel3': 4.9, 'cel4': 4.3, 'cel5': 3.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 26.221428402, 'lon': 127.667959977, 'time': 1447, 'x': 188.0, 'y': -0.938, 'z': 173.938, 'watertmp': 25.9, 'depth': 0.3, 'thr0': 29.737, 'thr1': -273.15, 'thr2': 28.171, 'thr3': 29.212, 'thr4': 30.158, 'thr5': 31.756, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 10.4, 'cel1': 6.9, 'cel2': 5.5, 'cel3': 4.9, 'cel4': 4.3, 'cel5': 3.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 26.221428402, 'lon': 127.667959977, 'time': 1447, 'x': 188.0, 'y': -0.938, 'z': 173.938, 'watertmp': 25.9, 'depth': 0.3, 'thr0': 29.737, 'thr1': -273.15, 'thr2': 28.171, 'thr3': 29.212, 'thr4': 30.158, 'thr5': 31.756, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 10.5, 'cel1': 7.0, 'cel2': 5.6, 'cel3': 4.9, 'cel4': 4.3, 'cel5': 3.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 26.221428402, 'lon': 127.667959977, 'time': 1447, 'x': 188.0, 'y': -0.938, 'z': 173.938, 'watertmp': 25.9, 'depth': 0.3, 'thr0': 29.737, 'thr1': -273.15, 'thr2': 28.171, 'thr3': 29.212, 'thr4': 30.158, 'thr5': 31.756, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 10.5, 'cel1': 7.0, 'cel2': 5.6, 'cel3': 5.0, 'cel4': 4.3, 'cel5': 3.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1458}
{'lat': 26.221428402, 'lon': 127.667959977, 'time': 1814, 'x': 188.0, 'y': -1.063, 'z': 173.375, 'watertmp': 25.9, 'depth': 0.3, 'thr0': 29.632, 'thr1': -273.15, 'thr2': 28.171, 'thr3': 29.212, 'thr4': 30.158, 'thr5': 31.756, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 10.5, 'cel1': 7.0, 'cel2': 5.6, 'cel3': 5.0, 'cel4': 4.3, 'cel5': 3.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1458}
{'lat': 26.221428402, 'lon': 127.667959977, 'time': 1814, 'x': 188.0, 'y': -1.063, 'z': 173.375, 'watertmp': 25.9, 'depth': 0.3, 'thr0': 29.632, 'thr1': -273.15, 'thr2': 27.757, 'thr3': 28.482, 'thr4': 29.737, 'thr5': 31.434, 'cur0': 8.6, 'cur1': 0.3, 'cur2': 7.0, 'cel0': 10.5, 'cel1': 7.0, 'cel2': 5.6, 'cel3': 5.0, 'cel4': 4.3, 'cel5': 3.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1458}
{'lat': 26.221428402, 'lon': 127.667959977, 'time': 1814, 'x': 188.0, 'y': -1.063, 'z': 173.375, 'watertmp': 25.9, 'depth': 0.3, 'thr0': 29.632, 'thr1': -273.15, 'thr2': 27.757, 'thr3': 28.482, 'thr4': 29.737, 'thr5': 31.434, 'cur0': 8.6, 'cur1': 0.3, 'cur2': 7.0, 'cel0': 10.0, 'cel1': 7.5, 'cel2': 6.1, 'cel3': 5.5, 'cel4': 5.0, 'cel5': 4.7, 'rot0': 39, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1458}
{'lat': 26.221428402, 'lon': 127.667959977, 'time': 1814, 'x': 188.0, 'y': -1.063, 'z': 173.375, 'watertmp': 25.9, 'depth': 0.3, 'thr0': 29.632, 'thr1': -273.15, 'thr2': 27.757, 'thr3': 28.482, 'thr4': 29.737, 'thr5': 31.434, 'cur0': 8.6, 'cur1': 0.3, 'cur2': 7.0, 'cel0': 10.0, 'cel1': 7.5, 'cel2': 6.1, 'cel3': 5.5, 'cel4': 5.0, 'cel5': 4.7, 'rot0': 39, 'rot1': 32, 'rot2': 71, 'rot3': 84, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1458}
{'lat': 26.221436499, 'lon': 127.667959977, 'time': 2182, 'x': 188.125, 'y': -1.0, 'z': 173.375, 'watertmp': 25.9, 'depth': 0.3, 'thr0': 29.527, 'thr1': -273.15, 'thr2': 26.627, 'thr3': 28.899, 'thr4': 29.003, 'thr5': 31.434, 'cur0': 8.6, 'cur1': 0.3, 'cur2': 7.0, 'cel0': 10.0, 'cel1': 7.5, 'cel2': 6.1, 'cel3': 5.5, 'cel4': 5.0, 'cel5': 4.7, 'rot0': 39, 'rot1': 32, 'rot2': 71, 'rot3': 84, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1825}
{'lat': 26.221436499, 'lon': 127.667959977, 'time': 2182, 'x': 188.125, 'y': -1.0, 'z': 173.375, 'watertmp': 25.9, 'depth': 0.3, 'thr0': 29.527, 'thr1': -273.15, 'thr2': 26.627, 'thr3': 28.899, 'thr4': 29.003, 'thr5': 31.541, 'cur0': 7.8, 'cur1': 0.0, 'cur2': 7.4, 'cel0': 10.3, 'cel1': 7.5, 'cel2': 6.1, 'cel3': 5.5, 'cel4': 5.0, 'cel5': 4.7, 'rot0': 39, 'rot1': 32, 'rot2': 71, 'rot3': 84, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1825}
