{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 26.221444009, 'lon': 127.667965395}
{'lat': 26.221444009, 'lon': 127.667965395, 'time': 6355, 'x': 0.0}
{'lat': 26.221444009, 'lon': 127.667965395, 'time': 6355, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 26.0}
{'lat': 26.221444009, 'lon': 127.667965395, 'time': 6355, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.861, 'thr1': -273.15, 'thr2': 30.688}
{'lat': 26.221444009, 'lon': 127.667965395, 'time': 6355, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.861, 'thr1': -273.15, 'thr2': 30.688, 'thr3': 31.649, 'thr4': 27.964, 'thr5': 28.482, 'cur0': 0.0}
{'lat': 26.221444009, 'lon': 127.667965395, 'time': 6355, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.861, 'thr1': -273.15, 'thr2': 30.688, 'thr3': 31.649, 'thr4': 27.964, 'thr5': 28.482, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0}
{'lat': 26.221444009, 'lon': 127.667965395, 'time': 6355, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.861, 'thr1': -273.15, 'thr2': 30.688, 'thr3': 31.649, 'thr4': 27.964, 'thr5': 28.482, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.6, 'cel2': 2.2, 'cel3': 2.9, 'cel4': 3.0}
{'lat': 26.221444009, 'lon': 127.667965395, 'time': 6355, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.861, 'thr1': -273.15, 'thr2': 30.688, 'thr3': 31.649, 'thr4': 27.964, 'thr5': 28.482, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.6, 'cel2': 2.2, 'cel3': 2.9, 'cel4': 3.0, 'cel5': 3.0, 'rot0': 0, 'rot1': 0}
{'lat': 26.221444009, 'lon': 127.667965395, 'time': 6355, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.861, 'thr1': -273.15, 'thr2': 30.688, 'thr3': 31.649, 'thr4': 27.964, 'thr5': 28.482, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.6, 'cel2': 2.2, 'cel3': 2.9, 'cel4': 3.0, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0}
{'lat': 26.221444009, 'lon': 127.667965395, 'time': 6355, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.861, 'thr1': -273.15, 'thr2': 30.688, 'thr3': 31.649, 'thr4': 27.964, 'thr5': 28.482, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.6, 'cel2': 2.2, 'cel3': 2.9, 'cel4': 3.0, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 6366}
{'lat': 26.221444009, 'lon': 127.667965395, 'time': 6705, 'x': 195.75, 'y': -2.313, 'z': 174.813, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.861, 'thr1': -273.15, 'thr2': 30.688, 'thr3': 31.649, 'thr4': 27.964, 'thr5': 28.482, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.6, 'cel2': 2.2, 'cel3': 2.9, 'cel4': 3.0, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 6366}
{'lat': 26.221444009, 'lon': 127.667965395, 'time': 6705, 'x': 195.75, 'y': -2.313, 'z': 174.813, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 28.067, 'thr1': -273.15, 'thr2': 30.901, 'thr3': 32.295, 'thr4': 28.378, 'thr5': 28.482, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.6, 'cel2': 2.2, 'cel3': 2.9, 'cel4': 3.0, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 6366}
{'lat': 26.221444009, 'lon': 127.667965395, 'time': 6705, 'x': 195.75, 'y': -2.313, 'z': 174.813, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 28.067, 'thr1': -273.15, 'thr2': 30.901, 'thr3': 32.295, 'thr4': 28.378, 'thr5': 28.794, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.4, 'cel2': 2.1, 'cel3': 2.8, 'cel4': 2.9, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 6366}
{'lat': 26.221444009, 'lon': 127.667965395, 'time': 7068, 'x': 196.0, 'y': -2.563, 'z': 175.063, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 28.067, 'thr1': -273.15, 'thr2': 30.901, 'thr3': 32.295, 'thr4': 28.378, 'thr5': 28.794, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.4, 'cel2': 2.1, 'cel3': 2.8, 'cel4': 2.9, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 6714}
{'lat': 26.221444009, 'lon': 127.667965395, 'time': 7068, 'x': 196.0, 'y': -2.563, 'z': 175.063, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 28.275, 'thr1': -273.15, 'thr2': 31.007, 'thr3': 32.079, 'thr4': 28.482, 'thr5': 28.899, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.4, 'cel2': 2.1, 'cel3': 2.8, 'cel4': 2.9, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 6714}
{'lat': 26.221444009, 'lon': 127.667965395, 'time': 7068, 'x': 196.0, 'y': -2.563, 'z': 175.063, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 28.275, 'thr1': -273.15, 'thr2': 31.007, 'thr3': 32.079, 'thr4': 28.482, 'thr5': 28.899, 'cur0': 0.0, 'cur1': 1.4, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.1, 'cel3': 2.8, 'cel4': 2.9, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 6714}
{'lat': 26.221444009, 'lon': 127.667965395, 'time': 7068, 'x': 196.0, 'y': -2.563, 'z': 175.063, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 28.275, 'thr1': -273.15, 'thr2': 31.007, 'thr3': 32.079, 'thr4': 28.482, 'thr5': 28.899, 'cur0': 0.0, 'cur1': 1.4, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.1, 'cel3': 2.8, 'cel4': 2.9, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 7078}
{'lat': 26.221444009, 'lon': 127.667965395, 'time': 7433, 'x': 195.375, 'y': 0.063, 'z': 174.5, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 28.275, 'thr1': -273.15, 'thr2': 31.007, 'thr3': 32.079, 'thr4': 28.482, 'thr5': 28.899, 'cur0': 0.0, 'cur1': 1.4, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.1, 'cel3': 2.8, 'cel4': 2.9, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 7078}
{'lat': 26.221444009, 'lon': 127.667965395, 'time': 7433, 'x': 195.375, 'y': 0.063, 'z': 174.5, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 28.171, 'thr1': -273.15, 'thr2': 30.901, 'thr3': 32.295, 'thr4': 28.586, 'thr5': 28.899, 'cur0': 0.0, 'cur1': 1.4, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.1, 'cel3': 2.8, 'cel4': 2.9, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 7078}
{'lat': 26.221444009, 'lon': 127.667965395, 'time': 7433, 'x': 195.375, 'y': 0.063, 'z': 174.5, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 28.171, 'thr1': -273.15, 'thr2': 30.901, 'thr3': 32.295, 'thr4': 28.586, 'thr5': 29.003, 'cur0': 0.1, 'cur1': 2.0, 'cur2': 0.1, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.1, 'cel3': 2.8, 'cel4': 2.9, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 7078}
