{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 26.221419276, 'lon': 127.667901329}
{'lat': 26.221419276, 'lon': 127.667901329, 'time': 1072, 'x': 256.688, 'y': -6.063, 'z': 172.188, 'watertmp': 25.9, 'depth': 0.1, 'thr0': 27.037, 'thr1': -273.15, 'thr2': 32.295, 'thr3': 31.864, 'thr4': 27.037, 'thr5': 27.448, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3}
{'lat': 26.221419276, 'lon': 127.667901329, 'time': 1072, 'x': 256.688, 'y': -6.063, 'z': 172.188, 'watertmp': 25.9, 'depth': 0.1, 'thr0': 27.037, 'thr1': -273.15, 'thr2': 32.295, 'thr3': 31.864, 'thr4': 27.037, 'thr5': 27.448, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1082}
{'lat': 26.221419276, 'lon': 127.667901329, 'time': 1437, 'x': 256.688, 'y': -6.063, 'z': 172.188, 'watertmp': 25.9, 'depth': 0.1, 'thr0': 27.037, 'thr1': -273.15, 'thr2': 32.295, 'thr3': 31.864, 'thr4': 27.037, 'thr5': 27.448, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1082}
{'lat': 26.221419276, 'lon': 127.667901329, 'time': 1437, 'x': 256.688, 'y': -6.063, 'z': 172.188, 'watertmp': 25.9, 'depth': 0.1, 'thr0': 26.934, 'thr1': -273.15, 'thr2': 32.295, 'thr3': 31.649, 'thr4': 26.832, 'thr5': 27.139, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1082}
{'lat': 26.221419276, 'lon': 127.667901329, 'time': 1437, 'x': 256.688, 'y': -6.063, 'z': 172.188, 'watertmp': 25.9, 'depth': 0.1, 'thr0': 26.934, 'thr1': -273.15, 'thr2': 32.295, 'thr3': 31.649, 'thr4': 26.832, 'thr5': 27.139, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1447}
{'lat': 26.221419276, 'lon': 127.667901329, 'time': 1800, 'x': 256.688, 'y': -6.063, 'z': 172.188, 'watertmp': 25.9, 'depth': 0.1, 'thr0': 27.037, 'thr1': -273.15, 'thr2': 32.295, 'thr3': 31.649, 'thr4': 26.832, 'thr5': 27.139, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1447}
{'lat': 26.221419276, 'lon': 127.667901329, 'time': 1800, 'x': 256.688, 'y': -6.063, 'z': 172.188, 'watertmp': 25.9, 'depth': 0.1, 'thr0': 27.037, 'thr1': -273.15, 'thr2': 32.295, 'thr3': 31.864, 'thr4': 27.037, 'thr5': 27.345, 'cur0': 0.0, 'cur1': 1.1, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1447}
{'lat': 26.221419276, 'lon': 127.667901329, 'time': 1800, 'x': 256.688, 'y': -6.063, 'z': 172.188, 'watertmp': 25.9, 'depth': 0.1, 'thr0': 27.037, 'thr1': -273.15, 'thr2': 32.295, 'thr3': 31.864, 'thr4': 27.037, 'thr5': 27.345, 'cur0': 0.0, 'cur1': 1.1, 'cur2': 0.1, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1810}
{'lat': 26.221419276, 'lon': 127.667901329, 'time': 2165, 'x': 256.688, 'y': -6.063, 'z': 172.188, 'watertmp': 25.9, 'depth': 0.1, 'thr0': 27.037, 'thr1': -273.15, 'thr2': 32.295, 'thr3': 31.864, 'thr4': 27.037, 'thr5': 27.345, 'cur0': 0.0, 'cur1': 1.1, 'cur2': 0.1, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1810}
{'lat': 26.221419276, 'lon': 127.667901329, 'time': 2165, 'x': 256.688, 'y': -6.063, 'z': 172.188, 'watertmp': 25.9, 'depth': 0.1, 'thr0': 26.832, 'thr1': -273.15, 'thr2': 32.295, 'thr3': 31.864, 'thr4': 27.037, 'thr5': 27.345, 'cur0': 0.0, 'cur1': 1.1, 'cur2': 0.1, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1810}
{'lat': 26.221419276, 'lon': 127.667901329, 'time': 2165, 'x': 256.688, 'y': -6.063, 'z': 172.188, 'watertmp': 25.9, 'depth': 0.1, 'thr0': 26.832, 'thr1': -273.15, 'thr2': 32.403, 'thr3': 31.864, 'thr4': 26.934, 'thr5': 27.345, 'cur0': 0.0, 'cur1': 1.1, 'cur2': 0.1, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1810}
{'lat': 26.221419276, 'lon': 127.667901329, 'time': 2165, 'x': 256.688, 'y': -6.063, 'z': 172.188, 'watertmp': 25.9, 'depth': 0.1, 'thr0': 26.832, 'thr1': -273.15, 'thr2': 32.403, 'thr3': 31.864, 'thr4': 26.934, 'thr5': 27.345, 'cur0': 0.0, 'cur1': 1.4, 'cur2': 0.1, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 2176}
