{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 26.221435912, 'lon': 127.667965395}
{'lat': 26.221427815, 'lon': 127.667965395, 'time': 1082, 'x': 210.0, 'y': -1.375, 'z': 174.063, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 28.067, 'thr1': -273.15, 'thr2': 26.32, 'thr3': 27.448, 'thr4': 28.482, 'thr5': 28.171, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 10.0, 'cel1': 6.7, 'cel2': 5.4, 'cel3': 4.8, 'cel4': 4.3, 'cel5': 3.9, 'rot0': 0}
{'lat': 26.221427815, 'lon': 127.667965395, 'time': 1082, 'x': 210.0, 'y': -1.375, 'z': 174.063, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 28.067, 'thr1': -273.15, 'thr2': 26.32, 'thr3': 27.448, 'thr4': 28.482, 'thr5': 28.171, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 10.0, 'cel1': 6.7, 'cel2': 5.4, 'cel3': 4.8, 'cel4': 4.3, 'cel5': 3.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1091}
{'lat': 26.221435912, 'lon': 127.667965395, 'time': 1812, 'x': 208.875, 'y': -0.375, 'z': 172.438, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.861, 'thr1': -273.15, 'thr2': 24.798, 'thr3': 27.037, 'thr4': 26.832, 'thr5': 27.861, 'cur0': 7.1, 'cur1': 0.0, 'cur2': 6.7, 'cel0': 9.8, 'cel1': 7.6, 'cel2': 6.0, 'cel3': 5.3, 'cel4': 4.9, 'cel5': 4.7, 'rot0': 10, 'rot1': 18, 'rot2': 65, 'rot3': 44, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1823}
{'lat': 26.221435912, 'lon': 127.667965395, 'time': 2180, 'x': 208.875, 'y': -0.375, 'z': 172.438, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.861, 'thr1': -273.15, 'thr2': 24.798, 'thr3': 27.037, 'thr4': 26.832, 'thr5': 27.861, 'cur0': 7.1, 'cur1': 0.0, 'cur2': 6.7, 'cel0': 9.8, 'cel1': 7.6, 'cel2': 6.0, 'cel3': 5.3, 'cel4': 4.9, 'cel5': 4.7, 'rot0': 10, 'rot1': 18, 'rot2': 65, 'rot3': 44, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1823}
{'lat': 26.221435912, 'lon': 127.667965395, 'time': 2180, 'x': 208.313, 'y': -0.563, 'z': 173.625, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.964, 'thr1': -273.15, 'thr2': 24.798, 'thr3': 27.037, 'thr4': 26.832, 'thr5': 27.861, 'cur0': 7.1, 'cur1': 0.0, 'cur2': 6.7, 'cel0': 9.8, 'cel1': 7.6, 'cel2': 6.0, 'cel3': 5.3, 'cel4': 4.9, 'cel5': 4.7, 'rot0': 10, 'rot1': 18, 'rot2': 65, 'rot3': 44, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1823}
{'lat': 26.221435912, 'lon': 127.667965395, 'time': 2180, 'x': 208.313, 'y': -0.563, 'z': 173.625, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.964, 'thr1': -273.15, 'thr2': 26.218, 'thr3': 26.627, 'thr4': 26.832, 'thr5': 27.861, 'cur0': 7.1, 'cur1': 0.0, 'cur2': 6.7, 'cel0': 9.8, 'cel1': 7.6, 'cel2': 6.0, 'cel3': 5.3, 'cel4': 4.9, 'cel5': 4.7, 'rot0': 10, 'rot1': 18, 'rot2': 65, 'rot3': 44, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1823}
{'lat': 26.221435912, 'lon': 127.667965395, 'time': 2180, 'x': 208.313, 'y': -0.563, 'z': 173.625, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.964, 'thr1': -273.15, 'thr2': 26.218, 'thr3': 26.627, 'thr4': 28.482, 'thr5': 27.654, 'cur0': 7.8, 'cur1': 0.0, 'cur2': 6.7, 'cel0': 9.8, 'cel1': 7.6, 'cel2': 6.0, 'cel3': 5.3, 'cel4': 4.9, 'cel5': 4.7, 'rot0': 10, 'rot1': 18, 'rot2': 65, 'rot3': 44, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1823}
{'lat': 26.221435912, 'lon': 127.667965395, 'time': 2180, 'x': 208.313, 'y': -0.563, 'z': 173.625, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.964, 'thr1': -273.15, 'thr2': 26.218, 'thr3': 26.627, 'thr4': 28.482, 'thr5': 27.654, 'cur0': 7.8, 'cur1': 0.2, 'cur2': 6.5, 'cel0': 9.2, 'cel1': 7.1, 'cel2': 5.8, 'cel3': 5.2, 'cel4': 4.9, 'cel5': 4.7, 'rot0': 10, 'rot1': 18, 'rot2': 65, 'rot3': 44, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1823}
{'lat': 26.221435912, 'lon': 127.667965395, 'time': 2180, 'x': 208.313, 'y': -0.563, 'z': 173.625, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.964, 'thr1': -273.15, 'thr2': 26.218, 'thr3': 26.627, 'thr4': 28.482, 'thr5': 27.654, 'cur0': 7.8, 'cur1': 0.2, 'cur2': 6.5, 'cel0': 9.2, 'cel1': 7.1, 'cel2': 5.8, 'cel3': 5.2, 'cel4': 4.7, 'cel5': 4.4, 'rot0': 10, 'rot1': 18, 'rot2': 65, 'rot3': 44, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1823}
{'lat': 26.221435912, 'lon': 127.667965395, 'time': 2180, 'x': 208.313, 'y': -0.563, 'z': 173.625, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.964, 'thr1': -273.15, 'thr2': 26.218, 'thr3': 26.627, 'thr4': 28.482, 'thr5': 27.654, 'cur0': 7.8, 'cur1': 0.2, 'cur2': 6.5, 'cel0': 9.2, 'cel1': 7.1, 'cel2': 5.8, 'cel3': 5.2, 'cel4': 4.7, 'cel5': 4.4, 'rot0': 25, 'rot1': 34, 'rot2': 82, 'rot3': 66, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 1823}
{'lat': 26.221435912, 'lon': 127.667965395, 'time': 2548, 'x': 207.625, 'y': -0.563, 'z': 173.625, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.964, 'thr1': -273.15, 'thr2': 26.218, 'thr3': 26.627, 'thr4': 28.482, 'thr5': 27.654, 'cur0': 7.8, 'cur1': 0.2, 'cur2': 6.5, 'cel0': 9.2, 'cel1': 7.1, 'cel2': 5.8, 'cel3': 5.2, 'cel4': 4.7, 'cel5': 4.4, 'rot0': 25, 'rot1': 34, 'rot2': 82, 'rot3': 66, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 2191}
{'lat': 26.221435912, 'lon': 127.667965395, 'time': 2548, 'x': 207.625, 'y': -0.875, 'z': 172.875, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.964, 'thr1': -273.15, 'thr2': 26.218, 'thr3': 26.627, 'thr4': 28.482, 'thr5': 27.654, 'cur0': 7.8, 'cur1': 0.2, 'cur2': 6.5, 'cel0': 9.2, 'cel1': 7.1, 'cel2': 5.8, 'cel3': 5.2, 'cel4': 4.7, 'cel5': 4.4, 'rot0': 25, 'rot1': 34, 'rot2': 82, 'rot3': 66, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 2191}
{'lat': 26.221435912, 'lon': 127.667965395, 'time': 2548, 'x': 207.625, 'y': -0.875, 'z': 172.875, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 26.116, 'thr1': -273.15, 'thr2': 26.218, 'thr3': 26.627, 'thr4': 28.482, 'thr5': 27.654, 'cur0': 7.8, 'cur1': 0.2, 'cur2': 6.5, 'cel0': 9.2, 'cel1': 7.1, 'cel2': 5.8, 'cel3': 5.2, 'cel4': 4.7, 'cel5': 4.4, 'rot0': 25, 'rot1': 34, 'rot2': 82, 'rot3': 66, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 2191}
{'lat': 26.221435912, 'lon': 127.667965395, 'time': 2548, 'x': 207.625, 'y': -0.875, 'z': 172.875, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 26.116, 'thr1': -273.15, 'thr2': 26.116, 'thr3': 26.729, 'thr4': 28.275, 'thr5': 27.551, 'cur0': 7.4, 'cur1': 0.0, 'cur2': 6.4, 'cel0': 9.2, 'cel1': 7.1, 'cel2': 5.8, 'cel3': 5.2, 'cel4': 4.7, 'cel5': 4.4, 'rot0': 25, 'rot1': 34, 'rot2': 82, 'rot3': 66, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 2191}
