{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1082, 'x': 222.188, 'y': -1.375}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1082, 'x': 222.188, 'y': -1.375, 'z': 176.5, 'watertmp': 25.9, 'depth': 0.4, 'thr0': 26.627, 'thr1': -273.15}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1082, 'x': 222.188, 'y': -1.375, 'z': 176.5, 'watertmp': 25.9, 'depth': 0.4, 'thr0': 26.627, 'thr1': -273.15, 'thr2': 31.22, 'thr3': 30.794}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1082, 'x': 222.188, 'y': -1.375, 'z': 176.5, 'watertmp': 25.9, 'depth': 0.4, 'thr0': 26.627, 'thr1': -273.15, 'thr2': 31.22, 'thr3': 30.794, 'thr4': 27.242, 'thr5': 28.482}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1082, 'x': 222.188, 'y': -1.375, 'z': 176.5, 'watertmp': 25.9, 'depth': 0.4, 'thr0': 26.627, 'thr1': -273.15, 'thr2': 31.22, 'thr3': 30.794, 'thr4': 27.242, 'thr5': 28.482, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1082, 'x': 222.188, 'y': -1.375, 'z': 176.5, 'watertmp': 25.9, 'depth': 0.4, 'thr0': 26.627, 'thr1': -273.15, 'thr2': 31.22, 'thr3': 30.794, 'thr4': 27.242, 'thr5': 28.482, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1082, 'x': 222.188, 'y': -1.375, 'z': 176.5, 'watertmp': 25.9, 'depth': 0.4, 'thr0': 26.627, 'thr1': -273.15, 'thr2': 31.22, 'thr3': 30.794, 'thr4': 27.242, 'thr5': 28.482, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1082, 'x': 222.188, 'y': -1.375, 'z': 176.5, 'watertmp': 25.9, 'depth': 0.4, 'thr0': 26.627, 'thr1': -273.15, 'thr2': 31.22, 'thr3': 30.794, 'thr4': 27.242, 'thr5': 28.482, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1082, 'x': 222.188, 'y': -1.375, 'z': 176.5, 'watertmp': 25.9, 'depth': 0.4, 'thr0': 26.627, 'thr1': -273.15, 'thr2': 31.22, 'thr3': 30.794, 'thr4': 27.242, 'thr5': 28.482, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1091}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1445, 'x': 223.688, 'y': -1.188, 'z': 175.938, 'watertmp': 25.9, 'depth': 0.4, 'thr0': 26.627, 'thr1': -273.15, 'thr2': 31.22, 'thr3': 30.794, 'thr4': 27.242, 'thr5': 28.482, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1091}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1445, 'x': 223.688, 'y': -1.188, 'z': 175.938, 'watertmp': 25.9, 'depth': 0.4, 'thr0': 26.525, 'thr1': -273.15, 'thr2': 31.007, 'thr3': 30.794, 'thr4': 27.242, 'thr5': 28.482, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1091}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1445, 'x': 223.688, 'y': -1.188, 'z': 175.938, 'watertmp': 25.9, 'depth': 0.4, 'thr0': 26.525, 'thr1': -273.15, 'thr2': 31.007, 'thr3': 30.476, 'thr4': 26.832, 'thr5': 28.482, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1091}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1445, 'x': 223.688, 'y': -1.188, 'z': 175.938, 'watertmp': 25.9, 'depth': 0.4, 'thr0': 26.525, 'thr1': -273.15, 'thr2': 31.007, 'thr3': 30.476, 'thr4': 26.832, 'thr5': 28.067, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1091}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1445, 'x': 223.688, 'y': -1.188, 'z': 175.938, 'watertmp': 25.9, 'depth': 0.4, 'thr0': 26.525, 'thr1': -273.15, 'thr2': 31.007, 'thr3': 30.476, 'thr4': 26.832, 'thr5': 28.067, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1091}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1809, 'x': 225.563, 'y': -1.188, 'z': 175.938, 'watertmp': 25.9, 'depth': 0.4, 'thr0': 26.525, 'thr1': -273.15, 'thr2': 31.007, 'thr3': 30.476, 'thr4': 26.832, 'thr5': 28.067, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1456}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1809, 'x': 225.563, 'y': -1.5, 'z': 174.938, 'watertmp': 25.9, 'depth': 0.4, 'thr0': 26.627, 'thr1': -273.15, 'thr2': 31.007, 'thr3': 30.476, 'thr4': 26.832, 'thr5': 28.067, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1456}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1809, 'x': 225.563, 'y': -1.5, 'z': 174.938, 'watertmp': 25.9, 'depth': 0.4, 'thr0': 26.627, 'thr1': -273.15, 'thr2': 31.434, 'thr3': 30.794, 'thr4': 27.037, 'thr5': 28.067, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1456}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1809, 'x': 225.563, 'y': -1.5, 'z': 174.938, 'watertmp': 25.9, 'depth': 0.4, 'thr0': 26.627, 'thr1': -273.15, 'thr2': 31.434, 'thr3': 30.794, 'thr4': 27.037, 'thr5': 28.275, 'cur0': 0.0, 'cur1': 1.4, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1819}
{'lat': 'n/a', 'lon': 'n/a', 'time': 2174, 'x': 227.125, 'y': -2.063, 'z': 174.938, 'watertmp': 25.9, 'depth': 0.4, 'thr0': 26.627, 'thr1': -273.15, 'thr2': 31.434, 'thr3': 30.794, 'thr4': 27.037, 'thr5': 28.275, 'cur0': 0.0, 'cur1': 1.4, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1819}
