{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 26.221446247, 'lon': 127.667928292}
{'lat': 26.221446247, 'lon': 127.667928292, 'time': 1082, 'x': 214.5}
{'lat': 26.221446247, 'lon': 127.667928292, 'time': 1082, 'x': 214.5, 'y': -2.25}
{'lat': 26.221446247, 'lon': 127.667928292, 'time': 1082, 'x': 214.5, 'y': -2.25, 'z': 174.063, 'watertmp': 26.0}
{'lat': 26.221446247, 'lon': 127.667928292, 'time': 1082, 'x': 214.5, 'y': -2.25, 'z': 174.063, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.654, 'thr1': -273.15}
{'lat': 26.221446247, 'lon': 127.667928292, 'time': 1082, 'x': 214.5, 'y': -2.25, 'z': 174.063, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.654, 'thr1': -273.15, 'thr2': 24.899, 'thr3': 25.608, 'thr4': 28.482, 'thr5': 28.586, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0}
{'lat': 26.221446247, 'lon': 127.667928292, 'time': 1082, 'x': 214.5, 'y': -2.25, 'z': 174.063, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.654, 'thr1': -273.15, 'thr2': 24.899, 'thr3': 25.608, 'thr4': 28.482, 'thr5': 28.586, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 8.1, 'cel1': 5.6}
{'lat': 26.221446247, 'lon': 127.667928292, 'time': 1082, 'x': 214.5, 'y': -2.25, 'z': 174.063, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.654, 'thr1': -273.15, 'thr2': 24.899, 'thr3': 25.608, 'thr4': 28.482, 'thr5': 28.586, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 8.1, 'cel1': 5.6, 'cel2': 4.6, 'cel3': 4.4}
{'lat': 26.221446247, 'lon': 127.667928292, 'time': 1082, 'x': 214.5, 'y': -2.25, 'z': 174.063, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.654, 'thr1': -273.15, 'thr2': 24.899, 'thr3': 25.608, 'thr4': 28.482, 'thr5': 28.586, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 8.1, 'cel1': 5.6, 'cel2': 4.6, 'cel3': 4.4, 'cel4': 3.9, 'cel5': 3.7, 'rot0': 0, 'rot1': 0}
{'lat': 26.221446247, 'lon': 127.667928292, 'time': 1082, 'x': 214.5, 'y': -2.25, 'z': 174.063, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.654, 'thr1': -273.15, 'thr2': 24.899, 'thr3': 25.608, 'thr4': 28.482, 'thr5': 28.586, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 8.1, 'cel1': 5.6, 'cel2': 4.6, 'cel3': 4.4, 'cel4': 3.9, 'cel5': 3.7, 'rot0': 0, 'rot1': 0, 'rot2': 0}
{'lat': 26.221446247, 'lon': 127.667928292, 'time': 1082, 'x': 214.5, 'y': -2.25, 'z': 174.063, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.654, 'thr1': -273.15, 'thr2': 24.899, 'thr3': 25.608, 'thr4': 28.482, 'thr5': 28.586, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 8.1, 'cel1': 5.6, 'cel2': 4.6, 'cel3': 4.4, 'cel4': 3.9, 'cel5': 3.7, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0}
{'lat': 26.221446247, 'lon': 127.667928292, 'time': 1082, 'x': 214.5, 'y': -2.25, 'z': 174.063, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.654, 'thr1': -273.15, 'thr2': 24.899, 'thr3': 25.608, 'thr4': 28.482, 'thr5': 28.586, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 8.1, 'cel1': 5.6, 'cel2': 4.6, 'cel3': 4.4, 'cel4': 3.9, 'cel5': 3.7, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0}
{'lat': 26.221446247, 'lon': 127.667928292, 'time': 1082, 'x': 214.5, 'y': -2.25, 'z': 174.063, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.654, 'thr1': -273.15, 'thr2': 24.899, 'thr3': 25.608, 'thr4': 28.482, 'thr5': 28.586, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 8.1, 'cel1': 5.6, 'cel2': 4.6, 'cel3': 4.4, 'cel4': 3.9, 'cel5': 3.7, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 26.221446247, 'lon': 127.667928292, 'time': 1445, 'x': 214.5, 'y': -1.5, 'z': 174.063, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.551, 'thr1': -273.15, 'thr2': 24.697, 'thr3': 25.405, 'thr4': 28.275, 'thr5': 28.275, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 8.1, 'cel1': 5.6, 'cel2': 4.7, 'cel3': 4.4, 'cel4': 3.9, 'cel5': 3.7, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1456}
{'lat': 26.221446247, 'lon': 127.667928292, 'time': 1810, 'x': 214.5, 'y': -1.0, 'z': 173.938, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 28.067, 'thr1': -273.15, 'thr2': 23.992, 'thr3': 25.811, 'thr4': 27.345, 'thr5': 28.586, 'cur0': 6.6, 'cur1': 0.0, 'cur2': 12.5, 'cel0': 7.2, 'cel1': 6.9, 'cel2': 5.5, 'cel3': 5.1, 'cel4': 4.7, 'cel5': 4.6, 'rot0': 8, 'rot1': 10, 'rot2': 16, 'rot3': 34, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1821}
{'lat': 26.221446247, 'lon': 127.667928292, 'time': 2179, 'x': 214.5, 'y': -1.125, 'z': 173.938, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.861, 'thr1': -273.15, 'thr2': 23.691, 'thr3': 25.608, 'thr4': 27.345, 'thr5': 28.586, 'cur0': 5.6, 'cur1': 0.0, 'cur2': 12.5, 'cel0': 6.7, 'cel1': 6.8, 'cel2': 5.4, 'cel3': 4.9, 'cel4': 4.5, 'cel5': 4.4, 'rot0': 20, 'rot1': 29, 'rot2': 34, 'rot3': 60, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 2190}
{'lat': 26.221446247, 'lon': 127.667928292, 'time': 2547, 'x': 214.313, 'y': -1.438, 'z': 173.75, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.139, 'thr1': -273.15, 'thr2': 24.697, 'thr3': 24.495, 'thr4': 27.964, 'thr5': 27.551, 'cur0': 4.7, 'cur1': 0.1, 'cur2': 5.1, 'cel0': 6.0, 'cel1': 5.6, 'cel2': 4.7, 'cel3': 4.4, 'cel4': 4.0, 'cel5': 3.9, 'rot0': 31, 'rot1': 44, 'rot2': 46, 'rot3': 75, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 2558}
{'lat': 26.221446247, 'lon': 127.667928292, 'time': 2917, 'x': 214.313, 'y': -1.5, 'z': 173.063, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.964, 'thr1': -273.15, 'thr2': 25.0, 'thr3': 25.709, 'thr4': 27.964, 'thr5': 28.794, 'cur0': 3.7, 'cur1': 0.1, 'cur2': 4.8, 'cel0': 6.2, 'cel1': 5.2, 'cel2': 4.5, 'cel3': 4.4, 'cel4': 4.0, 'cel5': 3.9, 'rot0': 31, 'rot1': 44, 'rot2': 46, 'rot3': 75, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 2558}
{'lat': 26.221446247, 'lon': 127.667928292, 'time': 2917, 'x': 214.313, 'y': -1.5, 'z': 173.063, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.964, 'thr1': -273.15, 'thr2': 25.0, 'thr3': 25.709, 'thr4': 27.964, 'thr5': 28.794, 'cur0': 3.7, 'cur1': 0.1, 'cur2': 4.8, 'cel0': 6.2, 'cel1': 5.2, 'cel2': 4.5, 'cel3': 4.3, 'cel4': 3.9, 'cel5': 3.8, 'rot0': 42, 'rot1': 58, 'rot2': 57, 'rot3': 86, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 2928}
{'lat': 26.221446247, 'lon': 127.667928292, 'time': 3283, 'x': 214.5, 'y': -1.625, 'z': 173.063, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.964, 'thr1': -273.15, 'thr2': 25.0, 'thr3': 25.709, 'thr4': 27.964, 'thr5': 28.794, 'cur0': 3.7, 'cur1': 0.1, 'cur2': 4.8, 'cel0': 6.2, 'cel1': 5.2, 'cel2': 4.5, 'cel3': 4.3, 'cel4': 3.9, 'cel5': 3.8, 'rot0': 42, 'rot1': 58, 'rot2': 57, 'rot3': 86, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 2928}
{'lat': 26.221446247, 'lon': 127.667928292, 'time': 3283, 'x': 214.5, 'y': -1.625, 'z': 172.25, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 28.067, 'thr1': -273.15, 'thr2': 25.0, 'thr3': 25.709, 'thr4': 27.964, 'thr5': 28.794, 'cur0': 3.7, 'cur1': 0.1, 'cur2': 4.8, 'cel0': 6.2, 'cel1': 5.2, 'cel2': 4.5, 'cel3': 4.3, 'cel4': 3.9, 'cel5': 3.8, 'rot0': 42, 'rot1': 58, 'rot2': 57, 'rot3': 86, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 2928}
{'lat': 26.221446247, 'lon': 127.667928292, 'time': 3283, 'x': 214.5, 'y': -1.625, 'z': 172.25, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 28.067, 'thr1': -273.15, 'thr2': 24.697, 'thr3': 25.506, 'thr4': 27.448, 'thr5': 28.794, 'cur0': 3.7, 'cur1': 0.1, 'cur2': 4.8, 'cel0': 6.2, 'cel1': 5.2, 'cel2': 4.5, 'cel3': 4.3, 'cel4': 3.9, 'cel5': 3.8, 'rot0': 42, 'rot1': 58, 'rot2': 57, 'rot3': 86, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 2928}
