{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 26.221431692, 'lon': 127.667985547}
{'lat': 26.221428535, 'lon': 127.667985547}
{'lat': 26.221428535, 'lon': 127.667979432, 'time': 1081}
{'lat': 26.221428535, 'lon': 127.667979432, 'time': 1081, 'x': 98.75, 'y': 0.125, 'z': -179.125}
{'lat': 26.221428535, 'lon': 127.667979432, 'time': 1081, 'x': 98.75, 'y': 0.125, 'z': -179.125, 'watertmp': 26.0, 'depth': 0.2, 'thr0': 28.899, 'thr1': -273.15}
{'lat': 26.221428535, 'lon': 127.667979432, 'time': 1081, 'x': 98.75, 'y': 0.125, 'z': -179.125, 'watertmp': 26.0, 'depth': 0.2, 'thr0': 28.899, 'thr1': -273.15, 'thr2': 29.212, 'thr3': 28.69, 'thr4': 29.632, 'thr5': 29.842, 'cur0': 0.0}
{'lat': 26.221428535, 'lon': 127.667979432, 'time': 1081, 'x': 98.75, 'y': 0.125, 'z': -179.125, 'watertmp': 26.0, 'depth': 0.2, 'thr0': 28.899, 'thr1': -273.15, 'thr2': 29.212, 'thr3': 28.69, 'thr4': 29.632, 'thr5': 29.842, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0}
{'lat': 26.221428535, 'lon': 127.667979432, 'time': 1081, 'x': 98.75, 'y': 0.125, 'z': -179.125, 'watertmp': 26.0, 'depth': 0.2, 'thr0': 28.899, 'thr1': -273.15, 'thr2': 29.212, 'thr3': 28.69, 'thr4': 29.632, 'thr5': 29.842, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7}
{'lat': 26.221428535, 'lon': 127.667979432, 'time': 1081, 'x': 98.75, 'y': 0.125, 'z': -179.125, 'watertmp': 26.0, 'depth': 0.2, 'thr0': 28.899, 'thr1': -273.15, 'thr2': 29.212, 'thr3': 28.69, 'thr4': 29.632, 'thr5': 29.842, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.9}
{'lat': 26.221428535, 'lon': 127.667979432, 'time': 1081, 'x': 98.75, 'y': 0.125, 'z': -179.125, 'watertmp': 26.0, 'depth': 0.2, 'thr0': 28.899, 'thr1': -273.15, 'thr2': 29.212, 'thr3': 28.69, 'thr4': 29.632, 'thr5': 29.842, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0}
{'lat': 26.221428535, 'lon': 127.667979432, 'time': 1081, 'x': 98.75, 'y': 0.125, 'z': -179.125, 'watertmp': 26.0, 'depth': 0.2, 'thr0': 28.899, 'thr1': -273.15, 'thr2': 29.212, 'thr3': 28.69, 'thr4': 29.632, 'thr5': 29.842, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0}
{'lat': 26.221428535, 'lon': 127.667979432, 'time': 1444, 'x': 101.188, 'y': 1.688, 'z': -179.125, 'watertmp': 26.0, 'depth': 0.2, 'thr0': 28.899, 'thr1': -273.15, 'thr2': 29.212, 'thr3': 28.69, 'thr4': 29.632, 'thr5': 29.842, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1091}
{'lat': 26.221428535, 'lon': 127.667979432, 'time': 1444, 'x': 101.188, 'y': 1.688, 'z': 177.5, 'watertmp': 26.0, 'depth': 0.2, 'thr0': 28.275, 'thr1': -273.15, 'thr2': 28.899, 'thr3': 28.482, 'thr4': 29.317, 'thr5': 29.527, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1091}
{'lat': 26.221428535, 'lon': 127.667979432, 'time': 1808, 'x': 102.688, 'y': 1.25, 'z': 173.125, 'watertmp': 26.0, 'depth': 0.2, 'thr0': 28.794, 'thr1': -273.15, 'thr2': 29.317, 'thr3': 28.586, 'thr4': 29.527, 'thr5': 29.737, 'cur0': 0.0, 'cur1': 1.5, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1817}
{'lat': 26.221428535, 'lon': 127.667979432, 'time': 2170, 'x': 104.063, 'y': 1.25, 'z': 172.0, 'watertmp': 26.0, 'depth': 0.2, 'thr0': 28.794, 'thr1': -273.15, 'thr2': 29.212, 'thr3': 28.586, 'thr4': 29.317, 'thr5': 29.737, 'cur0': 0.0, 'cur1': 2.1, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1817}
{'lat': 26.221428535, 'lon': 127.667979432, 'time': 2533, 'x': 103.688, 'y': 1.063, 'z': 172.0, 'watertmp': 26.0, 'depth': 0.2, 'thr0': 28.794, 'thr1': -273.15, 'thr2': 29.212, 'thr3': 28.586, 'thr4': 29.317, 'thr5': 29.737, 'cur0': 0.0, 'cur1': 2.1, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 2180}
{'lat': 26.221428535, 'lon': 127.667979432, 'time': 2533, 'x': 103.688, 'y': 1.063, 'z': 173.25, 'watertmp': 26.0, 'depth': 0.2, 'thr0': 28.69, 'thr1': -273.15, 'thr2': 29.212, 'thr3': 28.586, 'thr4': 29.317, 'thr5': 29.737, 'cur0': 0.0, 'cur1': 2.1, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 2180}
{'lat': 26.221428535, 'lon': 127.667979432, 'time': 2533, 'x': 103.688, 'y': 1.063, 'z': 173.25, 'watertmp': 26.0, 'depth': 0.2, 'thr0': 28.69, 'thr1': -273.15, 'thr2': 29.317, 'thr3': 28.69, 'thr4': 29.317, 'thr5': 29.317, 'cur0': 0.0, 'cur1': 2.1, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 2180}
{'lat': 26.221428535, 'lon': 127.667979432, 'time': 2533, 'x': 103.688, 'y': 1.063, 'z': 173.25, 'watertmp': 26.0, 'depth': 0.2, 'thr0': 28.69, 'thr1': -273.15, 'thr2': 29.317, 'thr3': 28.69, 'thr4': 29.317, 'thr5': 29.317, 'cur0': 0.1, 'cur1': 2.1, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 2180}
{'lat': 26.221428535, 'lon': 127.667979432, 'time': 2533, 'x': 103.688, 'y': 1.063, 'z': 173.25, 'watertmp': 26.0, 'depth': 0.2, 'thr0': 28.69, 'thr1': -273.15, 'thr2': 29.317, 'thr3': 28.69, 'thr4': 29.317, 'thr5': 29.317, 'cur0': 0.1, 'cur1': 2.7, 'cur2': 0.2, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 2180}
{'lat': 26.221428535, 'lon': 127.667979432, 'time': 2533, 'x': 103.688, 'y': 1.063, 'z': 173.25, 'watertmp': 26.0, 'depth': 0.2, 'thr0': 28.69, 'thr1': -273.15, 'thr2': 29.317, 'thr3': 28.69, 'thr4': 29.317, 'thr5': 29.317, 'cur0': 0.1, 'cur1': 2.7, 'cur2': 0.2, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 2180}
{'lat': 26.221428535, 'lon': 127.667979432, 'time': 2896, 'x': 102.438, 'y': -0.625, 'z': 172.625, 'watertmp': 26.0, 'depth': 0.2, 'thr0': 28.69, 'thr1': -273.15, 'thr2': 29.317, 'thr3': 28.69, 'thr4': 29.317, 'thr5': 29.317, 'cur0': 0.1, 'cur1': 2.7, 'cur2': 0.2, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 2543}
{'lat': 26.221428535, 'lon': 127.667979432, 'time': 2896, 'x': 102.438, 'y': -0.625, 'z': 172.625, 'watertmp': 26.0, 'depth': 0.2, 'thr0': 28.794, 'thr1': -86.987, 'thr2': 29.317, 'thr3': 28.794, 'thr4': 29.317, 'thr5': 29.317, 'cur0': 0.1, 'cur1': 2.7, 'cur2': 0.2, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 2543}
{'lat': 26.221428535, 'lon': 127.667979432, 'time': 2896, 'x': 102.438, 'y': -0.625, 'z': 172.625, 'watertmp': 26.0, 'depth': 0.2, 'thr0': 28.794, 'thr1': -86.987, 'thr2': 29.317, 'thr3': 28.794, 'thr4': 29.737, 'thr5': 30.158, 'cur0': 0.0, 'cur1': 2.7, 'cur2': 0.2, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 2543}
{'lat': 26.221428535, 'lon': 127.667979432, 'time': 2896, 'x': 102.438, 'y': -0.625, 'z': 172.625, 'watertmp': 26.0, 'depth': 0.2, 'thr0': 28.794, 'thr1': -86.987, 'thr2': 29.317, 'thr3': 28.794, 'thr4': 29.737, 'thr5': 30.158, 'cur0': 0.0, 'cur1': 3.5, 'cur2': 0.2, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 2543}
{'lat': 26.221428535, 'lon': 127.667979432, 'time': 3259, 'x': 101.25, 'y': -3.563, 'z': 175.313, 'watertmp': 26.0, 'depth': 0.2, 'thr0': 28.794, 'thr1': -86.987, 'thr2': 29.317, 'thr3': 28.794, 'thr4': 29.737, 'thr5': 30.158, 'cur0': 0.0, 'cur1': 3.5, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 2907}
