{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 26.221424968, 'lon': 127.668003892}
{'lat': 26.221422531, 'lon': 127.668003892}
{'lat': 26.221424968, 'lon': 127.668003892}
{'lat': 26.221424968, 'lon': 127.668003892, 'time': 6705, 'x': 180.875, 'y': -1.563, 'z': 175.063, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 29.108}
{'lat': 26.221424968, 'lon': 127.668003892, 'time': 6705, 'x': 180.875, 'y': -1.563, 'z': 175.063, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 29.108, 'thr1': -273.15, 'thr2': 29.422, 'thr3': 28.899, 'thr4': 30.053, 'thr5': 30.264}
{'lat': 26.221424968, 'lon': 127.668003892, 'time': 6705, 'x': 180.875, 'y': -1.563, 'z': 175.063, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 29.108, 'thr1': -273.15, 'thr2': 29.422, 'thr3': 28.899, 'thr4': 30.053, 'thr5': 30.264, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0}
{'lat': 26.221424968, 'lon': 127.668003892, 'time': 6705, 'x': 180.875, 'y': -1.563, 'z': 175.063, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 29.108, 'thr1': -273.15, 'thr2': 29.422, 'thr3': 28.899, 'thr4': 30.053, 'thr5': 30.264, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.4, 'cel2': 2.1, 'cel3': 2.8, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0}
{'lat': 26.221424968, 'lon': 127.668003892, 'time': 6705, 'x': 180.875, 'y': -1.563, 'z': 175.063, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 29.108, 'thr1': -273.15, 'thr2': 29.422, 'thr3': 28.899, 'thr4': 30.053, 'thr5': 30.264, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.4, 'cel2': 2.1, 'cel3': 2.8, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0}
{'lat': 26.221424968, 'lon': 127.668003892, 'time': 6705, 'x': 180.875, 'y': -1.563, 'z': 175.063, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 29.108, 'thr1': -273.15, 'thr2': 29.422, 'thr3': 28.899, 'thr4': 30.053, 'thr5': 30.264, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.4, 'cel2': 2.1, 'cel3': 2.8, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 6714}
{'lat': 26.221424968, 'lon': 127.668003892, 'time': 7068, 'x': 182.438, 'y': -2.25, 'z': 175.063, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 29.108, 'thr1': -273.15, 'thr2': 29.422, 'thr3': 28.899, 'thr4': 30.053, 'thr5': 30.264, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.4, 'cel2': 2.1, 'cel3': 2.8, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 6714}
{'lat': 26.221424968, 'lon': 127.668003892, 'time': 7068, 'x': 182.438, 'y': -2.25, 'z': 175.063, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 28.899, 'thr1': -273.15, 'thr2': 29.212, 'thr3': 28.586, 'thr4': 29.632, 'thr5': 29.947, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.4, 'cel2': 2.1, 'cel3': 2.8, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 6714}
{'lat': 26.221424968, 'lon': 127.668003892, 'time': 7068, 'x': 182.438, 'y': -2.25, 'z': 175.063, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 28.899, 'thr1': -273.15, 'thr2': 29.212, 'thr3': 28.586, 'thr4': 29.632, 'thr5': 29.947, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.1, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 6714}
{'lat': 26.221424968, 'lon': 127.668003892, 'time': 7068, 'x': 182.438, 'y': -2.25, 'z': 175.063, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 28.899, 'thr1': -273.15, 'thr2': 29.212, 'thr3': 28.586, 'thr4': 29.632, 'thr5': 29.947, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.1, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 7078}
{'lat': 26.221424968, 'lon': 127.668003892, 'time': 7433, 'x': 184.125, 'y': -1.563, 'z': 175.063, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 28.899, 'thr1': -273.15, 'thr2': 29.212, 'thr3': 28.586, 'thr4': 29.632, 'thr5': 29.947, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.1, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 7078}
{'lat': 26.221424968, 'lon': 127.668003892, 'time': 7433, 'x': 184.125, 'y': -1.563, 'z': 174.25, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 29.108, 'thr1': -273.15, 'thr2': 29.527, 'thr3': 29.003, 'thr4': 29.632, 'thr5': 29.947, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.1, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 7078}
{'lat': 26.221424968, 'lon': 127.668003892, 'time': 7433, 'x': 184.125, 'y': -1.563, 'z': 174.25, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 29.108, 'thr1': -273.15, 'thr2': 29.527, 'thr3': 29.003, 'thr4': 29.947, 'thr5': 30.053, 'cur0': 0.0, 'cur1': 1.4, 'cur2': 0.1, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.1, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 7078}
{'lat': 26.221427405, 'lon': 127.667995971, 'time': 7798, 'x': 185.875, 'y': -0.563, 'z': 173.938, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 28.586, 'thr1': -273.15, 'thr2': 29.527, 'thr3': 29.003, 'thr4': 29.947, 'thr5': 30.053, 'cur0': 0.0, 'cur1': 1.4, 'cur2': 0.1, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 7442}
{'lat': 26.221427405, 'lon': 127.667995971, 'time': 7798, 'x': 185.875, 'y': -0.563, 'z': 173.938, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 28.586, 'thr1': -273.15, 'thr2': 29.003, 'thr3': 28.482, 'thr4': 29.527, 'thr5': 29.842, 'cur0': 0.0, 'cur1': 2.1, 'cur2': 0.1, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 7442}
{'lat': 26.221427405, 'lon': 127.667995971, 'time': 7798, 'x': 185.875, 'y': -0.563, 'z': 173.938, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 28.586, 'thr1': -273.15, 'thr2': 29.003, 'thr3': 28.482, 'thr4': 29.527, 'thr5': 29.842, 'cur0': 0.0, 'cur1': 2.1, 'cur2': 0.1, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 7808}
