{}
{'lat': 26.221420305, 'lon': 127.667959977}
{'lat': 26.221420305, 'lon': 127.667959977, 'time': 1082, 'x': 193.25}
{'lat': 26.221420305, 'lon': 127.667959977, 'time': 1082, 'x': 193.25, 'y': 0.188}
{'lat': 26.221420305, 'lon': 127.667959977, 'time': 1082, 'x': 193.25, 'y': 0.188, 'z': 174.75}
{'lat': 26.221420305, 'lon': 127.667959977, 'time': 1082, 'x': 193.25, 'y': 0.188, 'z': 174.75, 'watertmp': 26.0, 'depth': 0.2, 'thr0': 29.527, 'thr1': -273.15, 'thr2': 29.003, 'thr3': 28.275}
{'lat': 26.221420305, 'lon': 127.667959977, 'time': 1082, 'x': 193.25, 'y': 0.188, 'z': 174.75, 'watertmp': 26.0, 'depth': 0.2, 'thr0': 29.527, 'thr1': -273.15, 'thr2': 29.003, 'thr3': 28.275, 'thr4': 30.37, 'thr5': 30.158}
{'lat': 26.221420305, 'lon': 127.667959977, 'time': 1082, 'x': 193.25, 'y': 0.188, 'z': 174.75, 'watertmp': 26.0, 'depth': 0.2, 'thr0': 29.527, 'thr1': -273.15, 'thr2': 29.003, 'thr3': 28.275, 'thr4': 30.37, 'thr5': 30.158, 'cur0': 0.0, 'cur1': 0.0}
{'lat': 26.221420305, 'lon': 127.667959977, 'time': 1082, 'x': 193.25, 'y': 0.188, 'z': 174.75, 'watertmp': 26.0, 'depth': 0.2, 'thr0': 29.527, 'thr1': -273.15, 'thr2': 29.003, 'thr3': 28.275, 'thr4': 30.37, 'thr5': 30.158, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2}
{'lat': 26.221420305, 'lon': 127.667959977, 'time': 1082, 'x': 193.25, 'y': 0.188, 'z': 174.75, 'watertmp': 26.0, 'depth': 0.2, 'thr0': 29.527, 'thr1': -273.15, 'thr2': 29.003, 'thr3': 28.275, 'thr4': 30.37, 'thr5': 30.158, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.9}
{'lat': 26.221420305, 'lon': 127.667959977, 'time': 1082, 'x': 193.25, 'y': 0.188, 'z': 174.75, 'watertmp': 26.0, 'depth': 0.2, 'thr0': 29.527, 'thr1': -273.15, 'thr2': 29.003, 'thr3': 28.275, 'thr4': 30.37, 'thr5': 30.158, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0}
{'lat': 26.221420305, 'lon': 127.667959977, 'time': 1082, 'x': 193.25, 'y': 0.188, 'z': 174.75, 'watertmp': 26.0, 'depth': 0.2, 'thr0': 29.527, 'thr1': -273.15, 'thr2': 29.003, 'thr3': 28.275, 'thr4': 30.37, 'thr5': 30.158, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0}
{'lat': 26.221420305, 'lon': 127.667959977, 'time': 1082, 'x': 193.25, 'y': 0.188, 'z': 174.75, 'watertmp': 26.0, 'depth': 0.2, 'thr0': 29.527, 'thr1': -273.15, 'thr2': 29.003, 'thr3': 28.275, 'thr4': 30.37, 'thr5': 30.158, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0}
{'lat': 26.221420305, 'lon': 127.667959977, 'time': 1082, 'x': 193.25, 'y': 0.188, 'z': 174.75, 'watertmp': 26.0, 'depth': 0.2, 'thr0': 29.527, 'thr1': -273.15, 'thr2': 29.003, 'thr3': 28.275, 'thr4': 30.37, 'thr5': 30.158, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0}
{'lat': 26.221420305, 'lon': 127.667959977, 'time': 1444, 'x': 192.188, 'y': 0.188, 'z': 174.75, 'watertmp': 26.0, 'depth': 0.2, 'thr0': 29.527, 'thr1': -273.15, 'thr2': 29.003, 'thr3': 28.275, 'thr4': 30.37, 'thr5': 30.158, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1091}
{'lat': 26.221420305, 'lon': 127.667959977, 'time': 1444, 'x': 192.188, 'y': 0.875, 'z': 174.813, 'watertmp': 26.0, 'depth': 0.2, 'thr0': 29.317, 'thr1': -273.15, 'thr2': 29.003, 'thr3': 28.275, 'thr4': 30.37, 'thr5': 30.158, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1091}
{'lat': 26.221420305, 'lon': 127.667959977, 'time': 1444, 'x': 192.188, 'y': 0.875, 'z': 174.813, 'watertmp': 26.0, 'depth': 0.2, 'thr0': 29.317, 'thr1': -273.15, 'thr2': 28.794, 'thr3': 28.067, 'thr4': 30.37, 'thr5': 30.158, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1091}
{'lat': 26.221420305, 'lon': 127.667959977, 'time': 1808, 'x': 192.563, 'y': 0.875, 'z': 174.813, 'watertmp': 26.0, 'depth': 0.2, 'thr0': 29.317, 'thr1': -273.15, 'thr2': 28.794, 'thr3': 28.067, 'thr4': 30.264, 'thr5': 30.158, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1455}
{'lat': 26.221420305, 'lon': 127.667959977, 'time': 1808, 'x': 192.563, 'y': 0.688, 'z': 174.313, 'watertmp': 26.0, 'depth': 0.2, 'thr0': 29.317, 'thr1': -273.15, 'thr2': 28.794, 'thr3': 28.067, 'thr4': 30.264, 'thr5': 30.158, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1455}
{'lat': 26.221420305, 'lon': 127.667959977, 'time': 1808, 'x': 192.563, 'y': 0.688, 'z': 174.313, 'watertmp': 26.0, 'depth': 0.2, 'thr0': 29.632, 'thr1': -273.15, 'thr2': 29.108, 'thr3': 28.378, 'thr4': 30.264, 'thr5': 30.158, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1455}
{'lat': 26.221420305, 'lon': 127.667959977, 'time': 1808, 'x': 192.563, 'y': 0.688, 'z': 174.313, 'watertmp': 26.0, 'depth': 0.2, 'thr0': 29.632, 'thr1': -273.15, 'thr2': 29.108, 'thr3': 28.378, 'thr4': 30.582, 'thr5': 30.37, 'cur0': 0.0, 'cur1': 1.3, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1455}
{'lat': 26.221420305, 'lon': 127.667959977, 'time': 1808, 'x': 192.563, 'y': 0.688, 'z': 174.313, 'watertmp': 26.0, 'depth': 0.2, 'thr0': 29.632, 'thr1': -273.15, 'thr2': 29.108, 'thr3': 28.378, 'thr4': 30.582, 'thr5': 30.37, 'cur0': 0.0, 'cur1': 1.3, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1455}
{'lat': 26.221420305, 'lon': 127.667959977, 'time': 1808, 'x': 192.563, 'y': 0.688, 'z': 174.313, 'watertmp': 26.0, 'depth': 0.2, 'thr0': 29.632, 'thr1': -273.15, 'thr2': 29.108, 'thr3': 28.378, 'thr4': 30.582, 'thr5': 30.37, 'cur0': 0.0, 'cur1': 1.3, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1818}
{'lat': 26.221420305, 'lon': 127.667959977, 'time': 2170, 'x': 192.063, 'y': -1.813, 'z': 174.313, 'watertmp': 26.0, 'depth': 0.2, 'thr0': 29.632, 'thr1': -273.15, 'thr2': 29.108, 'thr3': 28.378, 'thr4': 30.582, 'thr5': 30.37, 'cur0': 0.0, 'cur1': 1.3, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1818}
{'lat': 26.221420305, 'lon': 127.667959977, 'time': 2170, 'x': 192.063, 'y': -1.813, 'z': 174.938, 'watertmp': 26.0, 'depth': 0.2, 'thr0': 29.632, 'thr1': -273.15, 'thr2': 29.212, 'thr3': 28.275, 'thr4': 30.582, 'thr5': 30.37, 'cur0': 0.0, 'cur1': 1.3, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1818}
