{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 26.221609528, 'lon': 127.668031553}
{'lat': 26.221609528, 'lon': 127.668031553, 'time': 1082, 'x': 286.438}
{'lat': 26.221609528, 'lon': 127.668031553, 'time': 1082, 'x': 286.438, 'y': -1.625, 'z': 174.75, 'watertmp': 25.6}
{'lat': 26.221609528, 'lon': 127.668031553, 'time': 1082, 'x': 286.438, 'y': -1.625, 'z': 174.75, 'watertmp': 25.6, 'depth': 0.2, 'thr0': 29.317, 'thr1': -273.15}
{'lat': 26.221609528, 'lon': 127.668031553, 'time': 1082, 'x': 286.438, 'y': -1.625, 'z': 174.75, 'watertmp': 25.6, 'depth': 0.2, 'thr0': 29.317, 'thr1': -273.15, 'thr2': 24.495, 'thr3': 24.495, 'thr4': 28.69}
{'lat': 26.221609528, 'lon': 127.668031553, 'time': 1082, 'x': 286.438, 'y': -1.625, 'z': 174.75, 'watertmp': 25.6, 'depth': 0.2, 'thr0': 29.317, 'thr1': -273.15, 'thr2': 24.495, 'thr3': 24.495, 'thr4': 28.69, 'thr5': 28.482, 'cur0': 0.0, 'cur1': 0.0}
{'lat': 26.221609528, 'lon': 127.668031553, 'time': 1082, 'x': 286.438, 'y': -1.625, 'z': 174.75, 'watertmp': 25.6, 'depth': 0.2, 'thr0': 29.317, 'thr1': -273.15, 'thr2': 24.495, 'thr3': 24.495, 'thr4': 28.69, 'thr5': 28.482, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.7}
{'lat': 26.221609528, 'lon': 127.668031553, 'time': 1082, 'x': 286.438, 'y': -1.625, 'z': 174.75, 'watertmp': 25.6, 'depth': 0.2, 'thr0': 29.317, 'thr1': -273.15, 'thr2': 24.495, 'thr3': 24.495, 'thr4': 28.69, 'thr5': 28.482, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.7, 'cel2': 5.9, 'cel3': 5.3, 'cel4': 4.8}
{'lat': 26.221609528, 'lon': 127.668031553, 'time': 1082, 'x': 286.438, 'y': -1.625, 'z': 174.75, 'watertmp': 25.6, 'depth': 0.2, 'thr0': 29.317, 'thr1': -273.15, 'thr2': 24.495, 'thr3': 24.495, 'thr4': 28.69, 'thr5': 28.482, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.7, 'cel2': 5.9, 'cel3': 5.3, 'cel4': 4.8, 'cel5': 4.3, 'rot0': 0, 'rot1': 0}
{'lat': 26.221609528, 'lon': 127.668031553, 'time': 1082, 'x': 286.438, 'y': -1.625, 'z': 174.75, 'watertmp': 25.6, 'depth': 0.2, 'thr0': 29.317, 'thr1': -273.15, 'thr2': 24.495, 'thr3': 24.495, 'thr4': 28.69, 'thr5': 28.482, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.7, 'cel2': 5.9, 'cel3': 5.3, 'cel4': 4.8, 'cel5': 4.3, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0}
{'lat': 26.221609528, 'lon': 127.668031553, 'time': 1082, 'x': 286.438, 'y': -1.625, 'z': 174.75, 'watertmp': 25.6, 'depth': 0.2, 'thr0': 29.317, 'thr1': -273.15, 'thr2': 24.495, 'thr3': 24.495, 'thr4': 28.69, 'thr5': 28.482, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.7, 'cel2': 5.9, 'cel3': 5.3, 'cel4': 4.8, 'cel5': 4.3, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0}
{'lat': 26.221609528, 'lon': 127.668031553, 'time': 1447, 'x': 287.125, 'y': -1.563, 'z': 173.313, 'watertmp': 25.6, 'depth': 0.2, 'thr0': 29.003, 'thr1': -273.15, 'thr2': 24.294, 'thr3': 24.495, 'thr4': 28.69, 'thr5': 28.482, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.7, 'cel2': 5.9, 'cel3': 5.3, 'cel4': 4.8, 'cel5': 4.3, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 26.221609528, 'lon': 127.668031553, 'time': 1447, 'x': 287.125, 'y': -1.563, 'z': 173.313, 'watertmp': 25.6, 'depth': 0.2, 'thr0': 29.003, 'thr1': -273.15, 'thr2': 24.294, 'thr3': 24.193, 'thr4': 28.275, 'thr5': 28.378, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.7, 'cel2': 5.9, 'cel3': 5.3, 'cel4': 4.8, 'cel5': 4.3, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 26.221609528, 'lon': 127.668031553, 'time': 1813, 'x': 287.563, 'y': -1.875, 'z': 176.813, 'watertmp': 25.6, 'depth': 0.2, 'thr0': 29.737, 'thr1': -273.15, 'thr2': 24.294, 'thr3': 24.193, 'thr4': 28.275, 'thr5': 28.378, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.7, 'cel2': 6.0, 'cel3': 5.3, 'cel4': 4.8, 'cel5': 4.3, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1458}
{'lat': 26.221609528, 'lon': 127.668031553, 'time': 1813, 'x': 287.563, 'y': -1.875, 'z': 176.813, 'watertmp': 25.6, 'depth': 0.2, 'thr0': 29.737, 'thr1': -273.15, 'thr2': 24.294, 'thr3': 23.391, 'thr4': 28.275, 'thr5': 27.654, 'cur0': 9.1, 'cur1': 0.3, 'cur2': 7.4, 'cel0': 10.5, 'cel1': 8.3, 'cel2': 6.6, 'cel3': 5.3, 'cel4': 4.8, 'cel5': 4.3, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1458}
{'lat': 26.221609528, 'lon': 127.668031553, 'time': 1813, 'x': 287.563, 'y': -1.875, 'z': 176.813, 'watertmp': 25.6, 'depth': 0.2, 'thr0': 29.737, 'thr1': -273.15, 'thr2': 24.294, 'thr3': 23.391, 'thr4': 28.275, 'thr5': 27.654, 'cur0': 9.1, 'cur1': 0.3, 'cur2': 7.4, 'cel0': 10.5, 'cel1': 8.3, 'cel2': 6.6, 'cel3': 5.9, 'cel4': 5.6, 'cel5': 5.2, 'rot0': 35, 'rot1': 66, 'rot2': 144, 'rot3': 113, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1458}
{'lat': 26.221617625, 'lon': 127.668031553, 'time': 2184, 'x': 288.125, 'y': -2.875, 'z': 175.125, 'watertmp': 25.6, 'depth': 0.2, 'thr0': 27.757, 'thr1': -273.15, 'thr2': 24.294, 'thr3': 23.391, 'thr4': 28.275, 'thr5': 27.654, 'cur0': 9.1, 'cur1': 0.3, 'cur2': 7.4, 'cel0': 10.5, 'cel1': 8.3, 'cel2': 6.6, 'cel3': 5.9, 'cel4': 5.6, 'cel5': 5.2, 'rot0': 35, 'rot1': 66, 'rot2': 144, 'rot3': 113, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1824}
{'lat': 26.221617625, 'lon': 127.668031553, 'time': 2184, 'x': 288.125, 'y': -2.875, 'z': 175.125, 'watertmp': 25.6, 'depth': 0.2, 'thr0': 27.757, 'thr1': -273.15, 'thr2': 24.395, 'thr3': 24.294, 'thr4': 28.171, 'thr5': 27.654, 'cur0': 8.6, 'cur1': 0.1, 'cur2': 7.5, 'cel0': 11.1, 'cel1': 8.3, 'cel2': 6.6, 'cel3': 5.9, 'cel4': 5.6, 'cel5': 5.2, 'rot0': 35, 'rot1': 66, 'rot2': 144, 'rot3': 113, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1824}
{'lat': 26.221617625, 'lon': 127.668031553, 'time': 2184, 'x': 288.125, 'y': -2.875, 'z': 175.125, 'watertmp': 25.6, 'depth': 0.2, 'thr0': 27.757, 'thr1': -273.15, 'thr2': 24.395, 'thr3': 24.294, 'thr4': 28.171, 'thr5': 27.654, 'cur0': 8.6, 'cur1': 0.1, 'cur2': 7.5, 'cel0': 11.1, 'cel1': 8.8, 'cel2': 6.8, 'cel3': 6.0, 'cel4': 5.6, 'cel5': 5.3, 'rot0': 57, 'rot1': 83, 'rot2': 325, 'rot3': 113, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1824}
{'lat': 26.221617625, 'lon': 127.668031553, 'time': 2556, 'x': 289.625, 'y': -2.875, 'z': 175.125, 'watertmp': 25.6, 'depth': 0.2, 'thr0': 27.757, 'thr1': -273.15, 'thr2': 24.395, 'thr3': 24.294, 'thr4': 28.171, 'thr5': 27.654, 'cur0': 8.6, 'cur1': 0.1, 'cur2': 7.5, 'cel0': 11.1, 'cel1': 8.8, 'cel2': 6.8, 'cel3': 6.0, 'cel4': 5.6, 'cel5': 5.3, 'rot0': 57, 'rot1': 83, 'rot2': 325, 'rot3': 278, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 2195}
{'lat': 26.221617625, 'lon': 127.668031553, 'time': 2556, 'x': 289.625, 'y': -3.25, 'z': 171.5, 'watertmp': 25.6, 'depth': 0.2, 'thr0': 27.757, 'thr1': -273.15, 'thr2': 24.395, 'thr3': 24.294, 'thr4': 28.171, 'thr5': 27.654, 'cur0': 8.6, 'cur1': 0.1, 'cur2': 7.5, 'cel0': 11.1, 'cel1': 8.8, 'cel2': 6.8, 'cel3': 6.0, 'cel4': 5.6, 'cel5': 5.3, 'rot0': 57, 'rot1': 83, 'rot2': 325, 'rot3': 278, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 2195}
{'lat': 26.221617625, 'lon': 127.668031553, 'time': 2556, 'x': 289.625, 'y': -3.25, 'z': 171.5, 'watertmp': 25.6, 'depth': 0.2, 'thr0': 28.275, 'thr1': -273.15, 'thr2': 24.294, 'thr3': 22.791, 'thr4': 28.482, 'thr5': 27.654, 'cur0': 8.6, 'cur1': 0.1, 'cur2': 7.5, 'cel0': 11.1, 'cel1': 8.8, 'cel2': 6.8, 'cel3': 6.0, 'cel4': 5.6, 'cel5': 5.3, 'rot0': 57, 'rot1': 83, 'rot2': 325, 'rot3': 278, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 2195}
{'lat': 26.221617625, 'lon': 127.668031553, 'time': 2556, 'x': 289.625, 'y': -3.25, 'z': 171.5, 'watertmp': 25.6, 'depth': 0.2, 'thr0': 28.275, 'thr1': -273.15, 'thr2': 24.294, 'thr3': 22.791, 'thr4': 28.482, 'thr5': 26.934, 'cur0': 8.8, 'cur1': 0.3, 'cur2': 7.5, 'cel0': 11.1, 'cel1': 8.8, 'cel2': 6.8, 'cel3': 6.0, 'cel4': 5.6, 'cel5': 5.3, 'rot0': 57, 'rot1': 83, 'rot2': 325, 'rot3': 278, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 2195}
{'lat': 26.221617625, 'lon': 127.668031553, 'time': 2556, 'x': 289.625, 'y': -3.25, 'z': 171.5, 'watertmp': 25.6, 'depth': 0.2, 'thr0': 28.275, 'thr1': -273.15, 'thr2': 24.294, 'thr3': 22.791, 'thr4': 28.482, 'thr5': 26.934, 'cur0': 8.8, 'cur1': 0.3, 'cur2': 7.3, 'cel0': 10.5, 'cel1': 8.8, 'cel2': 6.8, 'cel3': 6.0, 'cel4': 5.6, 'cel5': 5.3, 'rot0': 57, 'rot1': 83, 'rot2': 325, 'rot3': 278, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 2195}
{'lat': 26.221617625, 'lon': 127.668031553, 'time': 2556, 'x': 289.625, 'y': -3.25, 'z': 171.5, 'watertmp': 25.6, 'depth': 0.2, 'thr0': 28.275, 'thr1': -273.15, 'thr2': 24.294, 'thr3': 22.791, 'thr4': 28.482, 'thr5': 26.934, 'cur0': 8.8, 'cur1': 0.3, 'cur2': 7.3, 'cel0': 10.5, 'cel1': 8.8, 'cel2': 6.9, 'cel3': 6.0, 'cel4': 5.5, 'cel5': 5.2, 'rot0': 77, 'rot1': 101, 'rot2': 511, 'rot3': 441, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 2195}
{'lat': 26.221617625, 'lon': 127.668031553, 'time': 2556, 'x': 289.625, 'y': -3.25, 'z': 171.5, 'watertmp': 25.6, 'depth': 0.2, 'thr0': 28.275, 'thr1': -273.15, 'thr2': 24.294, 'thr3': 22.791, 'thr4': 28.482, 'thr5': 26.934, 'cur0': 8.8, 'cur1': 0.3, 'cur2': 7.3, 'cel0': 10.5, 'cel1': 8.8, 'cel2': 6.9, 'cel3': 6.0, 'cel4': 5.5, 'cel5': 5.2, 'rot0': 77, 'rot1': 101, 'rot2': 511, 'rot3': 441, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 2568}
{'lat': 26.221617625, 'lon': 127.668031553, 'time': 2928, 'x': 289.875, 'y': -3.25, 'z': 171.5, 'watertmp': 25.6, 'depth': 0.2, 'thr0': 28.275, 'thr1': -273.15, 'thr2': 24.294, 'thr3': 22.791, 'thr4': 28.482, 'thr5': 26.934, 'cur0': 8.8, 'cur1': 0.3, 'cur2': 7.3, 'cel0': 10.5, 'cel1': 8.8, 'cel2': 6.9, 'cel3': 6.0, 'cel4': 5.5, 'cel5': 5.2, 'rot0': 77, 'rot1': 101, 'rot2': 511, 'rot3': 441, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 2568}
{'lat': 26.221617625, 'lon': 127.668031553, 'time': 2928, 'x': 289.875, 'y': -2.438, 'z': 172.813, 'watertmp': 25.6, 'depth': 0.2, 'thr0': 28.275, 'thr1': -273.15, 'thr2': 24.294, 'thr3': 22.791, 'thr4': 28.482, 'thr5': 26.934, 'cur0': 8.8, 'cur1': 0.3, 'cur2': 7.3, 'cel0': 10.5, 'cel1': 8.8, 'cel2': 6.9, 'cel3': 6.0, 'cel4': 5.5, 'cel5': 5.2, 'rot0': 77, 'rot1': 101, 'rot2': 511, 'rot3': 441, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 2568}
{'lat': 26.221617625, 'lon': 127.668031553, 'time': 2928, 'x': 289.875, 'y': -2.438, 'z': 172.813, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 28.794, 'thr1': -273.15, 'thr2': 24.294, 'thr3': 22.791, 'thr4': 28.482, 'thr5': 26.934, 'cur0': 8.8, 'cur1': 0.3, 'cur2': 7.3, 'cel0': 10.5, 'cel1': 8.8, 'cel2': 6.9, 'cel3': 6.0, 'cel4': 5.5, 'cel5': 5.2, 'rot0': 77, 'rot1': 101, 'rot2': 511, 'rot3': 441, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 2568}
