{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 26.221579643, 'lon': 127.668033359}
{'lat': 26.221579643, 'lon': 127.668033359, 'time': 1073}
{'lat': 26.221579643, 'lon': 127.668033359, 'time': 1073, 'x': 198.875, 'y': -1.875, 'z': 173.313}
{'lat': 26.221579643, 'lon': 127.668033359, 'time': 1073, 'x': 198.875, 'y': -1.875, 'z': 173.313, 'watertmp': 25.6}
{'lat': 26.221579643, 'lon': 127.668033359, 'time': 1073, 'x': 198.875, 'y': -1.875, 'z': 173.313, 'watertmp': 25.6, 'depth': 0.3}
{'lat': 26.221579643, 'lon': 127.668033359, 'time': 1073, 'x': 198.875, 'y': -1.875, 'z': 173.313, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 28.794}
{'lat': 26.221579643, 'lon': 127.668033359, 'time': 1073, 'x': 198.875, 'y': -1.875, 'z': 173.313, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 28.794, 'thr1': -273.15, 'thr2': 24.798, 'thr3': 24.495, 'thr4': 29.108, 'thr5': 29.003, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3}
{'lat': 26.221579643, 'lon': 127.668033359, 'time': 1073, 'x': 198.875, 'y': -1.875, 'z': 173.313, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 28.794, 'thr1': -273.15, 'thr2': 24.798, 'thr3': 24.495, 'thr4': 29.108, 'thr5': 29.003, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.6, 'cel2': 5.9}
{'lat': 26.221579643, 'lon': 127.668033359, 'time': 1073, 'x': 198.875, 'y': -1.875, 'z': 173.313, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 28.794, 'thr1': -273.15, 'thr2': 24.798, 'thr3': 24.495, 'thr4': 29.108, 'thr5': 29.003, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.6, 'cel2': 5.9, 'cel3': 5.2}
{'lat': 26.221579643, 'lon': 127.668033359, 'time': 1073, 'x': 198.875, 'y': -1.875, 'z': 173.313, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 28.794, 'thr1': -273.15, 'thr2': 24.798, 'thr3': 24.495, 'thr4': 29.108, 'thr5': 29.003, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.6, 'cel2': 5.9, 'cel3': 5.2, 'cel4': 4.7, 'cel5': 4.3, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0}
{'lat': 26.221579643, 'lon': 127.668033359, 'time': 1073, 'x': 198.875, 'y': -1.875, 'z': 173.313, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 28.794, 'thr1': -273.15, 'thr2': 24.798, 'thr3': 24.495, 'thr4': 29.108, 'thr5': 29.003, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.6, 'cel2': 5.9, 'cel3': 5.2, 'cel4': 4.7, 'cel5': 4.3, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0}
{'lat': 26.221579643, 'lon': 127.668033359, 'time': 1073, 'x': 198.875, 'y': -1.875, 'z': 173.313, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 28.794, 'thr1': -273.15, 'thr2': 24.798, 'thr3': 24.495, 'thr4': 29.108, 'thr5': 29.003, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.6, 'cel2': 5.9, 'cel3': 5.2, 'cel4': 4.7, 'cel5': 4.3, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0}
{'lat': 26.221579643, 'lon': 127.668033359, 'time': 1438, 'x': 197.938, 'y': -1.563, 'z': 173.313, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 28.794, 'thr1': -273.15, 'thr2': 24.798, 'thr3': 24.495, 'thr4': 29.108, 'thr5': 29.003, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.6, 'cel2': 5.9, 'cel3': 5.2, 'cel4': 4.7, 'cel5': 4.3, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1082}
{'lat': 26.221579643, 'lon': 127.668033359, 'time': 1438, 'x': 197.938, 'y': -1.563, 'z': 172.188, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 28.899, 'thr1': -273.15, 'thr2': 24.798, 'thr3': 24.495, 'thr4': 29.108, 'thr5': 29.003, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.6, 'cel2': 5.9, 'cel3': 5.2, 'cel4': 4.7, 'cel5': 4.3, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1082}
{'lat': 26.221579643, 'lon': 127.668033359, 'time': 1438, 'x': 197.938, 'y': -1.563, 'z': 172.188, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 28.899, 'thr1': -273.15, 'thr2': 24.495, 'thr3': 24.294, 'thr4': 29.108, 'thr5': 29.003, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.6, 'cel2': 5.9, 'cel3': 5.2, 'cel4': 4.7, 'cel5': 4.3, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1082}
{'lat': 26.221579643, 'lon': 127.668033359, 'time': 1438, 'x': 197.938, 'y': -1.563, 'z': 172.188, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 28.899, 'thr1': -273.15, 'thr2': 24.495, 'thr3': 24.294, 'thr4': 28.899, 'thr5': 28.899, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.6, 'cel2': 5.9, 'cel3': 5.2, 'cel4': 4.7, 'cel5': 4.3, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1082}
{'lat': 26.221579643, 'lon': 127.668033359, 'time': 1438, 'x': 197.938, 'y': -1.563, 'z': 172.188, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 28.899, 'thr1': -273.15, 'thr2': 24.495, 'thr3': 24.294, 'thr4': 28.899, 'thr5': 28.899, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.6, 'cel2': 6.0, 'cel3': 5.3, 'cel4': 4.7, 'cel5': 4.3, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1082}
{'lat': 26.221579643, 'lon': 127.668033359, 'time': 1804, 'x': 197.375, 'y': -1.313, 'z': 172.188, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 28.899, 'thr1': -273.15, 'thr2': 24.495, 'thr3': 24.294, 'thr4': 28.899, 'thr5': 28.899, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.6, 'cel2': 6.0, 'cel3': 5.3, 'cel4': 4.7, 'cel5': 4.3, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1447}
{'lat': 26.221579643, 'lon': 127.668033359, 'time': 1804, 'x': 197.375, 'y': -1.313, 'z': 173.313, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 29.108, 'thr1': -273.15, 'thr2': 24.495, 'thr3': 24.294, 'thr4': 28.899, 'thr5': 28.899, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.6, 'cel2': 6.0, 'cel3': 5.3, 'cel4': 4.7, 'cel5': 4.3, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1447}
{'lat': 26.221579643, 'lon': 127.668033359, 'time': 1804, 'x': 197.375, 'y': -1.313, 'z': 173.313, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 29.108, 'thr1': -273.15, 'thr2': 24.798, 'thr3': 23.691, 'thr4': 29.003, 'thr5': 28.899, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.6, 'cel2': 6.0, 'cel3': 5.3, 'cel4': 4.7, 'cel5': 4.3, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1447}
{'lat': 26.221579643, 'lon': 127.668033359, 'time': 1804, 'x': 197.375, 'y': -1.313, 'z': 173.313, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 29.108, 'thr1': -273.15, 'thr2': 24.798, 'thr3': 23.691, 'thr4': 29.003, 'thr5': 28.69, 'cur0': 9.2, 'cur1': 0.3, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.6, 'cel2': 6.0, 'cel3': 5.3, 'cel4': 4.7, 'cel5': 4.3, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1447}
{'lat': 26.221579643, 'lon': 127.668033359, 'time': 1804, 'x': 197.375, 'y': -1.313, 'z': 173.313, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 29.108, 'thr1': -273.15, 'thr2': 24.798, 'thr3': 23.691, 'thr4': 29.003, 'thr5': 28.69, 'cur0': 9.2, 'cur1': 0.3, 'cur2': 7.7, 'cel0': 10.6, 'cel1': 8.1, 'cel2': 6.0, 'cel3': 5.3, 'cel4': 4.7, 'cel5': 4.3, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1447}
