{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 26.221498495, 'lon': 127.668008201, 'time': 6715, 'x': 135.75, 'y': -0.375, 'z': 173.313, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 25.506, 'thr1': -273.15, 'thr2': 24.093, 'thr3': 24.093, 'thr4': 25.101, 'thr5': 25.405, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.4, 'cel1': 7.3, 'cel2': 5.5}
{'lat': 26.221498495, 'lon': 127.668008201, 'time': 6715, 'x': 135.75, 'y': -0.375, 'z': 173.313, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 25.506, 'thr1': -273.15, 'thr2': 24.093, 'thr3': 24.093, 'thr4': 25.101, 'thr5': 25.405, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.4, 'cel1': 7.3, 'cel2': 5.5, 'cel3': 4.9, 'cel4': 4.2, 'cel5': 3.9, 'rot0': 0}
{'lat': 26.221498495, 'lon': 127.668008201, 'time': 6715, 'x': 135.75, 'y': -0.375, 'z': 173.313, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 25.506, 'thr1': -273.15, 'thr2': 24.093, 'thr3': 24.093, 'thr4': 25.101, 'thr5': 25.405, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.4, 'cel1': 7.3, 'cel2': 5.5, 'cel3': 4.9, 'cel4': 4.2, 'cel5': 3.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0}
{'lat': 26.221498495, 'lon': 127.668008201, 'time': 6715, 'x': 135.75, 'y': -0.375, 'z': 173.313, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 25.506, 'thr1': -273.15, 'thr2': 24.093, 'thr3': 24.093, 'thr4': 25.101, 'thr5': 25.405, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.4, 'cel1': 7.3, 'cel2': 5.5, 'cel3': 4.9, 'cel4': 4.2, 'cel5': 3.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0}
{'lat': 26.221498495, 'lon': 127.668008201, 'time': 6715, 'x': 135.75, 'y': -0.375, 'z': 173.313, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 25.506, 'thr1': -273.15, 'thr2': 24.093, 'thr3': 24.093, 'thr4': 25.101, 'thr5': 25.405, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.4, 'cel1': 7.3, 'cel2': 5.5, 'cel3': 4.9, 'cel4': 4.2, 'cel5': 3.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 6725}
{'lat': 26.221498495, 'lon': 127.668008201, 'time': 7080, 'x': 136.0, 'y': -1.875, 'z': 173.313, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 25.506, 'thr1': -273.15, 'thr2': 24.093, 'thr3': 24.093, 'thr4': 25.101, 'thr5': 25.405, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.4, 'cel1': 7.3, 'cel2': 5.5, 'cel3': 4.9, 'cel4': 4.2, 'cel5': 3.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 6725}
{'lat': 26.221498495, 'lon': 127.668008201, 'time': 7080, 'x': 136.0, 'y': -1.875, 'z': 174.75, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 25.608, 'thr1': -273.15, 'thr2': 24.093, 'thr3': 24.093, 'thr4': 25.101, 'thr5': 25.405, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.4, 'cel1': 7.3, 'cel2': 5.5, 'cel3': 4.9, 'cel4': 4.2, 'cel5': 3.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 6725}
{'lat': 26.221498495, 'lon': 127.668008201, 'time': 7080, 'x': 136.0, 'y': -1.875, 'z': 174.75, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 25.608, 'thr1': -273.15, 'thr2': 24.596, 'thr3': 24.596, 'thr4': 25.304, 'thr5': 25.405, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.4, 'cel1': 7.3, 'cel2': 5.5, 'cel3': 4.9, 'cel4': 4.2, 'cel5': 3.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 6725}
{'lat': 26.221498495, 'lon': 127.668008201, 'time': 7080, 'x': 136.0, 'y': -1.875, 'z': 174.75, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 25.608, 'thr1': -273.15, 'thr2': 24.596, 'thr3': 24.596, 'thr4': 25.304, 'thr5': 25.811, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.4, 'cel1': 7.4, 'cel2': 5.6, 'cel3': 5.0, 'cel4': 4.3, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 6725}
{'lat': 26.221498495, 'lon': 127.668008201, 'time': 7080, 'x': 136.0, 'y': -1.875, 'z': 174.75, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 25.608, 'thr1': -273.15, 'thr2': 24.596, 'thr3': 24.596, 'thr4': 25.304, 'thr5': 25.811, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.4, 'cel1': 7.4, 'cel2': 5.6, 'cel3': 5.0, 'cel4': 4.3, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 7091}
{'lat': 26.221498495, 'lon': 127.668008201, 'time': 7447, 'x': 137.0, 'y': -1.375, 'z': 173.75, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 25.608, 'thr1': -273.15, 'thr2': 24.596, 'thr3': 24.596, 'thr4': 25.304, 'thr5': 25.811, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.4, 'cel1': 7.4, 'cel2': 5.6, 'cel3': 5.0, 'cel4': 4.3, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 7091}
{'lat': 26.221498495, 'lon': 127.668008201, 'time': 7447, 'x': 137.0, 'y': -1.375, 'z': 173.75, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 22.293, 'thr1': -273.15, 'thr2': 23.391, 'thr3': 24.093, 'thr4': 25.304, 'thr5': 25.811, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.4, 'cel1': 7.4, 'cel2': 5.6, 'cel3': 5.0, 'cel4': 4.3, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 7091}
{'lat': 26.221498495, 'lon': 127.668008201, 'time': 7447, 'x': 137.0, 'y': -1.375, 'z': 173.75, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 22.293, 'thr1': -273.15, 'thr2': 23.391, 'thr3': 24.093, 'thr4': 24.495, 'thr5': 25.405, 'cur0': 11.3, 'cur1': 0.0, 'cur2': 11.1, 'cel0': 11.1, 'cel1': 7.4, 'cel2': 5.6, 'cel3': 5.0, 'cel4': 4.3, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 7091}
{'lat': 26.221498495, 'lon': 127.668008201, 'time': 7447, 'x': 137.0, 'y': -1.375, 'z': 173.75, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 22.293, 'thr1': -273.15, 'thr2': 23.391, 'thr3': 24.093, 'thr4': 24.495, 'thr5': 25.405, 'cur0': 11.3, 'cur1': 0.0, 'cur2': 11.1, 'cel0': 11.1, 'cel1': 9.0, 'cel2': 6.8, 'cel3': 5.9, 'cel4': 5.3, 'cel5': 5.3, 'rot0': 174, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 7091}
{'lat': 26.221498495, 'lon': 127.668008201, 'time': 7447, 'x': 137.0, 'y': -1.375, 'z': 173.75, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 22.293, 'thr1': -273.15, 'thr2': 23.391, 'thr3': 24.093, 'thr4': 24.495, 'thr5': 25.405, 'cur0': 11.3, 'cur1': 0.0, 'cur2': 11.1, 'cel0': 11.1, 'cel1': 9.0, 'cel2': 6.8, 'cel3': 5.9, 'cel4': 5.3, 'cel5': 5.3, 'rot0': 174, 'rot1': 126, 'rot2': 266, 'rot3': 145, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 7091}
