{}
{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 26.22151068, 'lon': 127.667968595, 'time': 1083, 'x': 143.688, 'y': 1.688}
{'lat': 26.22151068, 'lon': 127.667968595, 'time': 1083, 'x': 143.688, 'y': 1.688, 'z': 173.688, 'watertmp': 26.4, 'depth': 0.3}
{'lat': 26.22151068, 'lon': 127.667968595, 'time': 1083, 'x': 143.688, 'y': 1.688, 'z': 173.688, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 27.757, 'thr1': -273.15}
{'lat': 26.22151068, 'lon': 127.667968595, 'time': 1083, 'x': 143.688, 'y': 1.688, 'z': 173.688, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 27.757, 'thr1': -273.15, 'thr2': 24.798, 'thr3': 24.798}
{'lat': 26.22151068, 'lon': 127.667968595, 'time': 1083, 'x': 143.688, 'y': 1.688, 'z': 173.688, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 27.757, 'thr1': -273.15, 'thr2': 24.798, 'thr3': 24.798, 'thr4': 27.757, 'thr5': 27.964}
{'lat': 26.22151068, 'lon': 127.667968595, 'time': 1083, 'x': 143.688, 'y': 1.688, 'z': 173.688, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 27.757, 'thr1': -273.15, 'thr2': 24.798, 'thr3': 24.798, 'thr4': 27.757, 'thr5': 27.964, 'cur0': 0.0, 'cur1': 0.0}
{'lat': 26.22151068, 'lon': 127.667968595, 'time': 1083, 'x': 143.688, 'y': 1.688, 'z': 173.688, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 27.757, 'thr1': -273.15, 'thr2': 24.798, 'thr3': 24.798, 'thr4': 27.757, 'thr5': 27.964, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0}
{'lat': 26.22151068, 'lon': 127.667968595, 'time': 1083, 'x': 143.688, 'y': 1.688, 'z': 173.688, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 27.757, 'thr1': -273.15, 'thr2': 24.798, 'thr3': 24.798, 'thr4': 27.757, 'thr5': 27.964, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3}
{'lat': 26.22151068, 'lon': 127.667968595, 'time': 1083, 'x': 143.688, 'y': 1.688, 'z': 173.688, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 27.757, 'thr1': -273.15, 'thr2': 24.798, 'thr3': 24.798, 'thr4': 27.757, 'thr5': 27.964, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.5, 'cel2': 5.9}
{'lat': 26.22151068, 'lon': 127.667968595, 'time': 1083, 'x': 143.688, 'y': 1.688, 'z': 173.688, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 27.757, 'thr1': -273.15, 'thr2': 24.798, 'thr3': 24.798, 'thr4': 27.757, 'thr5': 27.964, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.5, 'cel2': 5.9, 'cel3': 5.2, 'cel4': 4.6, 'cel5': 4.2, 'rot0': 0}
{'lat': 26.22151068, 'lon': 127.667968595, 'time': 1083, 'x': 143.688, 'y': 1.688, 'z': 173.688, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 27.757, 'thr1': -273.15, 'thr2': 24.798, 'thr3': 24.798, 'thr4': 27.757, 'thr5': 27.964, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.5, 'cel2': 5.9, 'cel3': 5.2, 'cel4': 4.6, 'cel5': 4.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0}
{'lat': 26.22151068, 'lon': 127.667968595, 'time': 1446, 'x': 143.0, 'y': -1.813, 'z': 172.438, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 27.757, 'thr1': -273.15, 'thr2': 24.798, 'thr3': 24.798, 'thr4': 27.757, 'thr5': 27.964, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.5, 'cel2': 5.9, 'cel3': 5.2, 'cel4': 4.6, 'cel5': 4.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 26.22151068, 'lon': 127.667968595, 'time': 1446, 'x': 143.0, 'y': -1.813, 'z': 172.438, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 27.861, 'thr1': -273.15, 'thr2': 24.798, 'thr3': 24.697, 'thr4': 27.757, 'thr5': 27.964, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.5, 'cel2': 5.9, 'cel3': 5.2, 'cel4': 4.6, 'cel5': 4.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 26.22151068, 'lon': 127.667968595, 'time': 1446, 'x': 143.0, 'y': -1.813, 'z': 172.438, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 27.861, 'thr1': -273.15, 'thr2': 24.798, 'thr3': 24.697, 'thr4': 27.757, 'thr5': 27.964, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.4, 'cel1': 7.6, 'cel2': 6.0, 'cel3': 5.2, 'cel4': 4.6, 'cel5': 4.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 26.22151068, 'lon': 127.667968595, 'time': 1446, 'x': 143.0, 'y': -1.813, 'z': 172.438, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 27.861, 'thr1': -273.15, 'thr2': 24.798, 'thr3': 24.697, 'thr4': 27.757, 'thr5': 27.964, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.4, 'cel1': 7.6, 'cel2': 6.0, 'cel3': 5.3, 'cel4': 4.6, 'cel5': 4.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1457}
{'lat': 26.22151068, 'lon': 127.667968595, 'time': 1812, 'x': 142.063, 'y': -1.875, 'z': 172.75, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 27.861, 'thr1': -273.15, 'thr2': 24.798, 'thr3': 24.697, 'thr4': 27.757, 'thr5': 27.964, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.4, 'cel1': 7.6, 'cel2': 6.0, 'cel3': 5.3, 'cel4': 4.6, 'cel5': 4.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1457}
{'lat': 26.22151068, 'lon': 127.667968595, 'time': 1812, 'x': 142.063, 'y': -1.875, 'z': 172.75, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 24.798, 'thr1': -273.15, 'thr2': 23.491, 'thr3': 24.294, 'thr4': 26.729, 'thr5': 27.551, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.4, 'cel1': 7.6, 'cel2': 6.0, 'cel3': 5.3, 'cel4': 4.6, 'cel5': 4.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1457}
{'lat': 26.22151068, 'lon': 127.667968595, 'time': 1812, 'x': 142.063, 'y': -1.875, 'z': 172.75, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 24.798, 'thr1': -273.15, 'thr2': 23.491, 'thr3': 24.294, 'thr4': 26.729, 'thr5': 27.551, 'cur0': 11.5, 'cur1': 0.0, 'cur2': 10.8, 'cel0': 11.1, 'cel1': 9.2, 'cel2': 7.1, 'cel3': 5.3, 'cel4': 4.6, 'cel5': 4.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1457}
{'lat': 26.22151068, 'lon': 127.667968595, 'time': 1812, 'x': 142.063, 'y': -1.875, 'z': 172.75, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 24.798, 'thr1': -273.15, 'thr2': 23.491, 'thr3': 24.294, 'thr4': 26.729, 'thr5': 27.551, 'cur0': 11.5, 'cur1': 0.0, 'cur2': 10.8, 'cel0': 11.1, 'cel1': 9.2, 'cel2': 7.1, 'cel3': 6.2, 'cel4': 5.6, 'cel5': 5.6, 'rot0': 98, 'rot1': 185, 'rot2': 91, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1457}
{'lat': 26.221513117, 'lon': 127.667960674, 'time': 1812, 'x': 142.063, 'y': -1.875, 'z': 172.75, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 24.798, 'thr1': -273.15, 'thr2': 23.491, 'thr3': 24.294, 'thr4': 26.729, 'thr5': 27.551, 'cur0': 11.5, 'cur1': 0.0, 'cur2': 10.8, 'cel0': 11.1, 'cel1': 9.2, 'cel2': 7.1, 'cel3': 6.2, 'cel4': 5.6, 'cel5': 5.6, 'rot0': 98, 'rot1': 185, 'rot2': 91, 'rot3': 193, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1823}
{'lat': 26.221513117, 'lon': 127.667960674, 'time': 2185, 'x': 141.625, 'y': -1.813, 'z': 173.313, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 24.798, 'thr1': -273.15, 'thr2': 23.491, 'thr3': 24.294, 'thr4': 26.729, 'thr5': 27.551, 'cur0': 11.5, 'cur1': 0.0, 'cur2': 10.8, 'cel0': 11.1, 'cel1': 9.2, 'cel2': 7.1, 'cel3': 6.2, 'cel4': 5.6, 'cel5': 5.6, 'rot0': 98, 'rot1': 185, 'rot2': 91, 'rot3': 193, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1823}
{'lat': 26.221513117, 'lon': 127.667960674, 'time': 2185, 'x': 141.625, 'y': -1.813, 'z': 173.313, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 25.709, 'thr1': -273.15, 'thr2': 24.697, 'thr3': 21.597, 'thr4': 26.729, 'thr5': 27.551, 'cur0': 11.5, 'cur1': 0.0, 'cur2': 10.8, 'cel0': 11.1, 'cel1': 9.2, 'cel2': 7.1, 'cel3': 6.2, 'cel4': 5.6, 'cel5': 5.6, 'rot0': 98, 'rot1': 185, 'rot2': 91, 'rot3': 193, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1823}
