{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 26.221480861, 'lon': 127.667980129, 'time': 1083, 'x': 233.313, 'y': -3.625, 'z': 174.688, 'watertmp': 26.3, 'depth': 0.2}
{'lat': 26.221480861, 'lon': 127.667980129, 'time': 1083, 'x': 233.313, 'y': -3.625, 'z': 174.688, 'watertmp': 26.3, 'depth': 0.2, 'thr0': 28.899, 'thr1': -273.15, 'thr2': 24.395, 'thr3': 24.093, 'thr4': 29.317}
{'lat': 26.221480861, 'lon': 127.667980129, 'time': 1083, 'x': 233.313, 'y': -3.625, 'z': 174.688, 'watertmp': 26.3, 'depth': 0.2, 'thr0': 28.899, 'thr1': -273.15, 'thr2': 24.395, 'thr3': 24.093, 'thr4': 29.317, 'thr5': 28.482, 'cur0': 0.0}
{'lat': 26.221480861, 'lon': 127.667980129, 'time': 1083, 'x': 233.313, 'y': -3.625, 'z': 174.688, 'watertmp': 26.3, 'depth': 0.2, 'thr0': 28.899, 'thr1': -273.15, 'thr2': 24.395, 'thr3': 24.093, 'thr4': 29.317, 'thr5': 28.482, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.5, 'cel2': 5.9, 'cel3': 5.2, 'cel4': 4.6}
{'lat': 26.221480861, 'lon': 127.667980129, 'time': 1083, 'x': 233.313, 'y': -3.625, 'z': 174.688, 'watertmp': 26.3, 'depth': 0.2, 'thr0': 28.899, 'thr1': -273.15, 'thr2': 24.395, 'thr3': 24.093, 'thr4': 29.317, 'thr5': 28.482, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.5, 'cel2': 5.9, 'cel3': 5.2, 'cel4': 4.6, 'cel5': 4.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 26.221480861, 'lon': 127.667980129, 'time': 1447, 'x': 232.125, 'y': -1.313, 'z': 174.688, 'watertmp': 26.3, 'depth': 0.2, 'thr0': 28.899, 'thr1': -273.15, 'thr2': 24.395, 'thr3': 24.093, 'thr4': 29.317, 'thr5': 28.482, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.5, 'cel2': 5.9, 'cel3': 5.2, 'cel4': 4.6, 'cel5': 4.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 26.221480861, 'lon': 127.667980129, 'time': 1447, 'x': 232.125, 'y': -1.313, 'z': 172.375, 'watertmp': 26.3, 'depth': 0.3, 'thr0': 28.586, 'thr1': -273.15, 'thr2': 23.992, 'thr3': 23.892, 'thr4': 29.317, 'thr5': 28.482, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.5, 'cel2': 5.9, 'cel3': 5.2, 'cel4': 4.6, 'cel5': 4.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 26.221480861, 'lon': 127.667980129, 'time': 1447, 'x': 232.125, 'y': -1.313, 'z': 172.375, 'watertmp': 26.3, 'depth': 0.3, 'thr0': 28.586, 'thr1': -273.15, 'thr2': 23.992, 'thr3': 23.892, 'thr4': 29.108, 'thr5': 28.275, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.6, 'cel2': 6.0, 'cel3': 5.3, 'cel4': 4.6, 'cel5': 4.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 26.221480861, 'lon': 127.667980129, 'time': 1447, 'x': 232.125, 'y': -1.313, 'z': 172.375, 'watertmp': 26.3, 'depth': 0.3, 'thr0': 28.586, 'thr1': -273.15, 'thr2': 23.992, 'thr3': 23.892, 'thr4': 29.108, 'thr5': 28.275, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.6, 'cel2': 6.0, 'cel3': 5.3, 'cel4': 4.6, 'cel5': 4.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1458}
{'lat': 26.221480861, 'lon': 127.667980129, 'time': 1814, 'x': 231.563, 'y': 0.688, 'z': 173.563, 'watertmp': 26.3, 'depth': 0.3, 'thr0': 28.586, 'thr1': -273.15, 'thr2': 23.992, 'thr3': 23.892, 'thr4': 29.108, 'thr5': 28.275, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.6, 'cel2': 6.0, 'cel3': 5.3, 'cel4': 4.6, 'cel5': 4.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1458}
{'lat': 26.221480861, 'lon': 127.667980129, 'time': 1814, 'x': 231.563, 'y': 0.688, 'z': 173.563, 'watertmp': 26.3, 'depth': 0.3, 'thr0': 28.794, 'thr1': -273.15, 'thr2': 23.992, 'thr3': 23.892, 'thr4': 29.108, 'thr5': 28.275, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.6, 'cel2': 6.0, 'cel3': 5.3, 'cel4': 4.6, 'cel5': 4.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1458}
{'lat': 26.221480861, 'lon': 127.667980129, 'time': 1814, 'x': 231.563, 'y': 0.688, 'z': 173.563, 'watertmp': 26.3, 'depth': 0.3, 'thr0': 28.794, 'thr1': -273.15, 'thr2': 21.201, 'thr3': 23.992, 'thr4': 26.627, 'thr5': 28.275, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.6, 'cel2': 6.0, 'cel3': 5.3, 'cel4': 4.6, 'cel5': 4.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1458}
{'lat': 26.221480861, 'lon': 127.667980129, 'time': 1814, 'x': 231.563, 'y': 0.688, 'z': 173.563, 'watertmp': 26.3, 'depth': 0.3, 'thr0': 28.794, 'thr1': -273.15, 'thr2': 21.201, 'thr3': 23.992, 'thr4': 26.627, 'thr5': 28.482, 'cur0': 11.2, 'cur1': 0.2, 'cur2': 11.3, 'cel0': 11.2, 'cel1': 8.8, 'cel2': 6.8, 'cel3': 5.3, 'cel4': 4.6, 'cel5': 4.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1458}
{'lat': 26.221480861, 'lon': 127.667980129, 'time': 1814, 'x': 231.563, 'y': 0.688, 'z': 173.563, 'watertmp': 26.3, 'depth': 0.3, 'thr0': 28.794, 'thr1': -273.15, 'thr2': 21.201, 'thr3': 23.992, 'thr4': 26.627, 'thr5': 28.482, 'cur0': 11.2, 'cur1': 0.2, 'cur2': 11.3, 'cel0': 11.2, 'cel1': 8.8, 'cel2': 6.8, 'cel3': 6.1, 'cel4': 5.6, 'cel5': 5.5, 'rot0': 123, 'rot1': 116, 'rot2': 144, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1458}
{'lat': 26.221480861, 'lon': 127.667980129, 'time': 1814, 'x': 231.563, 'y': 0.688, 'z': 173.563, 'watertmp': 26.3, 'depth': 0.3, 'thr0': 28.794, 'thr1': -273.15, 'thr2': 21.201, 'thr3': 23.992, 'thr4': 26.627, 'thr5': 28.482, 'cur0': 11.2, 'cur1': 0.2, 'cur2': 11.3, 'cel0': 11.2, 'cel1': 8.8, 'cel2': 6.8, 'cel3': 6.1, 'cel4': 5.6, 'cel5': 5.5, 'rot0': 123, 'rot1': 116, 'rot2': 144, 'rot3': 144, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1825}
