{}
{'lat': 'n/a'}
{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1073, 'x': 266.438, 'y': -3.063, 'z': 174.063, 'watertmp': 25.8, 'depth': 0.2, 'thr0': 26.832, 'thr1': -273.15, 'thr2': 22.991, 'thr3': 24.093, 'thr4': 22.791, 'thr5': 24.798, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.9, 'cel2': 6.2, 'cel3': 5.4, 'cel4': 5.2, 'cel5': 4.7, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1082}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1437, 'x': 267.188, 'y': -1.313, 'z': 175.188, 'watertmp': 25.8, 'depth': 0.2, 'thr0': 26.832, 'thr1': -273.15, 'thr2': 22.991, 'thr3': 24.093, 'thr4': 22.791, 'thr5': 24.798, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.9, 'cel2': 6.2, 'cel3': 5.4, 'cel4': 5.2, 'cel5': 4.7, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1082}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1437, 'x': 267.188, 'y': -1.313, 'z': 175.188, 'watertmp': 25.8, 'depth': 0.2, 'thr0': 26.627, 'thr1': -273.15, 'thr2': 22.891, 'thr3': 23.892, 'thr4': 22.691, 'thr5': 24.596, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.9, 'cel2': 6.2, 'cel3': 5.5, 'cel4': 5.3, 'cel5': 4.7, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1082}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1803, 'x': 267.188, 'y': -1.313, 'z': 175.188, 'watertmp': 25.8, 'depth': 0.2, 'thr0': 26.627, 'thr1': -273.15, 'thr2': 22.891, 'thr3': 23.892, 'thr4': 22.691, 'thr5': 24.596, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.9, 'cel2': 6.2, 'cel3': 5.5, 'cel4': 5.3, 'cel5': 4.7, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1447}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1803, 'x': 266.375, 'y': -0.75, 'z': 177.688, 'watertmp': 25.8, 'depth': 0.2, 'thr0': 26.729, 'thr1': -273.15, 'thr2': 22.193, 'thr3': 23.992, 'thr4': 21.399, 'thr5': 24.596, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.9, 'cel2': 6.2, 'cel3': 5.5, 'cel4': 5.3, 'cel5': 4.7, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1447}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1803, 'x': 266.375, 'y': -0.75, 'z': 177.688, 'watertmp': 25.8, 'depth': 0.2, 'thr0': 26.729, 'thr1': -273.15, 'thr2': 22.193, 'thr3': 23.992, 'thr4': 21.399, 'thr5': 24.697, 'cur0': 11.6, 'cur1': 0.3, 'cur2': 11.0, 'cel0': 10.9, 'cel1': 9.0, 'cel2': 7.0, 'cel3': 6.4, 'cel4': 6.3, 'cel5': 6.1, 'rot0': 71, 'rot1': 74, 'rot2': 236, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1447}
{'lat': 'n/a', 'lon': 'n/a', 'time': 2176, 'x': 264.875, 'y': -0.75, 'z': 177.688, 'watertmp': 25.8, 'depth': 0.2, 'thr0': 26.729, 'thr1': -273.15, 'thr2': 22.193, 'thr3': 23.992, 'thr4': 21.399, 'thr5': 24.697, 'cur0': 11.6, 'cur1': 0.3, 'cur2': 11.0, 'cel0': 10.9, 'cel1': 9.0, 'cel2': 7.0, 'cel3': 6.4, 'cel4': 6.3, 'cel5': 6.1, 'rot0': 71, 'rot1': 74, 'rot2': 236, 'rot3': 191, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1814}
{'lat': 'n/a', 'lon': 'n/a', 'time': 2176, 'x': 264.875, 'y': -0.625, 'z': 174.0, 'watertmp': 25.8, 'depth': 0.2, 'thr0': 26.729, 'thr1': -273.15, 'thr2': 22.193, 'thr3': 23.992, 'thr4': 21.399, 'thr5': 24.697, 'cur0': 11.6, 'cur1': 0.3, 'cur2': 11.0, 'cel0': 10.9, 'cel1': 9.0, 'cel2': 7.0, 'cel3': 6.4, 'cel4': 6.3, 'cel5': 6.1, 'rot0': 71, 'rot1': 74, 'rot2': 236, 'rot3': 191, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1814}
{'lat': 'n/a', 'lon': 'n/a', 'time': 2176, 'x': 264.875, 'y': -0.625, 'z': 174.0, 'watertmp': 25.8, 'depth': 0.2, 'thr0': 26.525, 'thr1': -273.15, 'thr2': 22.791, 'thr3': 23.291, 'thr4': 22.691, 'thr5': 24.697, 'cur0': 11.6, 'cur1': 0.3, 'cur2': 11.0, 'cel0': 10.9, 'cel1': 9.0, 'cel2': 7.0, 'cel3': 6.4, 'cel4': 6.3, 'cel5': 6.1, 'rot0': 71, 'rot1': 74, 'rot2': 236, 'rot3': 191, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1814}
{'lat': 'n/a', 'lon': 'n/a', 'time': 2176, 'x': 264.875, 'y': -0.625, 'z': 174.0, 'watertmp': 25.8, 'depth': 0.2, 'thr0': 26.525, 'thr1': -273.15, 'thr2': 22.791, 'thr3': 23.291, 'thr4': 22.691, 'thr5': 24.294, 'cur0': 12.0, 'cur1': 0.3, 'cur2': 10.6, 'cel0': 10.6, 'cel1': 8.9, 'cel2': 7.1, 'cel3': 6.4, 'cel4': 6.3, 'cel5': 6.1, 'rot0': 71, 'rot1': 74, 'rot2': 236, 'rot3': 191, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1814}
{'lat': 'n/a', 'lon': 'n/a', 'time': 2176, 'x': 264.875, 'y': -0.625, 'z': 174.0, 'watertmp': 25.8, 'depth': 0.2, 'thr0': 26.525, 'thr1': -273.15, 'thr2': 22.791, 'thr3': 23.291, 'thr4': 22.691, 'thr5': 24.294, 'cur0': 12.0, 'cur1': 0.3, 'cur2': 10.6, 'cel0': 10.6, 'cel1': 8.9, 'cel2': 7.1, 'cel3': 6.3, 'cel4': 6.3, 'cel5': 5.9, 'rot0': 132, 'rot1': 94, 'rot2': 306, 'rot3': 191, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1814}
