{}
{'lat': 26.221600143, 'lon': 127.668206516}
{'lat': 26.22160258, 'lon': 127.668198595}
{'lat': 26.22160258, 'lon': 127.668198595, 'time': 1073, 'x': 197.375, 'y': -1.75, 'z': 171.813}
{'lat': 26.22160258, 'lon': 127.668198595, 'time': 1073, 'x': 197.375, 'y': -1.75, 'z': 171.813, 'watertmp': 25.5, 'depth': 0.3, 'thr0': 28.586}
{'lat': 26.22160258, 'lon': 127.668198595, 'time': 1073, 'x': 197.375, 'y': -1.75, 'z': 171.813, 'watertmp': 25.5, 'depth': 0.3, 'thr0': 28.586, 'thr1': -273.15, 'thr2': 23.591, 'thr3': 23.992}
{'lat': 26.22160258, 'lon': 127.668198595, 'time': 1073, 'x': 197.375, 'y': -1.75, 'z': 171.813, 'watertmp': 25.5, 'depth': 0.3, 'thr0': 28.586, 'thr1': -273.15, 'thr2': 23.591, 'thr3': 23.992, 'thr4': 26.32, 'thr5': 26.934, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0}
{'lat': 26.22160258, 'lon': 127.668198595, 'time': 1073, 'x': 197.375, 'y': -1.75, 'z': 171.813, 'watertmp': 25.5, 'depth': 0.3, 'thr0': 28.586, 'thr1': -273.15, 'thr2': 23.591, 'thr3': 23.992, 'thr4': 26.32, 'thr5': 26.934, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.8, 'cel2': 6.0, 'cel3': 5.3, 'cel4': 5.0}
{'lat': 26.22160258, 'lon': 127.668198595, 'time': 1073, 'x': 197.375, 'y': -1.75, 'z': 171.813, 'watertmp': 25.5, 'depth': 0.3, 'thr0': 28.586, 'thr1': -273.15, 'thr2': 23.591, 'thr3': 23.992, 'thr4': 26.32, 'thr5': 26.934, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.8, 'cel2': 6.0, 'cel3': 5.3, 'cel4': 5.0, 'cel5': 4.5, 'rot0': 0, 'rot1': 0, 'rot2': 0}
{'lat': 26.22160258, 'lon': 127.668198595, 'time': 1073, 'x': 197.375, 'y': -1.75, 'z': 171.813, 'watertmp': 25.5, 'depth': 0.3, 'thr0': 28.586, 'thr1': -273.15, 'thr2': 23.591, 'thr3': 23.992, 'thr4': 26.32, 'thr5': 26.934, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.8, 'cel2': 6.0, 'cel3': 5.3, 'cel4': 5.0, 'cel5': 4.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0}
{'lat': 26.22160258, 'lon': 127.668198595, 'time': 1073, 'x': 197.375, 'y': -1.75, 'z': 171.813, 'watertmp': 25.5, 'depth': 0.3, 'thr0': 28.586, 'thr1': -273.15, 'thr2': 23.591, 'thr3': 23.992, 'thr4': 26.32, 'thr5': 26.934, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.8, 'cel2': 6.0, 'cel3': 5.3, 'cel4': 5.0, 'cel5': 4.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1082}
{'lat': 26.22160258, 'lon': 127.668198595, 'time': 1438, 'x': 197.188, 'y': -2.438, 'z': 172.375, 'watertmp': 25.5, 'depth': 0.3, 'thr0': 28.586, 'thr1': -273.15, 'thr2': 23.591, 'thr3': 23.992, 'thr4': 26.32, 'thr5': 26.934, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.8, 'cel2': 6.0, 'cel3': 5.3, 'cel4': 5.0, 'cel5': 4.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1082}
{'lat': 26.22160258, 'lon': 127.668198595, 'time': 1438, 'x': 197.188, 'y': -2.438, 'z': 172.375, 'watertmp': 25.5, 'depth': 0.3, 'thr0': 28.69, 'thr1': -273.15, 'thr2': 23.591, 'thr3': 23.992, 'thr4': 26.32, 'thr5': 26.934, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.8, 'cel2': 6.0, 'cel3': 5.3, 'cel4': 5.0, 'cel5': 4.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1082}
{'lat': 26.22160258, 'lon': 127.668198595, 'time': 1438, 'x': 197.188, 'y': -2.438, 'z': 172.375, 'watertmp': 25.5, 'depth': 0.3, 'thr0': 28.69, 'thr1': -273.15, 'thr2': 23.591, 'thr3': 24.093, 'thr4': 26.422, 'thr5': 26.934, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.8, 'cel2': 6.0, 'cel3': 5.3, 'cel4': 5.0, 'cel5': 4.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1082}
{'lat': 26.22160258, 'lon': 127.668198595, 'time': 1438, 'x': 197.188, 'y': -2.438, 'z': 172.375, 'watertmp': 25.5, 'depth': 0.3, 'thr0': 28.69, 'thr1': -273.15, 'thr2': 23.591, 'thr3': 24.093, 'thr4': 26.422, 'thr5': 27.139, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.8, 'cel2': 6.1, 'cel3': 5.4, 'cel4': 5.1, 'cel5': 4.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1082}
{'lat': 26.221599357, 'lon': 127.668182753, 'time': 1438, 'x': 197.188, 'y': -2.438, 'z': 172.375, 'watertmp': 25.5, 'depth': 0.3, 'thr0': 28.69, 'thr1': -273.15, 'thr2': 23.591, 'thr3': 24.093, 'thr4': 26.422, 'thr5': 27.139, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.8, 'cel2': 6.1, 'cel3': 5.4, 'cel4': 5.1, 'cel5': 4.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1447}
{'lat': 26.221599357, 'lon': 127.668182753, 'time': 1804, 'x': 197.0, 'y': -2.438, 'z': 172.375, 'watertmp': 25.5, 'depth': 0.3, 'thr0': 28.69, 'thr1': -273.15, 'thr2': 23.591, 'thr3': 24.093, 'thr4': 26.422, 'thr5': 27.139, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.8, 'cel2': 6.1, 'cel3': 5.4, 'cel4': 5.1, 'cel5': 4.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1447}
{'lat': 26.221599357, 'lon': 127.668182753, 'time': 1804, 'x': 197.0, 'y': -1.875, 'z': 170.813, 'watertmp': 25.5, 'depth': 0.3, 'thr0': 28.69, 'thr1': -273.15, 'thr2': 23.591, 'thr3': 24.093, 'thr4': 26.422, 'thr5': 27.139, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.8, 'cel2': 6.1, 'cel3': 5.4, 'cel4': 5.1, 'cel5': 4.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1447}
{'lat': 26.221599357, 'lon': 127.668182753, 'time': 1804, 'x': 197.0, 'y': -1.875, 'z': 170.813, 'watertmp': 25.5, 'depth': 0.2, 'thr0': 28.378, 'thr1': -273.15, 'thr2': 22.691, 'thr3': 24.093, 'thr4': 26.422, 'thr5': 27.139, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.8, 'cel2': 6.1, 'cel3': 5.4, 'cel4': 5.1, 'cel5': 4.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1447}
{'lat': 26.221599357, 'lon': 127.668182753, 'time': 1804, 'x': 197.0, 'y': -1.875, 'z': 170.813, 'watertmp': 25.5, 'depth': 0.2, 'thr0': 28.378, 'thr1': -273.15, 'thr2': 22.691, 'thr3': 24.093, 'thr4': 25.608, 'thr5': 27.139, 'cur0': 8.4, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.8, 'cel2': 6.1, 'cel3': 5.4, 'cel4': 5.1, 'cel5': 4.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1447}
{'lat': 26.221599357, 'lon': 127.668182753, 'time': 1804, 'x': 197.0, 'y': -1.875, 'z': 170.813, 'watertmp': 25.5, 'depth': 0.2, 'thr0': 28.378, 'thr1': -273.15, 'thr2': 22.691, 'thr3': 24.093, 'thr4': 25.608, 'thr5': 27.139, 'cur0': 8.4, 'cur1': 0.0, 'cur2': 8.0, 'cel0': 11.1, 'cel1': 8.8, 'cel2': 6.1, 'cel3': 5.4, 'cel4': 5.1, 'cel5': 4.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1447}
