{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 26.221645727, 'lon': 127.668041977}
{'lat': 26.22164329, 'lon': 127.668049898}
{'lat': 26.22164329, 'lon': 127.668049898, 'time': 735, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 25.5, 'depth': 0.4}
{'lat': 26.22164329, 'lon': 127.668049898, 'time': 735, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 25.5, 'depth': 0.4, 'thr0': 27.861, 'thr1': -273.15, 'thr2': 24.596, 'thr3': 24.093, 'thr4': 27.551, 'thr5': 27.242, 'cur0': 0.0, 'cur1': 0.0}
{'lat': 26.22164329, 'lon': 127.668049898, 'time': 735, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 25.5, 'depth': 0.4, 'thr0': 27.861, 'thr1': -273.15, 'thr2': 24.596, 'thr3': 24.093, 'thr4': 27.551, 'thr5': 27.242, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.2, 'cel1': 7.1, 'cel2': 5.2, 'cel3': 4.7, 'cel4': 4.2, 'cel5': 3.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 744}
{'lat': 26.22164329, 'lon': 127.668049898, 'time': 1082, 'x': 197.625, 'y': -0.438, 'z': 0.0, 'watertmp': 25.5, 'depth': 0.4, 'thr0': 27.861, 'thr1': -273.15, 'thr2': 24.596, 'thr3': 24.093, 'thr4': 27.551, 'thr5': 27.242, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.2, 'cel1': 7.1, 'cel2': 5.2, 'cel3': 4.7, 'cel4': 4.2, 'cel5': 3.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 744}
{'lat': 26.22164329, 'lon': 127.668049898, 'time': 1082, 'x': 197.625, 'y': -0.438, 'z': 171.938, 'watertmp': 25.5, 'depth': 0.4, 'thr0': 28.067, 'thr1': -273.15, 'thr2': 25.101, 'thr3': 24.495, 'thr4': 27.551, 'thr5': 27.242, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.2, 'cel1': 7.1, 'cel2': 5.2, 'cel3': 4.7, 'cel4': 4.2, 'cel5': 3.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 744}
{'lat': 26.22164329, 'lon': 127.668049898, 'time': 1082, 'x': 197.625, 'y': -0.438, 'z': 171.938, 'watertmp': 25.5, 'depth': 0.4, 'thr0': 28.067, 'thr1': -273.15, 'thr2': 25.101, 'thr3': 24.495, 'thr4': 27.861, 'thr5': 27.757, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.2, 'cel1': 7.2, 'cel2': 5.4, 'cel3': 4.7, 'cel4': 4.2, 'cel5': 3.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 744}
{'lat': 26.22164329, 'lon': 127.668049898, 'time': 1082, 'x': 197.625, 'y': -0.438, 'z': 171.938, 'watertmp': 25.5, 'depth': 0.4, 'thr0': 28.067, 'thr1': -273.15, 'thr2': 25.101, 'thr3': 24.495, 'thr4': 27.861, 'thr5': 27.757, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.2, 'cel1': 7.2, 'cel2': 5.4, 'cel3': 4.8, 'cel4': 4.3, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 744}
{'lat': 26.221646447, 'lon': 127.668049898, 'time': 1082, 'x': 197.625, 'y': -0.438, 'z': 171.938, 'watertmp': 25.5, 'depth': 0.4, 'thr0': 28.067, 'thr1': -273.15, 'thr2': 25.101, 'thr3': 24.495, 'thr4': 27.861, 'thr5': 27.757, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.2, 'cel1': 7.2, 'cel2': 5.4, 'cel3': 4.8, 'cel4': 4.3, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 26.221646447, 'lon': 127.668056013, 'time': 1448, 'x': 197.75, 'y': -0.375, 'z': 171.875, 'watertmp': 25.5, 'depth': 0.4, 'thr0': 27.551, 'thr1': -273.15, 'thr2': 25.405, 'thr3': 23.291, 'thr4': 28.171, 'thr5': 26.525, 'cur0': 8.7, 'cur1': 0.3, 'cur2': 7.5, 'cel0': 10.4, 'cel1': 8.4, 'cel2': 6.3, 'cel3': 5.6, 'cel4': 5.1, 'cel5': 4.9, 'rot0': 139, 'rot1': 45, 'rot2': 84, 'rot3': 115, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1460}
{'lat': 26.221646447, 'lon': 127.668056013, 'time': 1818, 'x': 198.938, 'y': -0.375, 'z': 172.563, 'watertmp': 25.5, 'depth': 0.4, 'thr0': 27.551, 'thr1': -273.15, 'thr2': 25.405, 'thr3': 23.291, 'thr4': 28.171, 'thr5': 26.525, 'cur0': 8.7, 'cur1': 0.3, 'cur2': 7.5, 'cel0': 10.4, 'cel1': 8.4, 'cel2': 6.3, 'cel3': 5.6, 'cel4': 5.1, 'cel5': 4.9, 'rot0': 139, 'rot1': 45, 'rot2': 84, 'rot3': 115, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1460}
{'lat': 26.221646447, 'lon': 127.668056013, 'time': 1818, 'x': 198.938, 'y': -0.375, 'z': 172.563, 'watertmp': 25.5, 'depth': 0.4, 'thr0': 27.448, 'thr1': -273.15, 'thr2': 24.193, 'thr3': 24.495, 'thr4': 28.171, 'thr5': 26.525, 'cur0': 8.7, 'cur1': 0.3, 'cur2': 7.5, 'cel0': 10.4, 'cel1': 8.4, 'cel2': 6.3, 'cel3': 5.6, 'cel4': 5.1, 'cel5': 4.9, 'rot0': 139, 'rot1': 45, 'rot2': 84, 'rot3': 115, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1460}
{'lat': 26.221646447, 'lon': 127.668056013, 'time': 1818, 'x': 198.938, 'y': -0.375, 'z': 172.563, 'watertmp': 25.5, 'depth': 0.4, 'thr0': 27.448, 'thr1': -273.15, 'thr2': 24.193, 'thr3': 24.495, 'thr4': 27.037, 'thr5': 27.242, 'cur0': 12.5, 'cur1': 0.0, 'cur2': 7.5, 'cel0': 10.4, 'cel1': 8.4, 'cel2': 6.3, 'cel3': 5.6, 'cel4': 5.1, 'cel5': 4.9, 'rot0': 139, 'rot1': 45, 'rot2': 84, 'rot3': 115, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1460}
{'lat': 26.221646447, 'lon': 127.668056013, 'time': 1818, 'x': 198.938, 'y': -0.375, 'z': 172.563, 'watertmp': 25.5, 'depth': 0.4, 'thr0': 27.448, 'thr1': -273.15, 'thr2': 24.193, 'thr3': 24.495, 'thr4': 27.037, 'thr5': 27.242, 'cur0': 12.5, 'cur1': 0.0, 'cur2': 4.6, 'cel0': 11.0, 'cel1': 8.0, 'cel2': 6.3, 'cel3': 5.6, 'cel4': 5.1, 'cel5': 4.9, 'rot0': 139, 'rot1': 45, 'rot2': 84, 'rot3': 115, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1460}
{'lat': 26.221646447, 'lon': 127.668056013, 'time': 1818, 'x': 198.938, 'y': -0.375, 'z': 172.563, 'watertmp': 25.5, 'depth': 0.4, 'thr0': 27.448, 'thr1': -273.15, 'thr2': 24.193, 'thr3': 24.495, 'thr4': 27.037, 'thr5': 27.242, 'cur0': 12.5, 'cur1': 0.0, 'cur2': 4.6, 'cel0': 11.0, 'cel1': 8.0, 'cel2': 6.0, 'cel3': 5.5, 'cel4': 5.1, 'cel5': 4.9, 'rot0': 139, 'rot1': 45, 'rot2': 84, 'rot3': 115, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1460}
