{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 26.221623939, 'lon': 127.668043783}
{'lat': 26.221632036, 'lon': 127.668043783}
{'lat': 26.221632036, 'lon': 127.668043783, 'time': 1082, 'x': 208.375, 'y': -2.188, 'z': 173.438, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 26.32, 'thr1': -273.15, 'thr2': 24.596, 'thr3': 24.193, 'thr4': 26.525, 'thr5': 26.729, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.2, 'cel1': 7.5, 'cel2': 5.8, 'cel3': 5.2, 'cel4': 4.5, 'cel5': 4.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 26.221632036, 'lon': 127.668043783, 'time': 1447, 'x': 207.0, 'y': -1.813, 'z': 173.875, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 26.32, 'thr1': -273.15, 'thr2': 24.596, 'thr3': 24.193, 'thr4': 26.525, 'thr5': 26.729, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.2, 'cel1': 7.5, 'cel2': 5.8, 'cel3': 5.2, 'cel4': 4.5, 'cel5': 4.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 26.221632036, 'lon': 127.668043783, 'time': 1447, 'x': 207.0, 'y': -1.813, 'z': 173.875, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 26.32, 'thr1': -273.15, 'thr2': 24.495, 'thr3': 23.992, 'thr4': 26.525, 'thr5': 26.729, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.2, 'cel1': 7.5, 'cel2': 5.9, 'cel3': 5.2, 'cel4': 4.6, 'cel5': 4.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 26.221635193, 'lon': 127.668049898, 'time': 1813, 'x': 206.688, 'y': -1.813, 'z': 173.875, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 26.32, 'thr1': -273.15, 'thr2': 24.495, 'thr3': 23.992, 'thr4': 26.525, 'thr5': 26.729, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.2, 'cel1': 7.5, 'cel2': 5.9, 'cel3': 5.2, 'cel4': 4.6, 'cel5': 4.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1457}
{'lat': 26.221635193, 'lon': 127.668049898, 'time': 1813, 'x': 206.688, 'y': -1.313, 'z': 174.438, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 26.32, 'thr1': -273.15, 'thr2': 24.495, 'thr3': 23.992, 'thr4': 26.525, 'thr5': 26.729, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.2, 'cel1': 7.5, 'cel2': 5.9, 'cel3': 5.2, 'cel4': 4.6, 'cel5': 4.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1457}
{'lat': 26.221635193, 'lon': 127.668049898, 'time': 1813, 'x': 206.688, 'y': -1.313, 'z': 174.438, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 26.32, 'thr1': -273.15, 'thr2': 24.395, 'thr3': 23.992, 'thr4': 26.32, 'thr5': 26.422, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.2, 'cel1': 7.5, 'cel2': 5.9, 'cel3': 5.3, 'cel4': 4.6, 'cel5': 4.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1457}
{'lat': 26.221635193, 'lon': 127.668049898, 'time': 2178, 'x': 205.563, 'y': -1.313, 'z': 174.438, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 26.32, 'thr1': -273.15, 'thr2': 24.395, 'thr3': 23.992, 'thr4': 26.32, 'thr5': 26.422, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.2, 'cel1': 7.5, 'cel2': 5.9, 'cel3': 5.3, 'cel4': 4.6, 'cel5': 4.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1822}
{'lat': 26.221635193, 'lon': 127.668049898, 'time': 2178, 'x': 205.563, 'y': -1.625, 'z': 173.0, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 26.32, 'thr1': -273.15, 'thr2': 24.395, 'thr3': 23.992, 'thr4': 26.32, 'thr5': 26.422, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.2, 'cel1': 7.5, 'cel2': 5.9, 'cel3': 5.3, 'cel4': 4.6, 'cel5': 4.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1822}
{'lat': 26.221635193, 'lon': 127.668049898, 'time': 2178, 'x': 205.563, 'y': -1.625, 'z': 173.0, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 26.32, 'thr1': -273.15, 'thr2': 24.495, 'thr3': 23.992, 'thr4': 26.422, 'thr5': 26.729, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.2, 'cel1': 7.6, 'cel2': 6.0, 'cel3': 5.3, 'cel4': 4.6, 'cel5': 4.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1822}
{'lat': 26.221635193, 'lon': 127.668049898, 'time': 2178, 'x': 205.563, 'y': -1.625, 'z': 173.0, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 26.32, 'thr1': -273.15, 'thr2': 24.495, 'thr3': 23.992, 'thr4': 26.422, 'thr5': 26.729, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.2, 'cel1': 7.6, 'cel2': 6.0, 'cel3': 5.3, 'cel4': 4.6, 'cel5': 4.2, 'rot0': 0, 'rot1': 373, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1822}
{'lat': 26.221635193, 'lon': 127.668049898, 'time': 2178, 'x': 205.563, 'y': -1.625, 'z': 173.0, 'watertmp': 25.6, 'depth': 0.3, 'thr0': 26.32, 'thr1': -273.15, 'thr2': 24.495, 'thr3': 23.992, 'thr4': 26.422, 'thr5': 26.729, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.2, 'cel1': 7.6, 'cel2': 6.0, 'cel3': 5.3, 'cel4': 4.6, 'cel5': 4.2, 'rot0': 0, 'rot1': 373, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 2188}
