{}
{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 'n/a', 'lon': 'n/a', 'time': 726, 'x': 0.0, 'y': 0.0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 726, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 24.697}
{'lat': 'n/a', 'lon': 'n/a', 'time': 726, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 24.697, 'thr1': -273.15, 'thr2': 23.091, 'thr3': 23.491, 'thr4': 23.992, 'thr5': 25.101}
{'lat': 'n/a', 'lon': 'n/a', 'time': 726, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 24.697, 'thr1': -273.15, 'thr2': 23.091, 'thr3': 23.491, 'thr4': 23.992, 'thr5': 25.101, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.4}
{'lat': 'n/a', 'lon': 'n/a', 'time': 726, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 24.697, 'thr1': -273.15, 'thr2': 23.091, 'thr3': 23.491, 'thr4': 23.992, 'thr5': 25.101, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.4, 'cel1': 7.0, 'cel2': 5.1, 'cel3': 4.6, 'cel4': 4.1, 'cel5': 3.8, 'rot0': 0, 'rot1': 0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 726, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 24.697, 'thr1': -273.15, 'thr2': 23.091, 'thr3': 23.491, 'thr4': 23.992, 'thr5': 25.101, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.4, 'cel1': 7.0, 'cel2': 5.1, 'cel3': 4.6, 'cel4': 4.1, 'cel5': 3.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 735}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1073, 'x': 186.438, 'y': -1.125, 'z': 173.063, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 25.0, 'thr1': -273.15, 'thr2': 23.591, 'thr3': 24.093, 'thr4': 24.395, 'thr5': 25.405, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.4, 'cel1': 7.0, 'cel2': 5.1, 'cel3': 4.6, 'cel4': 4.1, 'cel5': 3.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 735}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1073, 'x': 186.438, 'y': -1.125, 'z': 173.063, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 25.0, 'thr1': -273.15, 'thr2': 23.591, 'thr3': 24.093, 'thr4': 24.395, 'thr5': 25.405, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.5, 'cel1': 7.1, 'cel2': 5.3, 'cel3': 4.7, 'cel4': 4.1, 'cel5': 3.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 735}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1438, 'x': 186.625, 'y': -1.813, 'z': 171.375, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 25.101, 'thr1': -273.15, 'thr2': 21.102, 'thr3': 24.193, 'thr4': 24.395, 'thr5': 25.405, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.5, 'cel1': 7.1, 'cel2': 5.3, 'cel3': 4.7, 'cel4': 4.2, 'cel5': 3.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1083}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1438, 'x': 186.625, 'y': -1.813, 'z': 171.375, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 25.101, 'thr1': -273.15, 'thr2': 21.102, 'thr3': 24.193, 'thr4': 21.796, 'thr5': 25.506, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.5, 'cel1': 7.1, 'cel2': 5.3, 'cel3': 4.7, 'cel4': 4.2, 'cel5': 3.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1083}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1438, 'x': 186.625, 'y': -1.813, 'z': 171.375, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 25.101, 'thr1': -273.15, 'thr2': 21.102, 'thr3': 24.193, 'thr4': 21.796, 'thr5': 25.506, 'cur0': 11.1, 'cur1': 0.3, 'cur2': 0.0, 'cel0': 11.5, 'cel1': 7.1, 'cel2': 5.3, 'cel3': 4.7, 'cel4': 4.2, 'cel5': 3.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1083}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1438, 'x': 186.625, 'y': -1.813, 'z': 171.375, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 25.101, 'thr1': -273.15, 'thr2': 21.102, 'thr3': 24.193, 'thr4': 21.796, 'thr5': 25.506, 'cur0': 11.1, 'cur1': 0.3, 'cur2': 11.1, 'cel0': 11.2, 'cel1': 7.1, 'cel2': 5.3, 'cel3': 4.7, 'cel4': 4.2, 'cel5': 3.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1083}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1438, 'x': 186.625, 'y': -1.813, 'z': 171.375, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 25.101, 'thr1': -273.15, 'thr2': 21.102, 'thr3': 24.193, 'thr4': 21.796, 'thr5': 25.506, 'cur0': 11.1, 'cur1': 0.3, 'cur2': 11.1, 'cel0': 11.2, 'cel1': 8.3, 'cel2': 6.1, 'cel3': 5.6, 'cel4': 4.2, 'cel5': 3.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1083}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1438, 'x': 186.625, 'y': -1.813, 'z': 171.375, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 25.101, 'thr1': -273.15, 'thr2': 21.102, 'thr3': 24.193, 'thr4': 21.796, 'thr5': 25.506, 'cur0': 11.1, 'cur1': 0.3, 'cur2': 11.1, 'cel0': 11.2, 'cel1': 8.3, 'cel2': 6.1, 'cel3': 5.6, 'cel4': 5.2, 'cel5': 5.1, 'rot0': 119, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1083}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1438, 'x': 186.625, 'y': -1.813, 'z': 171.375, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 25.101, 'thr1': -273.15, 'thr2': 21.102, 'thr3': 24.193, 'thr4': 21.796, 'thr5': 25.506, 'cur0': 11.1, 'cur1': 0.3, 'cur2': 11.1, 'cel0': 11.2, 'cel1': 8.3, 'cel2': 6.1, 'cel3': 5.6, 'cel4': 5.2, 'cel5': 5.1, 'rot0': 119, 'rot1': 62, 'rot2': 133, 'rot3': 103, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1083}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1438, 'x': 186.625, 'y': -1.813, 'z': 171.375, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 25.101, 'thr1': -273.15, 'thr2': 21.102, 'thr3': 24.193, 'thr4': 21.796, 'thr5': 25.506, 'cur0': 11.1, 'cur1': 0.3, 'cur2': 11.1, 'cel0': 11.2, 'cel1': 8.3, 'cel2': 6.1, 'cel3': 5.6, 'cel4': 5.2, 'cel5': 5.1, 'rot0': 119, 'rot1': 62, 'rot2': 133, 'rot3': 103, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1449}
