{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 'n/a', 'lon': 'n/a', 'time': 735, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 25.7, 'depth': 0.0, 'thr0': 22.492, 'thr1': -273.15}
{'lat': 'n/a', 'lon': 'n/a', 'time': 735, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 25.7, 'depth': 0.0, 'thr0': 22.492, 'thr1': -273.15, 'thr2': 20.409, 'thr3': 20.706, 'thr4': 22.293, 'thr5': 22.193, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.4, 'cel2': 2.0, 'cel3': 2.6}
{'lat': 'n/a', 'lon': 'n/a', 'time': 735, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 25.7, 'depth': 0.0, 'thr0': 22.492, 'thr1': -273.15, 'thr2': 20.409, 'thr3': 20.706, 'thr4': 22.293, 'thr5': 22.193, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.4, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 735, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 25.7, 'depth': 0.0, 'thr0': 22.492, 'thr1': -273.15, 'thr2': 20.409, 'thr3': 20.706, 'thr4': 22.293, 'thr5': 22.193, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.4, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 744}
{'lat': 'n/a', 'lon': 'n/a', 'time': 817, 'x': 176.188, 'y': 0.188, 'z': 173.125, 'watertmp': 25.8, 'depth': 0.0, 'thr0': 22.492, 'thr1': -273.15, 'thr2': 20.706, 'thr3': 20.805, 'thr4': 22.492, 'thr5': 22.392, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.8, 'cel3': 2.4, 'cel4': 2.6, 'cel5': 2.7, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 744}
{'lat': 'n/a', 'lon': 'n/a', 'time': 817, 'x': 176.188, 'y': 0.188, 'z': 173.125, 'watertmp': 25.8, 'depth': 0.0, 'thr0': 22.492, 'thr1': -273.15, 'thr2': 20.706, 'thr3': 20.805, 'thr4': 22.492, 'thr5': 22.392, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.8, 'cel3': 2.4, 'cel4': 2.6, 'cel5': 2.7, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 827}
{'lat': 'n/a', 'lon': 'n/a', 'time': 899, 'x': 176.188, 'y': 0.188, 'z': 173.125, 'watertmp': 25.9, 'depth': 0.0, 'thr0': 22.492, 'thr1': -273.15, 'thr2': 20.607, 'thr3': 20.904, 'thr4': 22.592, 'thr5': 22.592, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.8, 'cel3': 2.4, 'cel4': 2.6, 'cel5': 2.7, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 827}
{'lat': 'n/a', 'lon': 'n/a', 'time': 899, 'x': 176.188, 'y': 0.188, 'z': 173.125, 'watertmp': 25.9, 'depth': 0.0, 'thr0': 22.492, 'thr1': -273.15, 'thr2': 20.607, 'thr3': 20.904, 'thr4': 22.592, 'thr5': 22.592, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.9, 'cel2': 1.6, 'cel3': 2.2, 'cel4': 2.4, 'cel5': 2.6, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 827}
{'lat': 'n/a', 'lon': 'n/a', 'time': 899, 'x': 176.188, 'y': 0.188, 'z': 173.125, 'watertmp': 25.9, 'depth': 0.0, 'thr0': 22.492, 'thr1': -273.15, 'thr2': 20.607, 'thr3': 20.904, 'thr4': 22.592, 'thr5': 22.592, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.9, 'cel2': 1.6, 'cel3': 2.2, 'cel4': 2.4, 'cel5': 2.6, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 908}
{'lat': 'n/a', 'lon': 'n/a', 'time': 979, 'x': 176.188, 'y': 0.188, 'z': 173.125, 'watertmp': 25.9, 'depth': 0.0, 'thr0': 22.691, 'thr1': -273.15, 'thr2': 20.805, 'thr3': 20.904, 'thr4': 22.592, 'thr5': 22.592, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.9, 'cel2': 1.6, 'cel3': 2.2, 'cel4': 2.4, 'cel5': 2.6, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 908}
{'lat': 'n/a', 'lon': 'n/a', 'time': 979, 'x': 176.188, 'y': 0.188, 'z': 173.125, 'watertmp': 25.9, 'depth': 0.0, 'thr0': 22.691, 'thr1': -273.15, 'thr2': 20.805, 'thr3': 20.904, 'thr4': 22.592, 'thr5': 22.791, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.8, 'cel2': 1.5, 'cel3': 2.1, 'cel4': 2.3, 'cel5': 2.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 908}
{'lat': 'n/a', 'lon': 'n/a', 'time': 979, 'x': 176.188, 'y': 0.188, 'z': 173.125, 'watertmp': 25.9, 'depth': 0.0, 'thr0': 22.691, 'thr1': -273.15, 'thr2': 20.805, 'thr3': 20.904, 'thr4': 22.592, 'thr5': 22.791, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.8, 'cel2': 1.5, 'cel3': 2.1, 'cel4': 2.3, 'cel5': 2.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 989}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1060, 'x': 176.188, 'y': 0.188, 'z': 173.125, 'watertmp': 25.9, 'depth': 0.0, 'thr0': 22.492, 'thr1': -273.15, 'thr2': 20.706, 'thr3': 21.003, 'thr4': 22.791, 'thr5': 22.791, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.5, 'cel3': 2.1, 'cel4': 2.3, 'cel5': 2.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 989}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1060, 'x': 176.188, 'y': 0.188, 'z': 173.125, 'watertmp': 25.9, 'depth': 0.0, 'thr0': 22.492, 'thr1': -273.15, 'thr2': 20.706, 'thr3': 21.003, 'thr4': 22.791, 'thr5': 22.791, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.4, 'cel3': 2.0, 'cel4': 2.3, 'cel5': 2.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 989}
