{}
{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 'n/a', 'lon': 'n/a', 'time': 735, 'x': 0.0, 'y': 0.0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 735, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 25.7, 'depth': 0.1, 'thr0': 21.102}
{'lat': 'n/a', 'lon': 'n/a', 'time': 735, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 25.7, 'depth': 0.1, 'thr0': 21.102, 'thr1': -273.15, 'thr2': 20.607}
{'lat': 'n/a', 'lon': 'n/a', 'time': 735, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 25.7, 'depth': 0.1, 'thr0': 21.102, 'thr1': -273.15, 'thr2': 20.607, 'thr3': 20.805, 'thr4': 20.014, 'thr5': 20.212}
{'lat': 'n/a', 'lon': 'n/a', 'time': 735, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 25.7, 'depth': 0.1, 'thr0': 21.102, 'thr1': -273.15, 'thr2': 20.607, 'thr3': 20.805, 'thr4': 20.014, 'thr5': 20.212, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 735, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 25.7, 'depth': 0.1, 'thr0': 21.102, 'thr1': -273.15, 'thr2': 20.607, 'thr3': 20.805, 'thr4': 20.014, 'thr5': 20.212, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.4, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.7, 'cel5': 2.9}
{'lat': 'n/a', 'lon': 'n/a', 'time': 735, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 25.7, 'depth': 0.1, 'thr0': 21.102, 'thr1': -273.15, 'thr2': 20.607, 'thr3': 20.805, 'thr4': 20.014, 'thr5': 20.212, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.4, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.7, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 735, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 25.7, 'depth': 0.1, 'thr0': 21.102, 'thr1': -273.15, 'thr2': 20.607, 'thr3': 20.805, 'thr4': 20.014, 'thr5': 20.212, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.4, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.7, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 735, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 25.7, 'depth': 0.1, 'thr0': 21.102, 'thr1': -273.15, 'thr2': 20.607, 'thr3': 20.805, 'thr4': 20.014, 'thr5': 20.212, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.4, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.7, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 735, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 25.7, 'depth': 0.1, 'thr0': 21.102, 'thr1': -273.15, 'thr2': 20.607, 'thr3': 20.805, 'thr4': 20.014, 'thr5': 20.212, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.4, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.7, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 744}
{'lat': 'n/a', 'lon': 'n/a', 'time': 817, 'x': 175.375, 'y': 0.0, 'z': 0.0, 'watertmp': 25.7, 'depth': 0.1, 'thr0': 21.102, 'thr1': -273.15, 'thr2': 20.607, 'thr3': 20.805, 'thr4': 20.014, 'thr5': 20.212, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.4, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.7, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 744}
{'lat': 'n/a', 'lon': 'n/a', 'time': 817, 'x': 175.375, 'y': 0.25, 'z': 173.25, 'watertmp': 25.8, 'depth': 0.1, 'thr0': 21.102, 'thr1': -273.15, 'thr2': 20.607, 'thr3': 20.805, 'thr4': 20.014, 'thr5': 20.212, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.4, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.7, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 744}
{'lat': 'n/a', 'lon': 'n/a', 'time': 817, 'x': 175.375, 'y': 0.25, 'z': 173.25, 'watertmp': 25.8, 'depth': 0.1, 'thr0': 20.706, 'thr1': -273.15, 'thr2': 20.31, 'thr3': 20.805, 'thr4': 20.014, 'thr5': 20.212, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.4, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.7, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 744}
{'lat': 'n/a', 'lon': 'n/a', 'time': 817, 'x': 175.375, 'y': 0.25, 'z': 173.25, 'watertmp': 25.8, 'depth': 0.1, 'thr0': 20.706, 'thr1': -273.15, 'thr2': 20.31, 'thr3': 20.607, 'thr4': 20.212, 'thr5': 20.409, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.8, 'cel3': 2.6, 'cel4': 2.7, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 744}
{'lat': 'n/a', 'lon': 'n/a', 'time': 817, 'x': 175.375, 'y': 0.25, 'z': 173.25, 'watertmp': 25.8, 'depth': 0.1, 'thr0': 20.706, 'thr1': -273.15, 'thr2': 20.31, 'thr3': 20.607, 'thr4': 20.212, 'thr5': 20.409, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.8, 'cel3': 2.3, 'cel4': 2.5, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 744}
{'lat': 'n/a', 'lon': 'n/a', 'time': 817, 'x': 175.375, 'y': 0.25, 'z': 173.25, 'watertmp': 25.8, 'depth': 0.1, 'thr0': 20.706, 'thr1': -273.15, 'thr2': 20.31, 'thr3': 20.607, 'thr4': 20.212, 'thr5': 20.409, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.8, 'cel3': 2.3, 'cel4': 2.5, 'cel5': 2.7, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 826}
{'lat': 'n/a', 'lon': 'n/a', 'time': 899, 'x': 175.375, 'y': 0.25, 'z': 173.25, 'watertmp': 25.8, 'depth': 0.1, 'thr0': 20.212, 'thr1': -273.15, 'thr2': 20.31, 'thr3': 20.607, 'thr4': 20.212, 'thr5': 20.409, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.8, 'cel3': 2.3, 'cel4': 2.5, 'cel5': 2.7, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 826}
{'lat': 'n/a', 'lon': 'n/a', 'time': 899, 'x': 175.375, 'y': 0.25, 'z': 173.25, 'watertmp': 25.8, 'depth': 0.1, 'thr0': 20.212, 'thr1': -273.15, 'thr2': 20.113, 'thr3': 20.904, 'thr4': 20.805, 'thr5': 20.409, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.8, 'cel3': 2.3, 'cel4': 2.5, 'cel5': 2.7, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 826}
{'lat': 'n/a', 'lon': 'n/a', 'time': 899, 'x': 175.375, 'y': 0.25, 'z': 173.25, 'watertmp': 25.8, 'depth': 0.1, 'thr0': 20.212, 'thr1': -273.15, 'thr2': 20.113, 'thr3': 20.904, 'thr4': 20.805, 'thr5': 20.607, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.9, 'cel2': 1.6, 'cel3': 2.3, 'cel4': 2.5, 'cel5': 2.7, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 826}
{'lat': 'n/a', 'lon': 'n/a', 'time': 899, 'x': 175.375, 'y': 0.25, 'z': 173.25, 'watertmp': 25.8, 'depth': 0.1, 'thr0': 20.212, 'thr1': -273.15, 'thr2': 20.113, 'thr3': 20.904, 'thr4': 20.805, 'thr5': 20.607, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.9, 'cel2': 1.6, 'cel3': 2.2, 'cel4': 2.4, 'cel5': 2.6, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 826}
