{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 'n/a', 'lon': 'n/a', 'time': 745, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 22.0, 'depth': -0.0, 'thr0': 18.537, 'thr1': -86.987, 'thr2': 18.144, 'thr3': 18.144, 'thr4': 17.849, 'thr5': 18.045, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.4, 'cel2': 2.1, 'cel3': 2.7, 'cel4': 2.9}
{'lat': 'n/a', 'lon': 'n/a', 'time': 745, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 22.0, 'depth': -0.0, 'thr0': 18.537, 'thr1': -86.987, 'thr2': 18.144, 'thr3': 18.144, 'thr4': 17.849, 'thr5': 18.045, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.4, 'cel2': 2.1, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 755}
{'lat': 'n/a', 'lon': 'n/a', 'time': 828, 'x': 173.188, 'y': 0.0, 'z': 0.0, 'watertmp': 22.0, 'depth': -0.0, 'thr0': 18.537, 'thr1': -86.987, 'thr2': 18.144, 'thr3': 18.144, 'thr4': 17.849, 'thr5': 18.045, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.4, 'cel2': 2.1, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 755}
{'lat': 'n/a', 'lon': 'n/a', 'time': 828, 'x': 173.188, 'y': 0.375, 'z': 173.25, 'watertmp': 22.1, 'depth': -0.0, 'thr0': 18.242, 'thr1': -86.987, 'thr2': 18.144, 'thr3': 18.144, 'thr4': 17.849, 'thr5': 18.045, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.4, 'cel2': 2.1, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 755}
{'lat': 'n/a', 'lon': 'n/a', 'time': 828, 'x': 173.188, 'y': 0.375, 'z': 173.25, 'watertmp': 22.1, 'depth': -0.0, 'thr0': 18.242, 'thr1': -86.987, 'thr2': 18.045, 'thr3': 18.242, 'thr4': 17.947, 'thr5': 18.242, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.4, 'cel2': 2.1, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 755}
{'lat': 'n/a', 'lon': 'n/a', 'time': 828, 'x': 173.188, 'y': 0.375, 'z': 173.25, 'watertmp': 22.1, 'depth': -0.0, 'thr0': 18.242, 'thr1': -86.987, 'thr2': 18.045, 'thr3': 18.242, 'thr4': 17.947, 'thr5': 18.242, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.8, 'cel3': 2.4, 'cel4': 2.6, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 755}
{'lat': 'n/a', 'lon': 'n/a', 'time': 909, 'x': 173.188, 'y': 0.375, 'z': 173.25, 'watertmp': 22.1, 'depth': -0.0, 'thr0': 18.242, 'thr1': -86.987, 'thr2': 18.045, 'thr3': 18.242, 'thr4': 17.947, 'thr5': 18.242, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.8, 'cel3': 2.4, 'cel4': 2.6, 'cel5': 2.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 837}
{'lat': 'n/a', 'lon': 'n/a', 'time': 909, 'x': 173.188, 'y': 0.375, 'z': 173.25, 'watertmp': 22.1, 'depth': -0.0, 'thr0': 18.635, 'thr1': -86.987, 'thr2': 18.438, 'thr3': 18.537, 'thr4': 17.947, 'thr5': 18.242, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.8, 'cel3': 2.4, 'cel4': 2.6, 'cel5': 2.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 837}
{'lat': 'n/a', 'lon': 'n/a', 'time': 909, 'x': 173.188, 'y': 0.375, 'z': 173.25, 'watertmp': 22.1, 'depth': -0.0, 'thr0': 18.635, 'thr1': -86.987, 'thr2': 18.438, 'thr3': 18.537, 'thr4': 18.242, 'thr5': 18.438, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.8, 'cel2': 1.6, 'cel3': 2.1, 'cel4': 2.4, 'cel5': 2.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 837}
{'lat': 'n/a', 'lon': 'n/a', 'time': 909, 'x': 173.188, 'y': 0.375, 'z': 173.25, 'watertmp': 22.1, 'depth': -0.0, 'thr0': 18.635, 'thr1': -86.987, 'thr2': 18.438, 'thr3': 18.537, 'thr4': 18.242, 'thr5': 18.438, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.8, 'cel2': 1.6, 'cel3': 2.1, 'cel4': 2.4, 'cel5': 2.6, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 919}
{'lat': 'n/a', 'lon': 'n/a', 'time': 991, 'x': 173.188, 'y': 0.375, 'z': 173.25, 'watertmp': 22.1, 'depth': -0.0, 'thr0': 18.34, 'thr1': -86.987, 'thr2': 18.34, 'thr3': 18.438, 'thr4': 18.242, 'thr5': 18.438, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.8, 'cel2': 1.6, 'cel3': 2.1, 'cel4': 2.4, 'cel5': 2.6, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 919}
{'lat': 'n/a', 'lon': 'n/a', 'time': 991, 'x': 173.188, 'y': 0.375, 'z': 173.25, 'watertmp': 22.1, 'depth': -0.0, 'thr0': 18.34, 'thr1': -86.987, 'thr2': 18.34, 'thr3': 18.438, 'thr4': 18.242, 'thr5': 18.438, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.4, 'cel3': 2.0, 'cel4': 2.3, 'cel5': 2.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 919}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1073, 'x': 173.188, 'y': 0.375, 'z': 173.25, 'watertmp': 22.1, 'depth': -0.0, 'thr0': 18.242, 'thr1': -86.987, 'thr2': 18.242, 'thr3': 18.438, 'thr4': 18.242, 'thr5': 18.438, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.4, 'cel3': 2.0, 'cel4': 2.3, 'cel5': 2.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1000}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1073, 'x': 173.188, 'y': 0.375, 'z': 173.25, 'watertmp': 22.1, 'depth': -0.0, 'thr0': 18.242, 'thr1': -86.987, 'thr2': 18.242, 'thr3': 18.438, 'thr4': 18.045, 'thr5': 18.438, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.4, 'cel3': 2.0, 'cel4': 2.3, 'cel5': 2.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1000}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1073, 'x': 173.188, 'y': 0.375, 'z': 173.25, 'watertmp': 22.1, 'depth': -0.0, 'thr0': 18.242, 'thr1': -86.987, 'thr2': 18.242, 'thr3': 18.438, 'thr4': 18.045, 'thr5': 18.438, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.4, 'cel3': 1.9, 'cel4': 2.2, 'cel5': 2.4, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1000}
