{}
{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 'n/a', 'lon': 'n/a', 'time': 818, 'x': 183.375, 'y': -0.188, 'z': 173.125}
{'lat': 'n/a', 'lon': 'n/a', 'time': 818, 'x': 183.375, 'y': -0.188, 'z': 173.125, 'watertmp': 20.9, 'depth': -0.1, 'thr0': 17.947, 'thr1': -273.15}
{'lat': 'n/a', 'lon': 'n/a', 'time': 818, 'x': 183.375, 'y': -0.188, 'z': 173.125, 'watertmp': 20.9, 'depth': -0.1, 'thr0': 17.947, 'thr1': -273.15, 'thr2': 17.063, 'thr3': 17.26, 'thr4': 17.652, 'thr5': 17.652, 'cur0': 0.0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 818, 'x': 183.375, 'y': -0.188, 'z': 173.125, 'watertmp': 20.9, 'depth': -0.1, 'thr0': 17.947, 'thr1': -273.15, 'thr2': 17.063, 'thr3': 17.26, 'thr4': 17.652, 'thr5': 17.652, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.8, 'cel3': 2.4, 'cel4': 2.6, 'cel5': 2.7, 'rot0': 0, 'rot1': 0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 818, 'x': 183.375, 'y': -0.188, 'z': 173.125, 'watertmp': 20.9, 'depth': -0.1, 'thr0': 17.947, 'thr1': -273.15, 'thr2': 17.063, 'thr3': 17.26, 'thr4': 17.652, 'thr5': 17.652, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.8, 'cel3': 2.4, 'cel4': 2.6, 'cel5': 2.7, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 818, 'x': 183.375, 'y': -0.188, 'z': 173.125, 'watertmp': 20.9, 'depth': -0.1, 'thr0': 17.947, 'thr1': -273.15, 'thr2': 17.063, 'thr3': 17.26, 'thr4': 17.652, 'thr5': 17.652, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.8, 'cel3': 2.4, 'cel4': 2.6, 'cel5': 2.7, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 827}
{'lat': 'n/a', 'lon': 'n/a', 'time': 899, 'x': 183.375, 'y': -0.188, 'z': 173.125, 'watertmp': 20.9, 'depth': -0.1, 'thr0': 17.947, 'thr1': -273.15, 'thr2': 17.063, 'thr3': 17.26, 'thr4': 17.652, 'thr5': 17.652, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.8, 'cel3': 2.4, 'cel4': 2.6, 'cel5': 2.7, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 827}
{'lat': 'n/a', 'lon': 'n/a', 'time': 899, 'x': 183.375, 'y': -0.188, 'z': 173.125, 'watertmp': 20.9, 'depth': -0.1, 'thr0': 18.144, 'thr1': -273.15, 'thr2': 17.26, 'thr3': 17.652, 'thr4': 18.34, 'thr5': 17.652, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.8, 'cel3': 2.4, 'cel4': 2.6, 'cel5': 2.7, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 827}
{'lat': 'n/a', 'lon': 'n/a', 'time': 899, 'x': 183.375, 'y': -0.188, 'z': 173.125, 'watertmp': 20.9, 'depth': -0.1, 'thr0': 18.144, 'thr1': -273.15, 'thr2': 17.26, 'thr3': 17.652, 'thr4': 18.34, 'thr5': 17.751, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.8, 'cel2': 1.8, 'cel3': 2.4, 'cel4': 2.6, 'cel5': 2.7, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 827}
{'lat': 'n/a', 'lon': 'n/a', 'time': 899, 'x': 183.375, 'y': -0.188, 'z': 173.125, 'watertmp': 20.9, 'depth': -0.1, 'thr0': 18.144, 'thr1': -273.15, 'thr2': 17.26, 'thr3': 17.652, 'thr4': 18.34, 'thr5': 17.751, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.8, 'cel2': 1.6, 'cel3': 2.2, 'cel4': 2.6, 'cel5': 2.7, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 827}
{'lat': 'n/a', 'lon': 'n/a', 'time': 899, 'x': 183.375, 'y': -0.188, 'z': 173.125, 'watertmp': 20.9, 'depth': -0.1, 'thr0': 18.144, 'thr1': -273.15, 'thr2': 17.26, 'thr3': 17.652, 'thr4': 18.34, 'thr5': 17.751, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.8, 'cel2': 1.6, 'cel3': 2.2, 'cel4': 2.4, 'cel5': 2.7, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 827}
{'lat': 'n/a', 'lon': 'n/a', 'time': 899, 'x': 183.375, 'y': -0.188, 'z': 173.125, 'watertmp': 20.9, 'depth': -0.1, 'thr0': 18.144, 'thr1': -273.15, 'thr2': 17.26, 'thr3': 17.652, 'thr4': 18.34, 'thr5': 17.751, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.8, 'cel2': 1.6, 'cel3': 2.2, 'cel4': 2.4, 'cel5': 2.6, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 909}
{'lat': 'n/a', 'lon': 'n/a', 'time': 980, 'x': 183.375, 'y': -0.188, 'z': 173.125, 'watertmp': 20.9, 'depth': -0.1, 'thr0': 18.144, 'thr1': -273.15, 'thr2': 17.26, 'thr3': 17.652, 'thr4': 18.34, 'thr5': 17.751, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.8, 'cel2': 1.6, 'cel3': 2.2, 'cel4': 2.4, 'cel5': 2.6, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 909}
{'lat': 'n/a', 'lon': 'n/a', 'time': 980, 'x': 183.375, 'y': -0.188, 'z': 173.125, 'watertmp': 21.0, 'depth': -0.1, 'thr0': 18.144, 'thr1': -273.15, 'thr2': 17.26, 'thr3': 17.652, 'thr4': 18.34, 'thr5': 17.751, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.8, 'cel2': 1.6, 'cel3': 2.2, 'cel4': 2.4, 'cel5': 2.6, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 909}
{'lat': 'n/a', 'lon': 'n/a', 'time': 980, 'x': 183.375, 'y': -0.188, 'z': 173.125, 'watertmp': 21.0, 'depth': -0.1, 'thr0': 18.045, 'thr1': -273.15, 'thr2': 17.063, 'thr3': 17.26, 'thr4': 18.34, 'thr5': 17.751, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.8, 'cel2': 1.6, 'cel3': 2.2, 'cel4': 2.4, 'cel5': 2.6, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 909}
{'lat': 'n/a', 'lon': 'n/a', 'time': 980, 'x': 183.375, 'y': -0.188, 'z': 173.125, 'watertmp': 21.0, 'depth': -0.1, 'thr0': 18.045, 'thr1': -273.15, 'thr2': 17.063, 'thr3': 17.26, 'thr4': 17.849, 'thr5': 17.751, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.5, 'cel3': 2.0, 'cel4': 2.4, 'cel5': 2.6, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 909}
