{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 'n/a', 'lon': 'n/a', 'time': 735, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 20.8, 'depth': -0.1, 'thr0': 18.144, 'thr1': -273.15}
{'lat': 'n/a', 'lon': 'n/a', 'time': 735, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 20.8, 'depth': -0.1, 'thr0': 18.144, 'thr1': -273.15, 'thr2': 16.671, 'thr3': 16.867, 'thr4': 17.26, 'thr5': 17.652, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 818, 'x': 183.438, 'y': -0.188, 'z': 173.0, 'watertmp': 20.9, 'depth': -0.1, 'thr0': 18.045, 'thr1': -273.15, 'thr2': 17.26, 'thr3': 17.652, 'thr4': 18.045, 'thr5': 17.652, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.8, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 744}
{'lat': 'n/a', 'lon': 'n/a', 'time': 899, 'x': 183.438, 'y': -0.188, 'z': 173.0, 'watertmp': 20.9, 'depth': -0.1, 'thr0': 18.045, 'thr1': -273.15, 'thr2': 17.26, 'thr3': 17.652, 'thr4': 18.045, 'thr5': 17.652, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.8, 'cel3': 2.4, 'cel4': 2.6, 'cel5': 2.7, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 827}
{'lat': 'n/a', 'lon': 'n/a', 'time': 899, 'x': 183.438, 'y': -0.188, 'z': 173.0, 'watertmp': 21.0, 'depth': -0.1, 'thr0': 17.652, 'thr1': -273.15, 'thr2': 16.965, 'thr3': 16.867, 'thr4': 17.554, 'thr5': 17.652, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.8, 'cel3': 2.4, 'cel4': 2.6, 'cel5': 2.7, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 827}
{'lat': 'n/a', 'lon': 'n/a', 'time': 899, 'x': 183.438, 'y': -0.188, 'z': 173.0, 'watertmp': 21.0, 'depth': -0.1, 'thr0': 17.652, 'thr1': -273.15, 'thr2': 16.965, 'thr3': 16.867, 'thr4': 17.554, 'thr5': 17.456, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.8, 'cel2': 1.6, 'cel3': 2.2, 'cel4': 2.4, 'cel5': 2.6, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 827}
{'lat': 'n/a', 'lon': 'n/a', 'time': 899, 'x': 183.438, 'y': -0.188, 'z': 173.0, 'watertmp': 21.0, 'depth': -0.1, 'thr0': 17.652, 'thr1': -273.15, 'thr2': 16.965, 'thr3': 16.867, 'thr4': 17.554, 'thr5': 17.456, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.8, 'cel2': 1.6, 'cel3': 2.2, 'cel4': 2.4, 'cel5': 2.6, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 909}
{'lat': 'n/a', 'lon': 'n/a', 'time': 980, 'x': 183.438, 'y': -0.188, 'z': 173.0, 'watertmp': 21.0, 'depth': -0.1, 'thr0': 18.045, 'thr1': -273.15, 'thr2': 17.26, 'thr3': 16.867, 'thr4': 17.554, 'thr5': 17.456, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.8, 'cel2': 1.6, 'cel3': 2.2, 'cel4': 2.4, 'cel5': 2.6, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 909}
{'lat': 'n/a', 'lon': 'n/a', 'time': 980, 'x': 183.438, 'y': -0.188, 'z': 173.0, 'watertmp': 21.0, 'depth': -0.1, 'thr0': 18.045, 'thr1': -273.15, 'thr2': 17.26, 'thr3': 17.358, 'thr4': 18.045, 'thr5': 17.849, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.5, 'cel3': 2.0, 'cel4': 2.3, 'cel5': 2.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 909}
{'lat': 'n/a', 'lon': 'n/a', 'time': 980, 'x': 183.438, 'y': -0.188, 'z': 173.0, 'watertmp': 21.0, 'depth': -0.1, 'thr0': 18.045, 'thr1': -273.15, 'thr2': 17.26, 'thr3': 17.358, 'thr4': 18.045, 'thr5': 17.849, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.5, 'cel3': 2.0, 'cel4': 2.3, 'cel5': 2.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 990}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1061, 'x': 183.438, 'y': -0.188, 'z': 173.0, 'watertmp': 21.0, 'depth': -0.1, 'thr0': 18.045, 'thr1': -273.15, 'thr2': 17.26, 'thr3': 17.358, 'thr4': 18.045, 'thr5': 17.849, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.5, 'cel3': 2.0, 'cel4': 2.3, 'cel5': 2.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 990}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1061, 'x': 183.438, 'y': -0.188, 'z': 173.0, 'watertmp': 21.0, 'depth': -0.1, 'thr0': 18.242, 'thr1': -273.15, 'thr2': 17.456, 'thr3': 17.554, 'thr4': 18.144, 'thr5': 18.045, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.5, 'cel3': 2.0, 'cel4': 2.3, 'cel5': 2.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 990}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1061, 'x': 183.438, 'y': -0.188, 'z': 173.0, 'watertmp': 21.0, 'depth': -0.1, 'thr0': 18.242, 'thr1': -273.15, 'thr2': 17.456, 'thr3': 17.554, 'thr4': 18.144, 'thr5': 18.045, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.4, 'cel3': 1.9, 'cel4': 2.2, 'cel5': 2.4, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 990}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1145, 'x': 183.438, 'y': -0.188, 'z': 173.0, 'watertmp': 21.0, 'depth': -0.1, 'thr0': 18.242, 'thr1': -273.15, 'thr2': 17.456, 'thr3': 17.554, 'thr4': 18.144, 'thr5': 18.045, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.4, 'cel3': 1.9, 'cel4': 2.2, 'cel5': 2.4, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1072}
