{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 'n/a', 'lon': 'n/a', 'time': 12010, 'x': 0.0, 'y': 0.0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 12010, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 19.9, 'depth': -0.0, 'thr0': 16.18, 'thr1': -273.15, 'thr2': 16.18, 'thr3': 16.278, 'thr4': 15.885, 'thr5': 16.376}
{'lat': 'n/a', 'lon': 'n/a', 'time': 12010, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 19.9, 'depth': -0.0, 'thr0': 16.18, 'thr1': -273.15, 'thr2': 16.18, 'thr3': 16.278, 'thr4': 15.885, 'thr5': 16.376, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 2.1, 'cel2': 2.7, 'cel3': 3.4, 'cel4': 3.4, 'cel5': 3.6}
{'lat': 'n/a', 'lon': 'n/a', 'time': 12010, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 19.9, 'depth': -0.0, 'thr0': 16.18, 'thr1': -273.15, 'thr2': 16.18, 'thr3': 16.278, 'thr4': 15.885, 'thr5': 16.376, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 2.1, 'cel2': 2.7, 'cel3': 3.4, 'cel4': 3.4, 'cel5': 3.6, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'rot4': 7393, 'rot5': 2840, 'sys': 0, 'Gyro': 0, 'Accel': 0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 12095, 'x': 182.625, 'y': 0.0, 'z': 0.0, 'watertmp': 19.9, 'depth': -0.0, 'thr0': 16.18, 'thr1': -273.15, 'thr2': 16.18, 'thr3': 16.278, 'thr4': 15.885, 'thr5': 16.376, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 2.1, 'cel2': 2.7, 'cel3': 3.4, 'cel4': 3.4, 'cel5': 3.6, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'rot4': 7393, 'rot5': 2840, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 12021}
{'lat': 'n/a', 'lon': 'n/a', 'time': 12095, 'x': 182.625, 'y': -0.125, 'z': 173.125, 'watertmp': 20.0, 'depth': -0.0, 'thr0': 16.18, 'thr1': -273.15, 'thr2': 16.18, 'thr3': 16.278, 'thr4': 15.885, 'thr5': 16.376, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 2.1, 'cel2': 2.7, 'cel3': 3.4, 'cel4': 3.4, 'cel5': 3.6, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'rot4': 7393, 'rot5': 2840, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 12021}
{'lat': 'n/a', 'lon': 'n/a', 'time': 12095, 'x': 182.625, 'y': -0.125, 'z': 173.125, 'watertmp': 20.0, 'depth': -0.0, 'thr0': 16.572, 'thr1': -273.15, 'thr2': 16.474, 'thr3': 16.572, 'thr4': 16.18, 'thr5': 16.376, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 2.1, 'cel2': 2.7, 'cel3': 3.4, 'cel4': 3.4, 'cel5': 3.6, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'rot4': 7393, 'rot5': 2840, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 12021}
{'lat': 'n/a', 'lon': 'n/a', 'time': 12095, 'x': 182.625, 'y': -0.125, 'z': 173.125, 'watertmp': 20.0, 'depth': -0.0, 'thr0': 16.572, 'thr1': -273.15, 'thr2': 16.474, 'thr3': 16.572, 'thr4': 16.18, 'thr5': 16.572, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 2.1, 'cel2': 2.7, 'cel3': 3.4, 'cel4': 3.4, 'cel5': 3.6, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'rot4': 7393, 'rot5': 2840, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 12021}
{'lat': 'n/a', 'lon': 'n/a', 'time': 12095, 'x': 182.625, 'y': -0.125, 'z': 173.125, 'watertmp': 20.0, 'depth': -0.0, 'thr0': 16.572, 'thr1': -273.15, 'thr2': 16.474, 'thr3': 16.572, 'thr4': 16.18, 'thr5': 16.572, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.5, 'cel2': 2.3, 'cel3': 3.0, 'cel4': 3.1, 'cel5': 3.3, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'rot4': 7664, 'rot5': 2840, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 12021}
{'lat': 'n/a', 'lon': 'n/a', 'time': 12095, 'x': 182.625, 'y': -0.125, 'z': 173.125, 'watertmp': 20.0, 'depth': -0.0, 'thr0': 16.572, 'thr1': -273.15, 'thr2': 16.474, 'thr3': 16.572, 'thr4': 16.18, 'thr5': 16.572, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.5, 'cel2': 2.3, 'cel3': 3.0, 'cel4': 3.1, 'cel5': 3.3, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'rot4': 7664, 'rot5': 2924, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 12106}
{'lat': 'n/a', 'lon': 'n/a', 'time': 12182, 'x': 182.625, 'y': -0.125, 'z': 173.125, 'watertmp': 20.0, 'depth': -0.0, 'thr0': 16.572, 'thr1': -273.15, 'thr2': 16.474, 'thr3': 16.572, 'thr4': 16.18, 'thr5': 16.572, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.5, 'cel2': 2.3, 'cel3': 3.0, 'cel4': 3.1, 'cel5': 3.3, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'rot4': 7664, 'rot5': 2924, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 12106}
{'lat': 'n/a', 'lon': 'n/a', 'time': 12182, 'x': 182.625, 'y': -0.125, 'z': 173.125, 'watertmp': 20.0, 'depth': -0.1, 'thr0': 16.474, 'thr1': -273.15, 'thr2': 16.474, 'thr3': 16.572, 'thr4': 16.18, 'thr5': 16.572, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.5, 'cel2': 2.3, 'cel3': 3.0, 'cel4': 3.1, 'cel5': 3.3, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'rot4': 7664, 'rot5': 2924, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 12106}
{'lat': 'n/a', 'lon': 'n/a', 'time': 12182, 'x': 182.625, 'y': -0.125, 'z': 173.125, 'watertmp': 20.0, 'depth': -0.1, 'thr0': 16.474, 'thr1': -273.15, 'thr2': 16.376, 'thr3': 16.474, 'thr4': 16.376, 'thr5': 16.572, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.5, 'cel2': 2.3, 'cel3': 3.0, 'cel4': 3.1, 'cel5': 3.3, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'rot4': 7664, 'rot5': 2924, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 12106}
{'lat': 'n/a', 'lon': 'n/a', 'time': 12182, 'x': 182.625, 'y': -0.125, 'z': 173.125, 'watertmp': 20.0, 'depth': -0.1, 'thr0': 16.474, 'thr1': -273.15, 'thr2': 16.376, 'thr3': 16.474, 'thr4': 16.376, 'thr5': 16.572, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.1, 'cel2': 1.9, 'cel3': 3.0, 'cel4': 3.1, 'cel5': 3.3, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'rot4': 7664, 'rot5': 2924, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 12106}
{'lat': 'n/a', 'lon': 'n/a', 'time': 12182, 'x': 182.625, 'y': -0.125, 'z': 173.125, 'watertmp': 20.0, 'depth': -0.1, 'thr0': 16.474, 'thr1': -273.15, 'thr2': 16.376, 'thr3': 16.474, 'thr4': 16.376, 'thr5': 16.572, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.1, 'cel2': 1.9, 'cel3': 2.6, 'cel4': 2.9, 'cel5': 3.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'rot4': 7664, 'rot5': 2924, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 12106}
