{}
{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 'n/a', 'lon': 'n/a', 'time': 738, 'x': 0.0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 738, 'x': 0.0, 'y': 0.0, 'z': 0.0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 738, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 15.3, 'depth': -0.1, 'thr0': 12.638, 'thr1': -273.15}
{'lat': 'n/a', 'lon': 'n/a', 'time': 738, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 15.3, 'depth': -0.1, 'thr0': 12.638, 'thr1': -273.15, 'thr2': 12.836, 'thr3': 12.934, 'thr4': 12.243}
{'lat': 'n/a', 'lon': 'n/a', 'time': 738, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 15.3, 'depth': -0.1, 'thr0': 12.638, 'thr1': -273.15, 'thr2': 12.836, 'thr3': 12.934, 'thr4': 12.243, 'thr5': 12.737, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 738, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 15.3, 'depth': -0.1, 'thr0': 12.638, 'thr1': -273.15, 'thr2': 12.836, 'thr3': 12.934, 'thr4': 12.243, 'thr5': 12.737, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.4, 'cel2': 2.2, 'cel3': 2.8, 'cel4': 2.9}
{'lat': 'n/a', 'lon': 'n/a', 'time': 738, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 15.3, 'depth': -0.1, 'thr0': 12.638, 'thr1': -273.15, 'thr2': 12.836, 'thr3': 12.934, 'thr4': 12.243, 'thr5': 12.737, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.4, 'cel2': 2.2, 'cel3': 2.8, 'cel4': 2.9, 'cel5': 3.1, 'rot0': 0, 'rot1': 0, 'rot2': 0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 738, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 15.3, 'depth': -0.1, 'thr0': 12.638, 'thr1': -273.15, 'thr2': 12.836, 'thr3': 12.934, 'thr4': 12.243, 'thr5': 12.737, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.4, 'cel2': 2.2, 'cel3': 2.8, 'cel4': 2.9, 'cel5': 3.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'rot4': 1353, 'rot5': 422}
{'lat': 'n/a', 'lon': 'n/a', 'time': 738, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 15.3, 'depth': -0.1, 'thr0': 12.638, 'thr1': -273.15, 'thr2': 12.836, 'thr3': 12.934, 'thr4': 12.243, 'thr5': 12.737, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.4, 'cel2': 2.2, 'cel3': 2.8, 'cel4': 2.9, 'cel5': 3.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'rot4': 1353, 'rot5': 422, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 749}
{'lat': 'n/a', 'lon': 'n/a', 'time': 823, 'x': 182.813, 'y': -0.125, 'z': 173.438, 'watertmp': 15.4, 'depth': -0.1, 'thr0': 12.836, 'thr1': -273.15, 'thr2': 12.934, 'thr3': 13.033, 'thr4': 12.638, 'thr5': 13.033, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.4, 'cel2': 2.2, 'cel3': 2.8, 'cel4': 2.9, 'cel5': 3.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'rot4': 1353, 'rot5': 422, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 749}
{'lat': 'n/a', 'lon': 'n/a', 'time': 823, 'x': 182.813, 'y': -0.125, 'z': 173.438, 'watertmp': 15.4, 'depth': -0.1, 'thr0': 12.836, 'thr1': -273.15, 'thr2': 12.934, 'thr3': 13.033, 'thr4': 12.638, 'thr5': 13.033, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.8, 'cel3': 2.4, 'cel4': 2.6, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'rot4': 1624, 'rot5': 500, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 749}
{'lat': 'n/a', 'lon': 'n/a', 'time': 910, 'x': 182.813, 'y': -0.125, 'z': 173.438, 'watertmp': 15.4, 'depth': -0.1, 'thr0': 12.836, 'thr1': -273.15, 'thr2': 12.934, 'thr3': 13.033, 'thr4': 12.638, 'thr5': 13.033, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.8, 'cel3': 2.4, 'cel4': 2.6, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'rot4': 1624, 'rot5': 500, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 835}
{'lat': 'n/a', 'lon': 'n/a', 'time': 910, 'x': 182.813, 'y': -0.125, 'z': 173.438, 'watertmp': 15.4, 'depth': -0.1, 'thr0': 12.441, 'thr1': -273.15, 'thr2': 12.737, 'thr3': 13.033, 'thr4': 12.638, 'thr5': 13.033, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.8, 'cel3': 2.4, 'cel4': 2.6, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'rot4': 1624, 'rot5': 500, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 835}
{'lat': 'n/a', 'lon': 'n/a', 'time': 910, 'x': 182.813, 'y': -0.125, 'z': 173.438, 'watertmp': 15.4, 'depth': -0.1, 'thr0': 12.441, 'thr1': -273.15, 'thr2': 12.737, 'thr3': 13.033, 'thr4': 12.441, 'thr5': 12.836, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.8, 'cel2': 1.5, 'cel3': 2.1, 'cel4': 2.4, 'cel5': 2.7, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'rot4': 1624, 'rot5': 500, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 835}
{'lat': 'n/a', 'lon': 'n/a', 'time': 910, 'x': 182.813, 'y': -0.125, 'z': 173.438, 'watertmp': 15.4, 'depth': -0.1, 'thr0': 12.441, 'thr1': -273.15, 'thr2': 12.737, 'thr3': 13.033, 'thr4': 12.441, 'thr5': 12.836, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.8, 'cel2': 1.5, 'cel3': 2.1, 'cel4': 2.4, 'cel5': 2.7, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'rot4': 1895, 'rot5': 581, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 835}
{'lat': 'n/a', 'lon': 'n/a', 'time': 997, 'x': 182.813, 'y': -0.125, 'z': 173.438, 'watertmp': 15.4, 'depth': -0.1, 'thr0': 12.737, 'thr1': -273.15, 'thr2': 12.934, 'thr3': 13.033, 'thr4': 12.539, 'thr5': 12.737, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.8, 'cel2': 1.5, 'cel3': 2.1, 'cel4': 2.4, 'cel5': 2.7, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'rot4': 1895, 'rot5': 581, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 921}
{'lat': 'n/a', 'lon': 'n/a', 'time': 997, 'x': 182.813, 'y': -0.125, 'z': 173.438, 'watertmp': 15.4, 'depth': -0.1, 'thr0': 12.737, 'thr1': -273.15, 'thr2': 12.934, 'thr3': 13.033, 'thr4': 12.539, 'thr5': 12.737, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.4, 'cel3': 2.0, 'cel4': 2.3, 'cel5': 2.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'rot4': 2166, 'rot5': 661, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1009}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1083, 'x': 182.813, 'y': -0.125, 'z': 173.438, 'watertmp': 15.4, 'depth': -0.1, 'thr0': 12.737, 'thr1': -273.15, 'thr2': 12.934, 'thr3': 13.033, 'thr4': 12.539, 'thr5': 12.737, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.4, 'cel3': 2.0, 'cel4': 2.3, 'cel5': 2.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'rot4': 2166, 'rot5': 661, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1009}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1083, 'x': 182.813, 'y': -0.125, 'z': 173.438, 'watertmp': 15.4, 'depth': -0.1, 'thr0': 12.737, 'thr1': -273.15, 'thr2': 12.836, 'thr3': 13.033, 'thr4': 12.638, 'thr5': 12.836, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.4, 'cel3': 2.0, 'cel4': 2.3, 'cel5': 2.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'rot4': 2166, 'rot5': 661, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1009}
