{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 'n/a', 'lon': 'n/a', 'time': 6366, 'x': 0.0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 6366, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 23.8}
{'lat': 'n/a', 'lon': 'n/a', 'time': 6366, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 23.8, 'depth': 0.0, 'thr0': 20.409}
{'lat': 'n/a', 'lon': 'n/a', 'time': 6366, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 23.8, 'depth': 0.0, 'thr0': 20.409, 'thr1': -273.15, 'thr2': 19.718}
{'lat': 'n/a', 'lon': 'n/a', 'time': 6366, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 23.8, 'depth': 0.0, 'thr0': 20.409, 'thr1': -273.15, 'thr2': 19.718, 'thr3': 19.718, 'thr4': 20.113, 'thr5': 20.113, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 6366, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 23.8, 'depth': 0.0, 'thr0': 20.409, 'thr1': -273.15, 'thr2': 19.718, 'thr3': 19.718, 'thr4': 20.113, 'thr5': 20.113, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.6, 'cel2': 2.4, 'cel3': 3.1, 'cel4': 3.1, 'cel5': 3.2}
{'lat': 'n/a', 'lon': 'n/a', 'time': 6366, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 23.8, 'depth': 0.0, 'thr0': 20.409, 'thr1': -273.15, 'thr2': 19.718, 'thr3': 19.718, 'thr4': 20.113, 'thr5': 20.113, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.6, 'cel2': 2.4, 'cel3': 3.1, 'cel4': 3.1, 'cel5': 3.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 6366, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 23.8, 'depth': 0.0, 'thr0': 20.409, 'thr1': -273.15, 'thr2': 19.718, 'thr3': 19.718, 'thr4': 20.113, 'thr5': 20.113, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.6, 'cel2': 2.4, 'cel3': 3.1, 'cel4': 3.1, 'cel5': 3.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 6375}
{'lat': 'n/a', 'lon': 'n/a', 'time': 6449, 'x': 184.0, 'y': 0.0, 'z': 0.0, 'watertmp': 23.8, 'depth': 0.0, 'thr0': 20.409, 'thr1': -273.15, 'thr2': 19.718, 'thr3': 19.718, 'thr4': 20.113, 'thr5': 20.113, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.6, 'cel2': 2.4, 'cel3': 3.1, 'cel4': 3.1, 'cel5': 3.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 6375}
{'lat': 'n/a', 'lon': 'n/a', 'time': 6449, 'x': 184.0, 'y': -0.188, 'z': 173.063, 'watertmp': 23.9, 'depth': 0.0, 'thr0': 20.409, 'thr1': -273.15, 'thr2': 19.718, 'thr3': 19.718, 'thr4': 20.113, 'thr5': 20.113, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.6, 'cel2': 2.4, 'cel3': 3.1, 'cel4': 3.1, 'cel5': 3.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 6375}
{'lat': 'n/a', 'lon': 'n/a', 'time': 6449, 'x': 184.0, 'y': -0.188, 'z': 173.063, 'watertmp': 23.9, 'depth': 0.0, 'thr0': 20.212, 'thr1': -273.15, 'thr2': 19.718, 'thr3': 19.718, 'thr4': 20.113, 'thr5': 20.113, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.6, 'cel2': 2.4, 'cel3': 3.1, 'cel4': 3.1, 'cel5': 3.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 6375}
{'lat': 'n/a', 'lon': 'n/a', 'time': 6449, 'x': 184.0, 'y': -0.188, 'z': 173.063, 'watertmp': 23.9, 'depth': 0.0, 'thr0': 20.212, 'thr1': -273.15, 'thr2': 19.916, 'thr3': 19.817, 'thr4': 20.212, 'thr5': 20.113, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.6, 'cel2': 2.4, 'cel3': 3.1, 'cel4': 3.1, 'cel5': 3.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 6375}
{'lat': 'n/a', 'lon': 'n/a', 'time': 6449, 'x': 184.0, 'y': -0.188, 'z': 173.063, 'watertmp': 23.9, 'depth': 0.0, 'thr0': 20.212, 'thr1': -273.15, 'thr2': 19.916, 'thr3': 19.817, 'thr4': 20.212, 'thr5': 20.212, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 3.1, 'cel4': 3.1, 'cel5': 3.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 6375}
{'lat': 'n/a', 'lon': 'n/a', 'time': 6449, 'x': 184.0, 'y': -0.188, 'z': 173.063, 'watertmp': 23.9, 'depth': 0.0, 'thr0': 20.212, 'thr1': -273.15, 'thr2': 19.916, 'thr3': 19.817, 'thr4': 20.212, 'thr5': 20.212, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 6375}
{'lat': 'n/a', 'lon': 'n/a', 'time': 6530, 'x': 184.0, 'y': -0.188, 'z': 173.063, 'watertmp': 24.0, 'depth': 0.0, 'thr0': 20.31, 'thr1': -273.15, 'thr2': 20.014, 'thr3': 20.014, 'thr4': 20.31, 'thr5': 20.212, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 6458}
{'lat': 'n/a', 'lon': 'n/a', 'time': 6530, 'x': 184.0, 'y': -0.188, 'z': 173.063, 'watertmp': 24.0, 'depth': 0.0, 'thr0': 20.31, 'thr1': -273.15, 'thr2': 20.014, 'thr3': 20.014, 'thr4': 20.31, 'thr5': 20.607, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.8, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 6458}
{'lat': 'n/a', 'lon': 'n/a', 'time': 6530, 'x': 184.0, 'y': -0.188, 'z': 173.063, 'watertmp': 24.0, 'depth': 0.0, 'thr0': 20.31, 'thr1': -273.15, 'thr2': 20.014, 'thr3': 20.014, 'thr4': 20.31, 'thr5': 20.607, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.8, 'cel3': 2.5, 'cel4': 2.7, 'cel5': 2.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 6458}
{'lat': 'n/a', 'lon': 'n/a', 'time': 6611, 'x': 184.0, 'y': -0.188, 'z': 173.063, 'watertmp': 24.0, 'depth': 0.0, 'thr0': 20.607, 'thr1': -273.15, 'thr2': 20.212, 'thr3': 20.212, 'thr4': 20.409, 'thr5': 20.607, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.8, 'cel3': 2.5, 'cel4': 2.7, 'cel5': 2.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 6540}
