{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 'n/a', 'lon': 'n/a', 'time': 735}
{'lat': 'n/a', 'lon': 'n/a', 'time': 735, 'x': 0.0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 735, 'x': 0.0, 'y': 0.0, 'z': 0.0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 735, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 23.9, 'depth': 0.0, 'thr0': 20.31}
{'lat': 'n/a', 'lon': 'n/a', 'time': 735, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 23.9, 'depth': 0.0, 'thr0': 20.31, 'thr1': -273.15, 'thr2': 19.718}
{'lat': 'n/a', 'lon': 'n/a', 'time': 735, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 23.9, 'depth': 0.0, 'thr0': 20.31, 'thr1': -273.15, 'thr2': 19.718, 'thr3': 19.521}
{'lat': 'n/a', 'lon': 'n/a', 'time': 735, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 23.9, 'depth': 0.0, 'thr0': 20.31, 'thr1': -273.15, 'thr2': 19.718, 'thr3': 19.521, 'thr4': 20.212}
{'lat': 'n/a', 'lon': 'n/a', 'time': 735, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 23.9, 'depth': 0.0, 'thr0': 20.31, 'thr1': -273.15, 'thr2': 19.718, 'thr3': 19.521, 'thr4': 20.212, 'thr5': 20.508, 'cur0': 0.0, 'cur1': 0.0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 735, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 23.9, 'depth': 0.0, 'thr0': 20.31, 'thr1': -273.15, 'thr2': 19.718, 'thr3': 19.521, 'thr4': 20.212, 'thr5': 20.508, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.1, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.9}
{'lat': 'n/a', 'lon': 'n/a', 'time': 735, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 23.9, 'depth': 0.0, 'thr0': 20.31, 'thr1': -273.15, 'thr2': 19.718, 'thr3': 19.521, 'thr4': 20.212, 'thr5': 20.508, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.1, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 735, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 23.9, 'depth': 0.0, 'thr0': 20.31, 'thr1': -273.15, 'thr2': 19.718, 'thr3': 19.521, 'thr4': 20.212, 'thr5': 20.508, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.1, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 735, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 23.9, 'depth': 0.0, 'thr0': 20.31, 'thr1': -273.15, 'thr2': 19.718, 'thr3': 19.521, 'thr4': 20.212, 'thr5': 20.508, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.1, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 744}
{'lat': 'n/a', 'lon': 'n/a', 'time': 818, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 23.9, 'depth': 0.0, 'thr0': 20.31, 'thr1': -273.15, 'thr2': 19.718, 'thr3': 19.521, 'thr4': 20.212, 'thr5': 20.508, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.1, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 744}
{'lat': 'n/a', 'lon': 'n/a', 'time': 818, 'x': 183.688, 'y': -0.188, 'z': 173.0, 'watertmp': 23.9, 'depth': 0.0, 'thr0': 20.31, 'thr1': -273.15, 'thr2': 19.718, 'thr3': 19.521, 'thr4': 20.212, 'thr5': 20.508, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.1, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 744}
{'lat': 'n/a', 'lon': 'n/a', 'time': 818, 'x': 183.688, 'y': -0.188, 'z': 173.0, 'watertmp': 23.9, 'depth': 0.0, 'thr0': 20.113, 'thr1': -273.15, 'thr2': 19.62, 'thr3': 19.718, 'thr4': 20.212, 'thr5': 20.508, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.1, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 744}
{'lat': 'n/a', 'lon': 'n/a', 'time': 818, 'x': 183.688, 'y': -0.188, 'z': 173.0, 'watertmp': 23.9, 'depth': 0.0, 'thr0': 20.113, 'thr1': -273.15, 'thr2': 19.62, 'thr3': 19.718, 'thr4': 20.113, 'thr5': 20.113, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.1, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 744}
{'lat': 'n/a', 'lon': 'n/a', 'time': 818, 'x': 183.688, 'y': -0.188, 'z': 173.0, 'watertmp': 23.9, 'depth': 0.0, 'thr0': 20.113, 'thr1': -273.15, 'thr2': 19.62, 'thr3': 19.718, 'thr4': 20.113, 'thr5': 20.113, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.9, 'cel2': 1.8, 'cel3': 2.4, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 744}
{'lat': 'n/a', 'lon': 'n/a', 'time': 818, 'x': 183.688, 'y': -0.188, 'z': 173.0, 'watertmp': 23.9, 'depth': 0.0, 'thr0': 20.113, 'thr1': -273.15, 'thr2': 19.62, 'thr3': 19.718, 'thr4': 20.113, 'thr5': 20.113, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.9, 'cel2': 1.8, 'cel3': 2.4, 'cel4': 2.6, 'cel5': 2.7, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 744}
{'lat': 'n/a', 'lon': 'n/a', 'time': 899, 'x': 183.688, 'y': -0.188, 'z': 173.0, 'watertmp': 24.0, 'depth': 0.0, 'thr0': 20.31, 'thr1': -273.15, 'thr2': 19.916, 'thr3': 20.014, 'thr4': 20.409, 'thr5': 20.113, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.8, 'cel2': 1.6, 'cel3': 2.2, 'cel4': 2.4, 'cel5': 2.6, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 908}
{'lat': 'n/a', 'lon': 'n/a', 'time': 980, 'x': 183.688, 'y': -0.188, 'z': 173.0, 'watertmp': 24.0, 'depth': 0.0, 'thr0': 20.607, 'thr1': -273.15, 'thr2': 19.916, 'thr3': 20.014, 'thr4': 20.409, 'thr5': 20.113, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.8, 'cel2': 1.6, 'cel3': 2.2, 'cel4': 2.4, 'cel5': 2.6, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 908}
{'lat': 'n/a', 'lon': 'n/a', 'time': 980, 'x': 183.688, 'y': -0.188, 'z': 173.0, 'watertmp': 24.0, 'depth': 0.0, 'thr0': 20.607, 'thr1': -273.15, 'thr2': 20.113, 'thr3': 20.014, 'thr4': 20.31, 'thr5': 20.409, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.4, 'cel3': 2.0, 'cel4': 2.3, 'cel5': 2.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 990}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1061, 'x': 183.688, 'y': -0.188, 'z': 173.0, 'watertmp': 24.0, 'depth': 0.0, 'thr0': 20.607, 'thr1': -273.15, 'thr2': 20.113, 'thr3': 20.014, 'thr4': 20.31, 'thr5': 20.409, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.4, 'cel3': 2.0, 'cel4': 2.3, 'cel5': 2.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 990}
