{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 'n/a', 'lon': 'n/a', 'time': 817, 'x': 188.25, 'y': -0.5}
{'lat': 'n/a', 'lon': 'n/a', 'time': 817, 'x': 188.25, 'y': -0.5, 'z': 173.063, 'watertmp': 22.1, 'depth': -0.0, 'thr0': 17.358}
{'lat': 'n/a', 'lon': 'n/a', 'time': 817, 'x': 188.25, 'y': -0.5, 'z': 173.063, 'watertmp': 22.1, 'depth': -0.0, 'thr0': 17.358, 'thr1': -273.15, 'thr2': 17.554, 'thr3': 17.554, 'thr4': 17.358, 'thr5': 17.358}
{'lat': 'n/a', 'lon': 'n/a', 'time': 817, 'x': 188.25, 'y': -0.5, 'z': 173.063, 'watertmp': 22.1, 'depth': -0.0, 'thr0': 17.358, 'thr1': -273.15, 'thr2': 17.554, 'thr3': 17.554, 'thr4': 17.358, 'thr5': 17.358, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 817, 'x': 188.25, 'y': -0.5, 'z': 173.063, 'watertmp': 22.1, 'depth': -0.0, 'thr0': 17.358, 'thr1': -273.15, 'thr2': 17.554, 'thr3': 17.554, 'thr4': 17.358, 'thr5': 17.358, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.9, 'cel2': 1.7}
{'lat': 'n/a', 'lon': 'n/a', 'time': 817, 'x': 188.25, 'y': -0.5, 'z': 173.063, 'watertmp': 22.1, 'depth': -0.0, 'thr0': 17.358, 'thr1': -273.15, 'thr2': 17.554, 'thr3': 17.554, 'thr4': 17.358, 'thr5': 17.358, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.9, 'cel2': 1.7, 'cel3': 2.4, 'cel4': 2.6, 'cel5': 2.7, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 817, 'x': 188.25, 'y': -0.5, 'z': 173.063, 'watertmp': 22.1, 'depth': -0.0, 'thr0': 17.358, 'thr1': -273.15, 'thr2': 17.554, 'thr3': 17.554, 'thr4': 17.358, 'thr5': 17.358, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.9, 'cel2': 1.7, 'cel3': 2.4, 'cel4': 2.6, 'cel5': 2.7, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 827}
{'lat': 'n/a', 'lon': 'n/a', 'time': 979, 'x': 188.25, 'y': -0.5, 'z': 173.063, 'watertmp': 22.2, 'depth': -0.0, 'thr0': 17.554, 'thr1': -273.15, 'thr2': 17.947, 'thr3': 17.652, 'thr4': 17.554, 'thr5': 17.456, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.6, 'cel3': 2.2, 'cel4': 2.4, 'cel5': 2.6, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 908}
{'lat': 'n/a', 'lon': 'n/a', 'time': 979, 'x': 188.25, 'y': -0.5, 'z': 173.063, 'watertmp': 22.2, 'depth': -0.0, 'thr0': 17.554, 'thr1': -273.15, 'thr2': 17.652, 'thr3': 17.849, 'thr4': 17.652, 'thr5': 17.554, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.6, 'cel3': 2.2, 'cel4': 2.4, 'cel5': 2.6, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 908}
{'lat': 'n/a', 'lon': 'n/a', 'time': 979, 'x': 188.25, 'y': -0.5, 'z': 173.063, 'watertmp': 22.2, 'depth': -0.0, 'thr0': 17.554, 'thr1': -273.15, 'thr2': 17.652, 'thr3': 17.849, 'thr4': 17.652, 'thr5': 17.554, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.5, 'cel3': 2.0, 'cel4': 2.4, 'cel5': 2.6, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 908}
{'lat': 'n/a', 'lon': 'n/a', 'time': 979, 'x': 188.25, 'y': -0.5, 'z': 173.063, 'watertmp': 22.2, 'depth': -0.0, 'thr0': 17.554, 'thr1': -273.15, 'thr2': 17.652, 'thr3': 17.849, 'thr4': 17.652, 'thr5': 17.554, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.5, 'cel3': 2.0, 'cel4': 2.3, 'cel5': 2.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 908}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1060, 'x': 188.25, 'y': -0.5, 'z': 173.063, 'watertmp': 22.2, 'depth': -0.0, 'thr0': 17.161, 'thr1': -273.15, 'thr2': 17.652, 'thr3': 17.849, 'thr4': 17.652, 'thr5': 17.554, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.5, 'cel3': 2.0, 'cel4': 2.3, 'cel5': 2.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 989}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1060, 'x': 188.25, 'y': -0.5, 'z': 173.063, 'watertmp': 22.2, 'depth': -0.0, 'thr0': 17.161, 'thr1': -273.15, 'thr2': 17.26, 'thr3': 17.358, 'thr4': 17.26, 'thr5': 17.554, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.5, 'cel3': 2.0, 'cel4': 2.3, 'cel5': 2.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 989}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1060, 'x': 188.25, 'y': -0.5, 'z': 173.063, 'watertmp': 22.2, 'depth': -0.0, 'thr0': 17.161, 'thr1': -273.15, 'thr2': 17.26, 'thr3': 17.358, 'thr4': 17.26, 'thr5': 17.063, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.6, 'cel2': 1.4, 'cel3': 2.0, 'cel4': 2.3, 'cel5': 2.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 989}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1060, 'x': 188.25, 'y': -0.5, 'z': 173.063, 'watertmp': 22.2, 'depth': -0.0, 'thr0': 17.161, 'thr1': -273.15, 'thr2': 17.26, 'thr3': 17.358, 'thr4': 17.26, 'thr5': 17.063, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.6, 'cel2': 1.4, 'cel3': 2.0, 'cel4': 2.2, 'cel5': 2.4, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 989}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1060, 'x': 188.25, 'y': -0.5, 'z': 173.063, 'watertmp': 22.2, 'depth': -0.0, 'thr0': 17.161, 'thr1': -273.15, 'thr2': 17.26, 'thr3': 17.358, 'thr4': 17.26, 'thr5': 17.063, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.6, 'cel2': 1.4, 'cel3': 2.0, 'cel4': 2.2, 'cel5': 2.4, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1071}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1142, 'x': 188.25, 'y': -0.5, 'z': 173.063, 'watertmp': 22.2, 'depth': -0.0, 'thr0': 17.161, 'thr1': -273.15, 'thr2': 17.26, 'thr3': 17.358, 'thr4': 17.26, 'thr5': 17.063, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.6, 'cel2': 1.4, 'cel3': 2.0, 'cel4': 2.2, 'cel5': 2.4, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1071}
