{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 'n/a', 'lon': 'n/a', 'time': 736}
{'lat': 'n/a', 'lon': 'n/a', 'time': 736, 'x': 0.0, 'y': 0.0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 736, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 22.3, 'depth': 0.0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 736, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 22.3, 'depth': 0.0, 'thr0': 16.769, 'thr1': -273.15, 'thr2': 16.671}
{'lat': 'n/a', 'lon': 'n/a', 'time': 736, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 22.3, 'depth': 0.0, 'thr0': 16.769, 'thr1': -273.15, 'thr2': 16.671, 'thr3': 16.769, 'thr4': 16.769, 'thr5': 16.769, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 736, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 22.3, 'depth': 0.0, 'thr0': 16.769, 'thr1': -273.15, 'thr2': 16.671, 'thr3': 16.769, 'thr4': 16.769, 'thr5': 16.769, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.1}
{'lat': 'n/a', 'lon': 'n/a', 'time': 736, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 22.3, 'depth': 0.0, 'thr0': 16.769, 'thr1': -273.15, 'thr2': 16.671, 'thr3': 16.769, 'thr4': 16.769, 'thr5': 16.769, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.1, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 3.0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 736, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 22.3, 'depth': 0.0, 'thr0': 16.769, 'thr1': -273.15, 'thr2': 16.671, 'thr3': 16.769, 'thr4': 16.769, 'thr5': 16.769, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.1, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 736, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 22.3, 'depth': 0.0, 'thr0': 16.769, 'thr1': -273.15, 'thr2': 16.671, 'thr3': 16.769, 'thr4': 16.769, 'thr5': 16.769, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.1, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 736, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 22.3, 'depth': 0.0, 'thr0': 16.769, 'thr1': -273.15, 'thr2': 16.671, 'thr3': 16.769, 'thr4': 16.769, 'thr5': 16.769, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.1, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 745}
{'lat': 'n/a', 'lon': 'n/a', 'time': 818, 'x': 186.5, 'y': -0.375, 'z': 0.0, 'watertmp': 22.3, 'depth': 0.0, 'thr0': 16.769, 'thr1': -273.15, 'thr2': 16.671, 'thr3': 16.769, 'thr4': 16.769, 'thr5': 16.769, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.1, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 745}
{'lat': 'n/a', 'lon': 'n/a', 'time': 818, 'x': 186.5, 'y': -0.375, 'z': 173.063, 'watertmp': 22.4, 'depth': 0.0, 'thr0': 16.769, 'thr1': -273.15, 'thr2': 16.671, 'thr3': 16.769, 'thr4': 16.769, 'thr5': 16.769, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.1, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 745}
{'lat': 'n/a', 'lon': 'n/a', 'time': 818, 'x': 186.5, 'y': -0.375, 'z': 173.063, 'watertmp': 22.4, 'depth': 0.0, 'thr0': 16.965, 'thr1': -273.15, 'thr2': 17.063, 'thr3': 17.161, 'thr4': 16.965, 'thr5': 16.769, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.1, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 745}
{'lat': 'n/a', 'lon': 'n/a', 'time': 818, 'x': 186.5, 'y': -0.375, 'z': 173.063, 'watertmp': 22.4, 'depth': 0.0, 'thr0': 16.965, 'thr1': -273.15, 'thr2': 17.063, 'thr3': 17.161, 'thr4': 16.965, 'thr5': 16.965, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.1, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 745}
{'lat': 'n/a', 'lon': 'n/a', 'time': 818, 'x': 186.5, 'y': -0.375, 'z': 173.063, 'watertmp': 22.4, 'depth': 0.0, 'thr0': 16.965, 'thr1': -273.15, 'thr2': 17.063, 'thr3': 17.161, 'thr4': 16.965, 'thr5': 16.965, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.9, 'cel2': 1.8, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 745}
{'lat': 'n/a', 'lon': 'n/a', 'time': 818, 'x': 186.5, 'y': -0.375, 'z': 173.063, 'watertmp': 22.4, 'depth': 0.0, 'thr0': 16.965, 'thr1': -273.15, 'thr2': 17.063, 'thr3': 17.161, 'thr4': 16.965, 'thr5': 16.965, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.9, 'cel2': 1.8, 'cel3': 2.4, 'cel4': 2.6, 'cel5': 2.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 745}
{'lat': 'n/a', 'lon': 'n/a', 'time': 818, 'x': 186.5, 'y': -0.375, 'z': 173.063, 'watertmp': 22.4, 'depth': 0.0, 'thr0': 16.965, 'thr1': -273.15, 'thr2': 17.063, 'thr3': 17.161, 'thr4': 16.965, 'thr5': 16.965, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.9, 'cel2': 1.8, 'cel3': 2.4, 'cel4': 2.6, 'cel5': 2.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 827}
{'lat': 'n/a', 'lon': 'n/a', 'time': 899, 'x': 186.5, 'y': -0.375, 'z': 173.063, 'watertmp': 22.4, 'depth': 0.0, 'thr0': 16.965, 'thr1': -273.15, 'thr2': 17.161, 'thr3': 17.26, 'thr4': 17.063, 'thr5': 16.867, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.9, 'cel2': 1.8, 'cel3': 2.4, 'cel4': 2.6, 'cel5': 2.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 827}
{'lat': 'n/a', 'lon': 'n/a', 'time': 899, 'x': 186.5, 'y': -0.375, 'z': 173.063, 'watertmp': 22.4, 'depth': 0.0, 'thr0': 16.965, 'thr1': -273.15, 'thr2': 17.161, 'thr3': 17.26, 'thr4': 17.063, 'thr5': 16.867, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.8, 'cel2': 1.6, 'cel3': 2.2, 'cel4': 2.4, 'cel5': 2.6, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 827}
{'lat': 'n/a', 'lon': 'n/a', 'time': 899, 'x': 186.5, 'y': -0.375, 'z': 173.063, 'watertmp': 22.4, 'depth': 0.0, 'thr0': 16.965, 'thr1': -273.15, 'thr2': 17.161, 'thr3': 17.26, 'thr4': 17.063, 'thr5': 16.867, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.8, 'cel2': 1.6, 'cel3': 2.2, 'cel4': 2.4, 'cel5': 2.6, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 909}
