{}
{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 'n/a', 'lon': 'n/a', 'time': 817, 'x': 175.0, 'y': 0.25, 'z': 173.188, 'watertmp': 25.8, 'depth': 0.0, 'thr0': 23.391, 'thr1': -273.15, 'thr2': 20.607}
{'lat': 'n/a', 'lon': 'n/a', 'time': 817, 'x': 175.0, 'y': 0.25, 'z': 173.188, 'watertmp': 25.8, 'depth': 0.0, 'thr0': 23.391, 'thr1': -273.15, 'thr2': 20.607, 'thr3': 20.805, 'thr4': 23.291}
{'lat': 'n/a', 'lon': 'n/a', 'time': 817, 'x': 175.0, 'y': 0.25, 'z': 173.188, 'watertmp': 25.8, 'depth': 0.0, 'thr0': 23.391, 'thr1': -273.15, 'thr2': 20.607, 'thr3': 20.805, 'thr4': 23.291, 'thr5': 23.191, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.7, 'cel3': 2.3, 'cel4': 2.6, 'cel5': 2.7, 'rot0': 0, 'rot1': 0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 817, 'x': 175.0, 'y': 0.25, 'z': 173.188, 'watertmp': 25.8, 'depth': 0.0, 'thr0': 23.391, 'thr1': -273.15, 'thr2': 20.607, 'thr3': 20.805, 'thr4': 23.291, 'thr5': 23.191, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.7, 'cel3': 2.3, 'cel4': 2.6, 'cel5': 2.7, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 826}
{'lat': 'n/a', 'lon': 'n/a', 'time': 899, 'x': 175.0, 'y': 0.25, 'z': 173.188, 'watertmp': 25.8, 'depth': 0.0, 'thr0': 23.391, 'thr1': -273.15, 'thr2': 20.607, 'thr3': 20.805, 'thr4': 23.291, 'thr5': 23.191, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.7, 'cel3': 2.3, 'cel4': 2.6, 'cel5': 2.7, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 826}
{'lat': 'n/a', 'lon': 'n/a', 'time': 899, 'x': 175.0, 'y': 0.25, 'z': 173.188, 'watertmp': 25.8, 'depth': 0.0, 'thr0': 23.391, 'thr1': -273.15, 'thr2': 20.508, 'thr3': 20.706, 'thr4': 23.291, 'thr5': 23.191, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.7, 'cel3': 2.3, 'cel4': 2.6, 'cel5': 2.7, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 826}
{'lat': 'n/a', 'lon': 'n/a', 'time': 899, 'x': 175.0, 'y': 0.25, 'z': 173.188, 'watertmp': 25.8, 'depth': 0.0, 'thr0': 23.391, 'thr1': -273.15, 'thr2': 20.508, 'thr3': 20.706, 'thr4': 23.291, 'thr5': 23.191, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.8, 'cel2': 1.6, 'cel3': 2.2, 'cel4': 2.6, 'cel5': 2.7, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 826}
{'lat': 'n/a', 'lon': 'n/a', 'time': 979, 'x': 175.0, 'y': 0.25, 'z': 173.188, 'watertmp': 25.8, 'depth': 0.0, 'thr0': 23.691, 'thr1': -273.15, 'thr2': 21.003, 'thr3': 21.102, 'thr4': 23.691, 'thr5': 23.191, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.8, 'cel2': 1.6, 'cel3': 2.2, 'cel4': 2.4, 'cel5': 2.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 908}
{'lat': 'n/a', 'lon': 'n/a', 'time': 979, 'x': 175.0, 'y': 0.25, 'z': 173.188, 'watertmp': 25.8, 'depth': 0.0, 'thr0': 23.691, 'thr1': -273.15, 'thr2': 21.003, 'thr3': 21.102, 'thr4': 23.691, 'thr5': 23.591, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.8, 'cel2': 1.5, 'cel3': 2.1, 'cel4': 2.4, 'cel5': 2.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 908}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1060, 'x': 175.0, 'y': 0.25, 'z': 173.188, 'watertmp': 25.9, 'depth': 0.0, 'thr0': 23.391, 'thr1': -273.15, 'thr2': 20.607, 'thr3': 20.706, 'thr4': 23.691, 'thr5': 23.591, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.8, 'cel2': 1.5, 'cel3': 2.1, 'cel4': 2.3, 'cel5': 2.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 989}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1060, 'x': 175.0, 'y': 0.25, 'z': 173.188, 'watertmp': 25.9, 'depth': 0.0, 'thr0': 23.391, 'thr1': -273.15, 'thr2': 20.607, 'thr3': 20.706, 'thr4': 23.491, 'thr5': 23.491, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.4, 'cel3': 2.0, 'cel4': 2.3, 'cel5': 2.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 989}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1142, 'x': 175.0, 'y': 0.25, 'z': 173.188, 'watertmp': 25.9, 'depth': 0.0, 'thr0': 23.892, 'thr1': -86.987, 'thr2': 20.607, 'thr3': 20.706, 'thr4': 23.491, 'thr5': 23.491, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.4, 'cel3': 2.0, 'cel4': 2.3, 'cel5': 2.4, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1070}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1142, 'x': 175.0, 'y': 0.25, 'z': 173.188, 'watertmp': 25.9, 'depth': 0.0, 'thr0': 23.892, 'thr1': -86.987, 'thr2': 20.805, 'thr3': 20.805, 'thr4': 23.391, 'thr5': 23.391, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.4, 'cel3': 2.0, 'cel4': 2.3, 'cel5': 2.4, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1070}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1142, 'x': 175.0, 'y': 0.25, 'z': 173.188, 'watertmp': 25.9, 'depth': 0.0, 'thr0': 23.892, 'thr1': -86.987, 'thr2': 20.805, 'thr3': 20.805, 'thr4': 23.391, 'thr5': 23.391, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.4, 'cel3': 1.9, 'cel4': 2.2, 'cel5': 2.3, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1070}
