{'time': 986, 'x': 184.875, 'y': -0.25, 'z': 171.625, 'watertmp': 0.0, 'depth': -10.0, 'thr0': 25.0, 'thr1': 0.0, 'thr2': 25.0, 'thr3': 25.0, 'thr4': 25.0, 'thr5': 25.0, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.8, 'cel2': 5.6, 'cel3': 4.4, 'cel4': 5.2, 'cel5': 4.6, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 995}
{'time': 1345, 'x': 184.625, 'y': -0.625, 'z': 171.188, 'watertmp': 0.0, 'depth': -10.0, 'thr0': 25.0, 'thr1': 0.0, 'thr2': 25.0, 'thr3': 25.0, 'thr4': 25.0, 'thr5': 25.0, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.8, 'cel2': 5.6, 'cel3': 4.4, 'cel4': 5.2, 'cel5': 4.6, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 2, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1355}
{'time': 1707, 'x': 184.625, 'y': -0.5, 'z': 171.0, 'watertmp': 0.0, 'depth': -10.0, 'thr0': 25.0, 'thr1': 0.0, 'thr2': 25.0, 'thr3': 25.0, 'thr4': 25.0, 'thr5': 25.0, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.8, 'cel2': 5.6, 'cel3': 4.4, 'cel4': 5.2, 'cel5': 4.6, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 2, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1716}
{'time': 2068, 'x': 184.75, 'y': -0.688, 'z': 171.438, 'watertmp': 0.0, 'depth': -10.0, 'thr0': 25.0, 'thr1': 0.0, 'thr2': 25.0, 'thr3': 25.0, 'thr4': 25.0, 'thr5': 25.0, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.8, 'cel2': 5.6, 'cel3': 4.5, 'cel4': 5.2, 'cel5': 4.6, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 2, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 2077}
{'time': 2430, 'x': 184.688, 'y': -0.188, 'z': 171.5, 'watertmp': 0.0, 'depth': -10.0, 'thr0': 25.0, 'thr1': 0.0, 'thr2': 25.0, 'thr3': 25.0, 'thr4': 25.0, 'thr5': 25.0, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.8, 'cel2': 5.6, 'cel3': 4.5, 'cel4': 5.2, 'cel5': 4.6, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 2, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 2440}
{'time': 2793, 'x': 185.0, 'y': -0.25, 'z': 171.375, 'watertmp': 0.0, 'depth': -10.0, 'thr0': 25.0, 'thr1': 0.0, 'thr2': 25.0, 'thr3': 25.0, 'thr4': 25.0, 'thr5': 25.0, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.8, 'cel2': 5.6, 'cel3': 4.5, 'cel4': 5.2, 'cel5': 4.6, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 2, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 2803}
{'time': 3154, 'x': 184.75, 'y': -0.25, 'z': 170.938, 'watertmp': 0.0, 'depth': -10.0, 'thr0': 25.0, 'thr1': 0.0, 'thr2': 25.0, 'thr3': 25.0, 'thr4': 25.0, 'thr5': 25.0, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.8, 'cel2': 5.6, 'cel3': 4.5, 'cel4': 5.2, 'cel5': 4.6, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 2, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 3165}
{'time': 3516, 'x': 184.75, 'y': -0.25, 'z': 171.25, 'watertmp': 0.0, 'depth': -10.0, 'thr0': 25.0, 'thr1': 0.0, 'thr2': 25.0, 'thr3': 25.0, 'thr4': 25.0, 'thr5': 25.0, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.8, 'cel2': 5.6, 'cel3': 4.5, 'cel4': 5.2, 'cel5': 4.6, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 2, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 3525}
{'time': 3877, 'x': 184.75, 'y': -0.375, 'z': 171.188, 'watertmp': 0.0, 'depth': -10.0, 'thr0': 25.0, 'thr1': 0.0, 'thr2': 25.0, 'thr3': 25.0, 'thr4': 25.0, 'thr5': 25.0, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.8, 'cel2': 5.6, 'cel3': 4.5, 'cel4': 5.2, 'cel5': 4.6, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 2, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 3888}
{'time': 4241, 'x': 184.938, 'y': -0.438, 'z': 171.25, 'watertmp': 0.0, 'depth': -10.0, 'thr0': 25.0, 'thr1': 0.0, 'thr2': 25.0, 'thr3': 25.0, 'thr4': 25.0, 'thr5': 25.0, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.8, 'cel2': 5.6, 'cel3': 4.5, 'cel4': 5.2, 'cel5': 4.6, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 2, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 4250}
{'time': 4603, 'x': 184.813, 'y': -0.438, 'z': 171.25, 'watertmp': 0.0, 'depth': -10.0, 'thr0': 25.0, 'thr1': 0.0, 'thr2': 25.0, 'thr3': 25.0, 'thr4': 25.0, 'thr5': 25.0, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.8, 'cel2': 5.6, 'cel3': 4.5, 'cel4': 5.2, 'cel5': 4.6, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 2, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 4613}
