{'time': 1072, 'x': 174.0, 'y': -0.188, 'z': -175.5, 'watertmp': 25.9, 'depth': 0.1, 'thr0': 22.392, 'thr1': -273.15, 'thr2': 22.392, 'thr3': 22.094, 'thr4': 21.895, 'thr5': 22.592, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.4, 'cel3': 1.9, 'cel4': 3.0, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1082}
{'time': 1438, 'x': 174.0, 'y': -0.188, 'z': -175.5, 'watertmp': 25.9, 'depth': 0.1, 'thr0': 22.293, 'thr1': -273.15, 'thr2': 22.293, 'thr3': 21.994, 'thr4': 21.796, 'thr5': 22.592, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.4, 'cel3': 1.9, 'cel4': 3.0, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1447}
{'time': 1803, 'x': 174.0, 'y': -0.188, 'z': -175.5, 'watertmp': 25.9, 'depth': 0.1, 'thr0': 22.392, 'thr1': -273.15, 'thr2': 22.392, 'thr3': 22.094, 'thr4': 21.895, 'thr5': 22.492, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.4, 'cel3': 1.9, 'cel4': 3.0, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1812}
{'time': 2168, 'x': 174.0, 'y': 0.0, 'z': -175.625, 'watertmp': 25.9, 'depth': 0.1, 'thr0': 22.293, 'thr1': -273.15, 'thr2': 22.293, 'thr3': 22.094, 'thr4': 21.895, 'thr5': 22.592, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.4, 'cel3': 1.9, 'cel4': 3.0, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 2178}
{'time': 2531, 'x': 174.0, 'y': 0.25, 'z': -175.625, 'watertmp': 25.9, 'depth': 0.1, 'thr0': 22.193, 'thr1': -273.15, 'thr2': 22.193, 'thr3': 21.895, 'thr4': 21.796, 'thr5': 22.492, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.4, 'cel3': 1.9, 'cel4': 3.0, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 2541}
{'time': 2896, 'x': 174.0, 'y': 0.313, 'z': -175.563, 'watertmp': 25.9, 'depth': 0.1, 'thr0': 22.293, 'thr1': -273.15, 'thr2': 22.293, 'thr3': 21.994, 'thr4': 21.796, 'thr5': 22.592, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.4, 'cel3': 1.9, 'cel4': 3.0, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 2907}
{'time': 3259, 'x': 174.0, 'y': 0.125, 'z': -175.688, 'watertmp': 25.9, 'depth': 0.1, 'thr0': 22.392, 'thr1': -273.15, 'thr2': 22.392, 'thr3': 22.094, 'thr4': 21.895, 'thr5': 22.592, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.4, 'cel3': 1.9, 'cel4': 3.0, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 3269}
{'time': 3623, 'x': 174.063, 'y': -0.625, 'z': -176.25, 'watertmp': 25.9, 'depth': 0.1, 'thr0': 22.392, 'thr1': -273.15, 'thr2': 22.392, 'thr3': 21.994, 'thr4': 21.796, 'thr5': 22.094, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.4, 'cel3': 1.9, 'cel4': 3.0, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 3633}
{'time': 3988, 'x': 174.438, 'y': -1.625, 'z': -178.375, 'watertmp': 25.9, 'depth': 0.1, 'thr0': 22.293, 'thr1': -273.15, 'thr2': 22.293, 'thr3': 21.994, 'thr4': 21.796, 'thr5': 22.492, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.4, 'cel3': 1.9, 'cel4': 3.0, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 3998}
{'time': 4355, 'x': 175.0, 'y': -0.938, 'z': 177.625, 'watertmp': 25.9, 'depth': 0.1, 'thr0': 22.193, 'thr1': -273.15, 'thr2': 22.293, 'thr3': 21.895, 'thr4': 21.796, 'thr5': 22.592, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.4, 'cel3': 1.9, 'cel4': 3.0, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 4364}
{'time': 4717, 'x': 175.375, 'y': -0.25, 'z': 173.75, 'watertmp': 25.9, 'depth': 0.1, 'thr0': 22.293, 'thr1': -273.15, 'thr2': 22.293, 'thr3': 21.994, 'thr4': 21.895, 'thr5': 22.592, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.4, 'cel3': 1.9, 'cel4': 3.0, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 4727}
