{'time': 1082, 'x': 218.75, 'y': -2.25, 'z': 171.063, 'watertmp': 26.9, 'depth': 0.3, 'thr0': 28.378, 'thr1': -273.15, 'thr2': 28.378, 'thr3': 29.317, 'thr4': 29.527, 'thr5': 31.114, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.2, 'cel1': 7.4, 'cel2': 5.8, 'cel3': 5.1, 'cel4': 4.4, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'time': 1447, 'x': 215.313, 'y': -1.063, 'z': 169.125, 'watertmp': 26.9, 'depth': 0.3, 'thr0': 27.757, 'thr1': -273.15, 'thr2': 27.861, 'thr3': 28.69, 'thr4': 29.108, 'thr5': 30.901, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.4, 'cel2': 5.8, 'cel3': 5.2, 'cel4': 4.4, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1457}
{'time': 1813, 'x': 215.375, 'y': -1.0, 'z': 172.375, 'watertmp': 26.9, 'depth': 0.2, 'thr0': 27.964, 'thr1': -273.15, 'thr2': 27.861, 'thr3': 28.69, 'thr4': 29.003, 'thr5': 30.794, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.2, 'cel1': 7.5, 'cel2': 5.9, 'cel3': 5.2, 'cel4': 4.4, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1823}
{'time': 2178, 'x': 214.813, 'y': 0.938, 'z': 171.938, 'watertmp': 26.9, 'depth': 0.2, 'thr0': 27.139, 'thr1': -273.15, 'thr2': 27.139, 'thr3': 27.964, 'thr4': 28.378, 'thr5': 29.947, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.2, 'cel1': 7.5, 'cel2': 5.9, 'cel3': 5.2, 'cel4': 4.4, 'cel5': 4.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 2188}
{'time': 2541, 'x': 214.0, 'y': 5.313, 'z': 171.063, 'watertmp': 26.9, 'depth': 0.2, 'thr0': 27.242, 'thr1': -273.15, 'thr2': 27.242, 'thr3': 28.067, 'thr4': 28.482, 'thr5': 30.264, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.2, 'cel1': 7.5, 'cel2': 5.9, 'cel3': 5.2, 'cel4': 4.5, 'cel5': 4.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 2551}
{'time': 2907, 'x': 215.438, 'y': 3.563, 'z': 170.813, 'watertmp': 26.9, 'depth': 0.3, 'thr0': 27.448, 'thr1': -273.15, 'thr2': 27.345, 'thr3': 28.275, 'thr4': 28.586, 'thr5': 30.37, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.2, 'cel1': 7.5, 'cel2': 5.9, 'cel3': 5.3, 'cel4': 4.5, 'cel5': 4.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 2916}
{'time': 3269, 'x': 217.438, 'y': -2.438, 'z': 171.563, 'watertmp': 26.9, 'depth': 0.3, 'thr0': 27.551, 'thr1': -273.15, 'thr2': 27.448, 'thr3': 28.275, 'thr4': 28.794, 'thr5': 30.476, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.5, 'cel2': 6.0, 'cel3': 5.3, 'cel4': 4.5, 'cel5': 4.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 3279}
{'time': 3635, 'x': 217.0, 'y': -6.563, 'z': 166.313, 'watertmp': 26.9, 'depth': 0.3, 'thr0': 27.654, 'thr1': -273.15, 'thr2': 27.448, 'thr3': 28.275, 'thr4': 28.899, 'thr5': 30.901, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.2, 'cel1': 7.5, 'cel2': 6.0, 'cel3': 5.3, 'cel4': 4.5, 'cel5': 4.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 3644}
{'time': 3999, 'x': 214.875, 'y': -2.938, 'z': 169.813, 'watertmp': 26.9, 'depth': 0.2, 'thr0': 27.964, 'thr1': -273.15, 'thr2': 27.964, 'thr3': 28.794, 'thr4': 29.317, 'thr5': 30.901, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.2, 'cel1': 7.5, 'cel2': 6.0, 'cel3': 5.3, 'cel4': 4.5, 'cel5': 4.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 4009}
{'time': 4366, 'x': 210.0, 'y': 2.188, 'z': 172.063, 'watertmp': 26.9, 'depth': 0.2, 'thr0': 27.861, 'thr1': -273.15, 'thr2': 27.861, 'thr3': 28.586, 'thr4': 29.108, 'thr5': 30.901, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.2, 'cel1': 7.5, 'cel2': 6.0, 'cel3': 5.3, 'cel4': 4.5, 'cel5': 4.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 4375}
{'time': 4728, 'x': 207.5, 'y': 4.188, 'z': 171.875, 'watertmp': 26.9, 'depth': 0.2, 'thr0': 27.551, 'thr1': -273.15, 'thr2': 27.861, 'thr3': 28.69, 'thr4': 29.108, 'thr5': 30.794, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.2, 'cel1': 7.5, 'cel2': 6.0, 'cel3': 5.3, 'cel4': 4.5, 'cel5': 4.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 4739}
