{'time': 735, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 24.8, 'depth': -0.0, 'thr0': 20.212, 'thr1': -273.15, 'thr2': 19.423, 'thr3': 19.62, 'thr4': 19.62, 'thr5': 19.916, 'cur0': 1.3, 'cur1': 0.1, 'cur2': 1.2, 'cel0': 0.0, 'cel1': 1.5, 'cel2': 2.1, 'cel3': 2.6, 'cel4': 2.7, 'cel5': 2.9, 'rot0': 32, 'rot1': 36, 'rot2': 363, 'rot3': 357, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 746}
{'time': 819, 'x': 182.75, 'y': -0.125, 'z': 172.938, 'watertmp': 24.9, 'depth': -0.0, 'thr0': 20.113, 'thr1': -273.15, 'thr2': 19.718, 'thr3': 19.817, 'thr4': 19.817, 'thr5': 20.014, 'cur0': 1.3, 'cur1': 0.1, 'cur2': 1.3, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 1.9, 'cel3': 2.4, 'cel4': 2.6, 'cel5': 2.8, 'rot0': 35, 'rot1': 39, 'rot2': 405, 'rot3': 403, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 830}
{'time': 902, 'x': 182.75, 'y': -0.125, 'z': 172.938, 'watertmp': 24.9, 'depth': -0.0, 'thr0': 20.31, 'thr1': -273.15, 'thr2': 20.014, 'thr3': 20.212, 'thr4': 20.113, 'thr5': 20.113, 'cur0': 1.3, 'cur1': 0.1, 'cur2': 1.2, 'cel0': 0.0, 'cel1': 1.1, 'cel2': 1.7, 'cel3': 2.2, 'cel4': 2.5, 'cel5': 2.6, 'rot0': 38, 'rot1': 44, 'rot2': 448, 'rot3': 435, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 913}
{'time': 987, 'x': 182.75, 'y': -0.125, 'z': 172.938, 'watertmp': 24.9, 'depth': -0.0, 'thr0': 20.212, 'thr1': -273.15, 'thr2': 19.817, 'thr3': 19.916, 'thr4': 19.817, 'thr5': 19.817, 'cur0': 1.3, 'cur1': 0.1, 'cur2': 1.2, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.7, 'cel3': 2.2, 'cel4': 2.4, 'cel5': 2.5, 'rot0': 42, 'rot1': 48, 'rot2': 482, 'rot3': 489, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 998}
{'time': 1071, 'x': 182.75, 'y': -0.125, 'z': 172.938, 'watertmp': 24.9, 'depth': -0.0, 'thr0': 20.212, 'thr1': -273.15, 'thr2': 20.014, 'thr3': 20.113, 'thr4': 20.113, 'thr5': 20.212, 'cur0': 1.3, 'cur1': 0.1, 'cur2': 1.3, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.6, 'cel3': 2.1, 'cel4': 2.3, 'cel5': 2.5, 'rot0': 45, 'rot1': 51, 'rot2': 532, 'rot3': 530, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1082}
{'time': 1156, 'x': 182.75, 'y': -0.125, 'z': 172.938, 'watertmp': 24.9, 'depth': -0.0, 'thr0': 20.212, 'thr1': -273.15, 'thr2': 19.916, 'thr3': 20.113, 'thr4': 20.212, 'thr5': 20.31, 'cur0': 1.3, 'cur1': 0.1, 'cur2': 1.3, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.6, 'cel3': 2.0, 'cel4': 2.3, 'cel5': 2.4, 'rot0': 47, 'rot1': 54, 'rot2': 560, 'rot3': 561, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1167}
{'time': 1240, 'x': 182.75, 'y': -0.125, 'z': 172.938, 'watertmp': 24.9, 'depth': -0.0, 'thr0': 20.212, 'thr1': -273.15, 'thr2': 19.62, 'thr3': 19.916, 'thr4': 19.718, 'thr5': 20.014, 'cur0': 1.3, 'cur1': 0.1, 'cur2': 1.3, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.5, 'cel3': 2.0, 'cel4': 2.2, 'cel5': 2.4, 'rot0': 50, 'rot1': 57, 'rot2': 615, 'rot3': 613, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1251}
{'time': 1325, 'x': 182.75, 'y': -0.125, 'z': 172.938, 'watertmp': 25.0, 'depth': -0.0, 'thr0': 20.212, 'thr1': -86.987, 'thr2': 19.521, 'thr3': 19.916, 'thr4': 19.817, 'thr5': 19.916, 'cur0': 1.3, 'cur1': 0.1, 'cur2': 1.2, 'cel0': 0.0, 'cel1': 0.9, 'cel2': 1.5, 'cel3': 2.0, 'cel4': 2.2, 'cel5': 2.4, 'rot0': 53, 'rot1': 62, 'rot2': 645, 'rot3': 652, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1336}
{'time': 1409, 'x': 182.75, 'y': -0.125, 'z': 172.938, 'watertmp': 25.0, 'depth': -0.0, 'thr0': 20.409, 'thr1': -273.15, 'thr2': 19.916, 'thr3': 20.113, 'thr4': 20.113, 'thr5': 20.31, 'cur0': 1.3, 'cur1': 0.1, 'cur2': 1.3, 'cel0': 0.0, 'cel1': 0.9, 'cel2': 1.5, 'cel3': 2.0, 'cel4': 2.2, 'cel5': 2.3, 'rot0': 56, 'rot1': 66, 'rot2': 690, 'rot3': 685, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1420}
{'time': 1494, 'x': 182.75, 'y': -0.125, 'z': 172.938, 'watertmp': 25.0, 'depth': -0.0, 'thr0': 20.212, 'thr1': -273.15, 'thr2': 19.62, 'thr3': 19.916, 'thr4': 19.817, 'thr5': 19.916, 'cur0': 1.3, 'cur1': 0.1, 'cur2': 1.2, 'cel0': 0.0, 'cel1': 0.9, 'cel2': 1.5, 'cel3': 1.9, 'cel4': 2.2, 'cel5': 2.3, 'rot0': 59, 'rot1': 69, 'rot2': 729, 'rot3': 737, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1505}
{'time': 1579, 'x': 182.75, 'y': -0.125, 'z': 172.938, 'watertmp': 25.0, 'depth': -0.0, 'thr0': 20.409, 'thr1': -273.15, 'thr2': 20.212, 'thr3': 20.31, 'thr4': 20.113, 'thr5': 20.212, 'cur0': 1.3, 'cur1': 0.1, 'cur2': 1.3, 'cel0': 0.0, 'cel1': 0.9, 'cel2': 1.5, 'cel3': 1.9, 'cel4': 2.2, 'cel5': 2.3, 'rot0': 63, 'rot1': 73, 'rot2': 769, 'rot3': 781, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1590}
