{'time': 820, 'x': 183.563, 'y': -0.188, 'z': 172.75, 'watertmp': 17.3, 'depth': -0.0, 'thr0': 13.23, 'thr1': -273.15, 'thr2': 12.638, 'thr3': 12.737, 'thr4': 12.638, 'thr5': 14.51, 'cur0': 1.1, 'cur1': 0.1, 'cur2': 1.2, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.5, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 30, 'rot1': 32, 'rot2': 395, 'rot3': 450, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 830}
{'time': 904, 'x': 183.563, 'y': -0.188, 'z': 172.75, 'watertmp': 17.3, 'depth': -0.0, 'thr0': 13.427, 'thr1': -273.15, 'thr2': 12.638, 'thr3': 12.737, 'thr4': 12.441, 'thr5': 13.427, 'cur0': 1.4, 'cur1': 0.1, 'cur2': 1.3, 'cel0': 0.0, 'cel1': 1.1, 'cel2': 1.8, 'cel3': 2.4, 'cel4': 2.7, 'cel5': 2.8, 'rot0': 32, 'rot1': 34, 'rot2': 437, 'rot3': 508, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 915}
{'time': 989, 'x': 183.563, 'y': -0.188, 'z': 172.75, 'watertmp': 17.4, 'depth': -0.0, 'thr0': 13.033, 'thr1': -273.15, 'thr2': 12.441, 'thr3': 12.539, 'thr4': 12.342, 'thr5': 13.23, 'cur0': 1.4, 'cur1': 0.1, 'cur2': 1.3, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.7, 'cel3': 2.2, 'cel4': 2.5, 'cel5': 2.7, 'rot0': 34, 'rot1': 36, 'rot2': 488, 'rot3': 545, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 999}
{'time': 1072, 'x': 183.563, 'y': -0.188, 'z': 172.75, 'watertmp': 17.4, 'depth': -0.0, 'thr0': 13.329, 'thr1': -273.15, 'thr2': 12.638, 'thr3': 12.737, 'thr4': 12.638, 'thr5': 13.526, 'cur0': 1.3, 'cur1': 0.1, 'cur2': 1.3, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.6, 'cel3': 2.1, 'cel4': 2.4, 'cel5': 2.6, 'rot0': 40, 'rot1': 40, 'rot2': 525, 'rot3': 581, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1083}
{'time': 1157, 'x': 183.563, 'y': -0.188, 'z': 172.75, 'watertmp': 17.4, 'depth': -0.0, 'thr0': 13.033, 'thr1': -273.15, 'thr2': 12.539, 'thr3': 12.539, 'thr4': 12.638, 'thr5': 13.427, 'cur0': 1.3, 'cur1': 0.1, 'cur2': 1.3, 'cel0': 0.0, 'cel1': 0.9, 'cel2': 1.6, 'cel3': 2.1, 'cel4': 2.4, 'cel5': 2.5, 'rot0': 42, 'rot1': 44, 'rot2': 555, 'rot3': 632, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1168}
{'time': 1241, 'x': 183.563, 'y': -0.188, 'z': 172.75, 'watertmp': 17.4, 'depth': -0.0, 'thr0': 13.033, 'thr1': -273.15, 'thr2': 12.441, 'thr3': 12.638, 'thr4': 12.539, 'thr5': 13.427, 'cur0': 1.3, 'cur1': 0.1, 'cur2': 1.2, 'cel0': 0.0, 'cel1': 0.9, 'cel2': 1.6, 'cel3': 2.0, 'cel4': 2.3, 'cel5': 2.5, 'rot0': 45, 'rot1': 47, 'rot2': 607, 'rot3': 687, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1252}
{'time': 1327, 'x': 183.563, 'y': -0.188, 'z': 172.75, 'watertmp': 17.4, 'depth': -0.0, 'thr0': 13.033, 'thr1': -273.15, 'thr2': 12.638, 'thr3': 12.638, 'thr4': 12.539, 'thr5': 13.427, 'cur0': 1.3, 'cur1': 0.1, 'cur2': 1.3, 'cel0': 0.0, 'cel1': 0.9, 'cel2': 1.5, 'cel3': 2.0, 'cel4': 2.3, 'cel5': 2.4, 'rot0': 49, 'rot1': 52, 'rot2': 645, 'rot3': 725, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1337}
{'time': 1410, 'x': 183.563, 'y': -0.188, 'z': 172.75, 'watertmp': 17.4, 'depth': -0.0, 'thr0': 13.033, 'thr1': -273.15, 'thr2': 12.638, 'thr3': 12.638, 'thr4': 12.539, 'thr5': 13.427, 'cur0': 1.3, 'cur1': 0.1, 'cur2': 1.3, 'cel0': 0.0, 'cel1': 0.9, 'cel2': 1.5, 'cel3': 2.0, 'cel4': 2.3, 'cel5': 2.4, 'rot0': 52, 'rot1': 56, 'rot2': 676, 'rot3': 761, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1421}
{'time': 1495, 'x': 183.563, 'y': -0.188, 'z': 172.75, 'watertmp': 17.4, 'depth': -0.0, 'thr0': 13.132, 'thr1': -273.15, 'thr2': 12.441, 'thr3': 12.737, 'thr4': 12.638, 'thr5': 13.526, 'cur0': 1.3, 'cur1': 0.1, 'cur2': 1.2, 'cel0': 0.0, 'cel1': 0.9, 'cel2': 1.5, 'cel3': 2.0, 'cel4': 2.2, 'cel5': 2.4, 'rot0': 54, 'rot1': 60, 'rot2': 730, 'rot3': 816, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1507}
{'time': 1580, 'x': 183.563, 'y': -0.188, 'z': 172.75, 'watertmp': 17.4, 'depth': -0.0, 'thr0': 13.23, 'thr1': -273.15, 'thr2': 12.638, 'thr3': 12.836, 'thr4': 12.638, 'thr5': 13.624, 'cur0': 1.3, 'cur1': 0.1, 'cur2': 1.3, 'cel0': 0.0, 'cel1': 0.9, 'cel2': 1.5, 'cel3': 1.9, 'cel4': 2.2, 'cel5': 2.4, 'rot0': 57, 'rot1': 66, 'rot2': 766, 'rot3': 871, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1591}
{'time': 1664, 'x': 183.563, 'y': -0.188, 'z': 172.75, 'watertmp': 17.4, 'depth': -0.0, 'thr0': 13.132, 'thr1': -273.15, 'thr2': 12.539, 'thr3': 12.539, 'thr4': 12.539, 'thr5': 13.329, 'cur0': 1.3, 'cur1': 0.1, 'cur2': 1.2, 'cel0': 0.0, 'cel1': 0.9, 'cel2': 1.5, 'cel3': 1.9, 'cel4': 2.2, 'cel5': 2.3, 'rot0': 60, 'rot1': 72, 'rot2': 798, 'rot3': 905, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1675}
