{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1082, 'x': 179.625, 'y': 0.0, 'z': 172.0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1082, 'x': 179.625, 'y': 0.0, 'z': 172.0, 'watertmp': 25.7}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1082, 'x': 179.625, 'y': 0.0, 'z': 172.0, 'watertmp': 25.7, 'depth': 0.0, 'thr0': 18.144}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1082, 'x': 179.625, 'y': 0.0, 'z': 172.0, 'watertmp': 25.7, 'depth': 0.0, 'thr0': 18.144, 'thr1': -273.15, 'thr2': 18.34}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1082, 'x': 179.625, 'y': 0.0, 'z': 172.0, 'watertmp': 25.7, 'depth': 0.0, 'thr0': 18.144, 'thr1': -273.15, 'thr2': 18.34, 'thr3': 18.635}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1082, 'x': 179.625, 'y': 0.0, 'z': 172.0, 'watertmp': 25.7, 'depth': 0.0, 'thr0': 18.144, 'thr1': -273.15, 'thr2': 18.34, 'thr3': 18.635, 'thr4': 18.537}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1082, 'x': 179.625, 'y': 0.0, 'z': 172.0, 'watertmp': 25.7, 'depth': 0.0, 'thr0': 18.144, 'thr1': -273.15, 'thr2': 18.34, 'thr3': 18.635, 'thr4': 18.537, 'thr5': 17.947, 'cur0': 0.0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1082, 'x': 179.625, 'y': 0.0, 'z': 172.0, 'watertmp': 25.7, 'depth': 0.0, 'thr0': 18.144, 'thr1': -273.15, 'thr2': 18.34, 'thr3': 18.635, 'thr4': 18.537, 'thr5': 17.947, 'cur0': 0.0, 'cur1': 0.0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1082, 'x': 179.625, 'y': 0.0, 'z': 172.0, 'watertmp': 25.7, 'depth': 0.0, 'thr0': 18.144, 'thr1': -273.15, 'thr2': 18.34, 'thr3': 18.635, 'thr4': 18.537, 'thr5': 17.947, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.6}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1082, 'x': 179.625, 'y': 0.0, 'z': 172.0, 'watertmp': 25.7, 'depth': 0.0, 'thr0': 18.144, 'thr1': -273.15, 'thr2': 18.34, 'thr3': 18.635, 'thr4': 18.537, 'thr5': 17.947, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.6, 'cel2': 6.3}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1082, 'x': 179.625, 'y': 0.0, 'z': 172.0, 'watertmp': 25.7, 'depth': 0.0, 'thr0': 18.144, 'thr1': -273.15, 'thr2': 18.34, 'thr3': 18.635, 'thr4': 18.537, 'thr5': 17.947, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.6, 'cel2': 6.3, 'cel3': 5.7, 'cel4': 5.1, 'cel5': 4.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1082, 'x': 179.625, 'y': 0.0, 'z': 172.0, 'watertmp': 25.7, 'depth': 0.0, 'thr0': 18.144, 'thr1': -273.15, 'thr2': 18.34, 'thr3': 18.635, 'thr4': 18.537, 'thr5': 17.947, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.6, 'cel2': 6.3, 'cel3': 5.7, 'cel4': 5.1, 'cel5': 4.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1447, 'x': 179.625, 'y': 0.0, 'z': 172.0, 'watertmp': 25.7, 'depth': 0.0, 'thr0': 17.849, 'thr1': -273.15, 'thr2': 18.144, 'thr3': 18.34, 'thr4': 18.34, 'thr5': 17.947, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.6, 'cel2': 6.3, 'cel3': 5.7, 'cel4': 5.1, 'cel5': 4.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1447, 'x': 179.625, 'y': 0.0, 'z': 172.0, 'watertmp': 25.7, 'depth': 0.0, 'thr0': 17.849, 'thr1': -273.15, 'thr2': 18.144, 'thr3': 18.34, 'thr4': 18.34, 'thr5': 17.751, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.6, 'cel2': 6.4, 'cel3': 5.7, 'cel4': 5.1, 'cel5': 4.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1447, 'x': 179.625, 'y': 0.0, 'z': 172.0, 'watertmp': 25.7, 'depth': 0.0, 'thr0': 17.849, 'thr1': -273.15, 'thr2': 18.144, 'thr3': 18.34, 'thr4': 18.34, 'thr5': 17.751, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.6, 'cel2': 6.4, 'cel3': 5.7, 'cel4': 5.1, 'cel5': 4.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1810, 'x': 179.625, 'y': 0.0, 'z': 172.0, 'watertmp': 25.7, 'depth': 0.0, 'thr0': 18.242, 'thr1': -273.15, 'thr2': 18.144, 'thr3': 18.34, 'thr4': 18.34, 'thr5': 17.751, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.6, 'cel2': 6.4, 'cel3': 5.7, 'cel4': 5.1, 'cel5': 4.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1458}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1810, 'x': 179.625, 'y': 0.0, 'z': 172.0, 'watertmp': 25.7, 'depth': 0.0, 'thr0': 18.242, 'thr1': -273.15, 'thr2': 18.537, 'thr3': 18.635, 'thr4': 18.635, 'thr5': 17.751, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.6, 'cel2': 6.4, 'cel3': 5.7, 'cel4': 5.1, 'cel5': 4.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1458}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1810, 'x': 179.625, 'y': 0.0, 'z': 172.0, 'watertmp': 25.7, 'depth': 0.0, 'thr0': 18.242, 'thr1': -273.15, 'thr2': 18.537, 'thr3': 18.635, 'thr4': 18.635, 'thr5': 18.34, 'cur0': 2.8, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.6, 'cel2': 6.4, 'cel3': 5.7, 'cel4': 5.1, 'cel5': 4.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1458}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1810, 'x': 179.625, 'y': 0.0, 'z': 172.0, 'watertmp': 25.7, 'depth': 0.0, 'thr0': 18.242, 'thr1': -273.15, 'thr2': 18.537, 'thr3': 18.635, 'thr4': 18.635, 'thr5': 18.34, 'cur0': 2.8, 'cur1': 0.0, 'cur2': 2.8, 'cel0': 11.1, 'cel1': 7.6, 'cel2': 6.4, 'cel3': 5.7, 'cel4': 5.1, 'cel5': 4.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1458}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1810, 'x': 179.625, 'y': 0.0, 'z': 172.0, 'watertmp': 25.7, 'depth': 0.0, 'thr0': 18.242, 'thr1': -273.15, 'thr2': 18.537, 'thr3': 18.635, 'thr4': 18.635, 'thr5': 18.34, 'cur0': 2.8, 'cur1': 0.0, 'cur2': 2.8, 'cel0': 11.1, 'cel1': 7.6, 'cel2': 6.5, 'cel3': 5.9, 'cel4': 5.4, 'cel5': 4.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1458}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1810, 'x': 179.625, 'y': 0.0, 'z': 172.0, 'watertmp': 25.7, 'depth': 0.0, 'thr0': 18.242, 'thr1': -273.15, 'thr2': 18.537, 'thr3': 18.635, 'thr4': 18.635, 'thr5': 18.34, 'cur0': 2.8, 'cur1': 0.0, 'cur2': 2.8, 'cel0': 11.1, 'cel1': 7.6, 'cel2': 6.5, 'cel3': 5.9, 'cel4': 5.4, 'cel5': 5.1, 'rot0': 8, 'rot1': 10, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1458}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1810, 'x': 179.625, 'y': 0.0, 'z': 172.0, 'watertmp': 25.7, 'depth': 0.0, 'thr0': 18.242, 'thr1': -273.15, 'thr2': 18.537, 'thr3': 18.635, 'thr4': 18.635, 'thr5': 18.34, 'cur0': 2.8, 'cur1': 0.0, 'cur2': 2.8, 'cel0': 11.1, 'cel1': 7.6, 'cel2': 6.5, 'cel3': 5.9, 'cel4': 5.4, 'cel5': 5.1, 'rot0': 8, 'rot1': 10, 'rot2': 130, 'rot3': 134, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1821}
