{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1082, 'x': 177.688, 'y': 0.125, 'z': 172.063}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1082, 'x': 177.688, 'y': 0.125, 'z': 172.063, 'watertmp': 25.6}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1082, 'x': 177.688, 'y': 0.125, 'z': 172.063, 'watertmp': 25.6, 'depth': 0.0, 'thr0': 18.832}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1082, 'x': 177.688, 'y': 0.125, 'z': 172.063, 'watertmp': 25.6, 'depth': 0.0, 'thr0': 18.832, 'thr1': -273.15}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1082, 'x': 177.688, 'y': 0.125, 'z': 172.063, 'watertmp': 25.6, 'depth': 0.0, 'thr0': 18.832, 'thr1': -273.15, 'thr2': 18.93, 'thr3': 19.324, 'thr4': 19.324, 'thr5': 18.635, 'cur0': 0.0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1082, 'x': 177.688, 'y': 0.125, 'z': 172.063, 'watertmp': 25.6, 'depth': 0.0, 'thr0': 18.832, 'thr1': -273.15, 'thr2': 18.93, 'thr3': 19.324, 'thr4': 19.324, 'thr5': 18.635, 'cur0': 0.0, 'cur1': 0.0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1082, 'x': 177.688, 'y': 0.125, 'z': 172.063, 'watertmp': 25.6, 'depth': 0.0, 'thr0': 18.832, 'thr1': -273.15, 'thr2': 18.93, 'thr3': 19.324, 'thr4': 19.324, 'thr5': 18.635, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.6}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1082, 'x': 177.688, 'y': 0.125, 'z': 172.063, 'watertmp': 25.6, 'depth': 0.0, 'thr0': 18.832, 'thr1': -273.15, 'thr2': 18.93, 'thr3': 19.324, 'thr4': 19.324, 'thr5': 18.635, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.6, 'cel2': 6.3, 'cel3': 5.7, 'cel4': 5.1, 'cel5': 4.8, 'rot0': 0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1082, 'x': 177.688, 'y': 0.125, 'z': 172.063, 'watertmp': 25.6, 'depth': 0.0, 'thr0': 18.832, 'thr1': -273.15, 'thr2': 18.93, 'thr3': 19.324, 'thr4': 19.324, 'thr5': 18.635, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.6, 'cel2': 6.3, 'cel3': 5.7, 'cel4': 5.1, 'cel5': 4.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1082, 'x': 177.688, 'y': 0.125, 'z': 172.063, 'watertmp': 25.6, 'depth': 0.0, 'thr0': 18.832, 'thr1': -273.15, 'thr2': 18.93, 'thr3': 19.324, 'thr4': 19.324, 'thr5': 18.635, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.6, 'cel2': 6.3, 'cel3': 5.7, 'cel4': 5.1, 'cel5': 4.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1447, 'x': 177.688, 'y': 0.125, 'z': 172.063, 'watertmp': 25.6, 'depth': 0.0, 'thr0': 18.832, 'thr1': -273.15, 'thr2': 18.93, 'thr3': 19.324, 'thr4': 19.324, 'thr5': 18.635, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.6, 'cel2': 6.3, 'cel3': 5.7, 'cel4': 5.1, 'cel5': 4.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1447, 'x': 177.688, 'y': 0.125, 'z': 172.063, 'watertmp': 25.6, 'depth': 0.0, 'thr0': 18.537, 'thr1': -273.15, 'thr2': 18.733, 'thr3': 19.029, 'thr4': 19.029, 'thr5': 18.537, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.6, 'cel2': 6.3, 'cel3': 5.7, 'cel4': 5.1, 'cel5': 4.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1447, 'x': 177.688, 'y': 0.125, 'z': 172.063, 'watertmp': 25.6, 'depth': 0.0, 'thr0': 18.537, 'thr1': -273.15, 'thr2': 18.733, 'thr3': 19.029, 'thr4': 19.029, 'thr5': 18.537, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.6, 'cel2': 6.4, 'cel3': 5.7, 'cel4': 5.1, 'cel5': 4.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1447, 'x': 177.688, 'y': 0.125, 'z': 172.063, 'watertmp': 25.6, 'depth': 0.0, 'thr0': 18.537, 'thr1': -273.15, 'thr2': 18.733, 'thr3': 19.029, 'thr4': 19.029, 'thr5': 18.537, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.6, 'cel2': 6.4, 'cel3': 5.7, 'cel4': 5.1, 'cel5': 4.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1458}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1810, 'x': 177.688, 'y': 0.125, 'z': 172.063, 'watertmp': 25.6, 'depth': 0.0, 'thr0': 18.537, 'thr1': -273.15, 'thr2': 18.733, 'thr3': 19.029, 'thr4': 19.029, 'thr5': 18.537, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.6, 'cel2': 6.4, 'cel3': 5.7, 'cel4': 5.1, 'cel5': 4.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1458}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1810, 'x': 177.688, 'y': 0.125, 'z': 172.063, 'watertmp': 25.6, 'depth': 0.0, 'thr0': 18.537, 'thr1': -273.15, 'thr2': 18.635, 'thr3': 18.832, 'thr4': 19.029, 'thr5': 18.537, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.6, 'cel2': 6.4, 'cel3': 5.7, 'cel4': 5.1, 'cel5': 4.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1458}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1810, 'x': 177.688, 'y': 0.125, 'z': 172.063, 'watertmp': 25.6, 'depth': 0.0, 'thr0': 18.537, 'thr1': -273.15, 'thr2': 18.635, 'thr3': 18.832, 'thr4': 18.93, 'thr5': 18.242, 'cur0': 2.6, 'cur1': 0.0, 'cur2': 2.8, 'cel0': 11.3, 'cel1': 7.6, 'cel2': 6.5, 'cel3': 5.9, 'cel4': 5.1, 'cel5': 4.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1458}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1810, 'x': 177.688, 'y': 0.125, 'z': 172.063, 'watertmp': 25.6, 'depth': 0.0, 'thr0': 18.537, 'thr1': -273.15, 'thr2': 18.635, 'thr3': 18.832, 'thr4': 18.93, 'thr5': 18.242, 'cur0': 2.6, 'cur1': 0.0, 'cur2': 2.8, 'cel0': 11.3, 'cel1': 7.6, 'cel2': 6.5, 'cel3': 5.9, 'cel4': 5.3, 'cel5': 5.1, 'rot0': 8, 'rot1': 12, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1458}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1810, 'x': 177.688, 'y': 0.125, 'z': 172.063, 'watertmp': 25.6, 'depth': 0.0, 'thr0': 18.537, 'thr1': -273.15, 'thr2': 18.635, 'thr3': 18.832, 'thr4': 18.93, 'thr5': 18.242, 'cur0': 2.6, 'cur1': 0.0, 'cur2': 2.8, 'cel0': 11.3, 'cel1': 7.6, 'cel2': 6.5, 'cel3': 5.9, 'cel4': 5.3, 'cel5': 5.1, 'rot0': 8, 'rot1': 12, 'rot2': 159, 'rot3': 138, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1458}
{'lat': 'n/a', 'lon': 'n/a', 'time': 2180, 'x': 177.688, 'y': 0.125, 'z': 172.063, 'watertmp': 25.6, 'depth': 0.0, 'thr0': 18.733, 'thr1': -273.15, 'thr2': 18.733, 'thr3': 19.127, 'thr4': 19.226, 'thr5': 18.242, 'cur0': 2.6, 'cur1': 0.0, 'cur2': 2.8, 'cel0': 11.3, 'cel1': 7.6, 'cel2': 6.5, 'cel3': 5.9, 'cel4': 5.3, 'cel5': 5.1, 'rot0': 8, 'rot1': 12, 'rot2': 159, 'rot3': 138, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1821}
