{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 26.22158393, 'lon': 127.668022935}
{'lat': 26.22158393, 'lon': 127.668022935, 'time': 1073, 'x': 187.375}
{'lat': 26.22158393, 'lon': 127.668022935, 'time': 1073, 'x': 187.375, 'y': -0.188, 'z': 169.75, 'watertmp': 26.5, 'depth': 0.3, 'thr0': 27.964}
{'lat': 26.22158393, 'lon': 127.668022935, 'time': 1073, 'x': 187.375, 'y': -0.188, 'z': 169.75, 'watertmp': 26.5, 'depth': 0.3, 'thr0': 27.964, 'thr1': -273.15, 'thr2': 32.946}
{'lat': 26.22158393, 'lon': 127.668022935, 'time': 1073, 'x': 187.375, 'y': -0.188, 'z': 169.75, 'watertmp': 26.5, 'depth': 0.3, 'thr0': 27.964, 'thr1': -273.15, 'thr2': 32.946, 'thr3': 35.944, 'thr4': 28.482}
{'lat': 26.22158393, 'lon': 127.668022935, 'time': 1073, 'x': 187.375, 'y': -0.188, 'z': 169.75, 'watertmp': 26.5, 'depth': 0.3, 'thr0': 27.964, 'thr1': -273.15, 'thr2': 32.946, 'thr3': 35.944, 'thr4': 28.482, 'thr5': 29.212, 'cur0': 0.0, 'cur1': 0.0}
{'lat': 26.22158393, 'lon': 127.668022935, 'time': 1073, 'x': 187.375, 'y': -0.188, 'z': 169.75, 'watertmp': 26.5, 'depth': 0.3, 'thr0': 27.964, 'thr1': -273.15, 'thr2': 32.946, 'thr3': 35.944, 'thr4': 28.482, 'thr5': 29.212, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.9, 'cel1': 7.7}
{'lat': 26.22158393, 'lon': 127.668022935, 'time': 1073, 'x': 187.375, 'y': -0.188, 'z': 169.75, 'watertmp': 26.5, 'depth': 0.3, 'thr0': 27.964, 'thr1': -273.15, 'thr2': 32.946, 'thr3': 35.944, 'thr4': 28.482, 'thr5': 29.212, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.9, 'cel1': 7.7, 'cel2': 6.0, 'cel3': 5.3, 'cel4': 4.4, 'cel5': 4.0}
{'lat': 26.22158393, 'lon': 127.668022935, 'time': 1073, 'x': 187.375, 'y': -0.188, 'z': 169.75, 'watertmp': 26.5, 'depth': 0.3, 'thr0': 27.964, 'thr1': -273.15, 'thr2': 32.946, 'thr3': 35.944, 'thr4': 28.482, 'thr5': 29.212, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.9, 'cel1': 7.7, 'cel2': 6.0, 'cel3': 5.3, 'cel4': 4.4, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0}
{'lat': 26.22158393, 'lon': 127.668022935, 'time': 1073, 'x': 187.375, 'y': -0.188, 'z': 169.75, 'watertmp': 26.5, 'depth': 0.3, 'thr0': 27.964, 'thr1': -273.15, 'thr2': 32.946, 'thr3': 35.944, 'thr4': 28.482, 'thr5': 29.212, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.9, 'cel1': 7.7, 'cel2': 6.0, 'cel3': 5.3, 'cel4': 4.4, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0}
{'lat': 26.22158393, 'lon': 127.668022935, 'time': 1073, 'x': 187.375, 'y': -0.188, 'z': 169.75, 'watertmp': 26.5, 'depth': 0.3, 'thr0': 27.964, 'thr1': -273.15, 'thr2': 32.946, 'thr3': 35.944, 'thr4': 28.482, 'thr5': 29.212, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.9, 'cel1': 7.7, 'cel2': 6.0, 'cel3': 5.3, 'cel4': 4.4, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0}
{'lat': 26.22158393, 'lon': 127.668022935, 'time': 1073, 'x': 187.375, 'y': -0.188, 'z': 169.75, 'watertmp': 26.5, 'depth': 0.3, 'thr0': 27.964, 'thr1': -273.15, 'thr2': 32.946, 'thr3': 35.944, 'thr4': 28.482, 'thr5': 29.212, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.9, 'cel1': 7.7, 'cel2': 6.0, 'cel3': 5.3, 'cel4': 4.4, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1082}
{'lat': 26.22158393, 'lon': 127.668022935, 'time': 1437, 'x': 187.063, 'y': -0.438, 'z': 172.75, 'watertmp': 26.5, 'depth': 0.3, 'thr0': 27.964, 'thr1': -273.15, 'thr2': 32.946, 'thr3': 35.944, 'thr4': 28.482, 'thr5': 29.212, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.9, 'cel1': 7.7, 'cel2': 6.0, 'cel3': 5.3, 'cel4': 4.4, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1082}
{'lat': 26.22158393, 'lon': 127.668022935, 'time': 1437, 'x': 187.063, 'y': -0.438, 'z': 172.75, 'watertmp': 26.5, 'depth': 0.2, 'thr0': 28.275, 'thr1': -273.15, 'thr2': 33.055, 'thr3': 36.057, 'thr4': 28.378, 'thr5': 29.108, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.9, 'cel1': 7.7, 'cel2': 6.0, 'cel3': 5.3, 'cel4': 4.4, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1082}
{'lat': 26.22158393, 'lon': 127.668022935, 'time': 1804, 'x': 186.625, 'y': -0.5, 'z': 173.813, 'watertmp': 26.5, 'depth': 0.3, 'thr0': 28.275, 'thr1': -273.15, 'thr2': 33.055, 'thr3': 36.057, 'thr4': 28.378, 'thr5': 29.108, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.9, 'cel1': 7.7, 'cel2': 6.1, 'cel3': 5.3, 'cel4': 4.4, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1447}
{'lat': 26.22158393, 'lon': 127.668022935, 'time': 1804, 'x': 186.625, 'y': -0.5, 'z': 173.813, 'watertmp': 26.5, 'depth': 0.3, 'thr0': 28.067, 'thr1': -273.15, 'thr2': 32.946, 'thr3': 35.492, 'thr4': 28.275, 'thr5': 29.108, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.9, 'cel1': 7.7, 'cel2': 6.1, 'cel3': 5.3, 'cel4': 4.4, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1447}
{'lat': 26.22158393, 'lon': 127.668022935, 'time': 1804, 'x': 186.625, 'y': -0.5, 'z': 173.813, 'watertmp': 26.5, 'depth': 0.3, 'thr0': 28.067, 'thr1': -273.15, 'thr2': 32.946, 'thr3': 35.492, 'thr4': 28.275, 'thr5': 29.422, 'cur0': 4.0, 'cur1': 0.3, 'cur2': 5.3, 'cel0': 11.9, 'cel1': 7.7, 'cel2': 6.1, 'cel3': 5.3, 'cel4': 4.4, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1447}
{'lat': 26.22158393, 'lon': 127.668022935, 'time': 1804, 'x': 186.625, 'y': -0.5, 'z': 173.813, 'watertmp': 26.5, 'depth': 0.3, 'thr0': 28.067, 'thr1': -273.15, 'thr2': 32.946, 'thr3': 35.492, 'thr4': 28.275, 'thr5': 29.422, 'cur0': 4.0, 'cur1': 0.3, 'cur2': 5.3, 'cel0': 11.3, 'cel1': 8.2, 'cel2': 6.5, 'cel3': 5.7, 'cel4': 4.8, 'cel5': 4.4, 'rot0': 8, 'rot1': 79, 'rot2': 100, 'rot3': 90, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1447}
{'lat': 26.22158393, 'lon': 127.668022935, 'time': 1804, 'x': 186.625, 'y': -0.5, 'z': 173.813, 'watertmp': 26.5, 'depth': 0.3, 'thr0': 28.067, 'thr1': -273.15, 'thr2': 32.946, 'thr3': 35.492, 'thr4': 28.275, 'thr5': 29.422, 'cur0': 4.0, 'cur1': 0.3, 'cur2': 5.3, 'cel0': 11.3, 'cel1': 8.2, 'cel2': 6.5, 'cel3': 5.7, 'cel4': 4.8, 'cel5': 4.4, 'rot0': 8, 'rot1': 79, 'rot2': 100, 'rot3': 90, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1815}
{'lat': 26.221586367, 'lon': 127.668015013, 'time': 1804, 'x': 186.625, 'y': -0.5, 'z': 173.813, 'watertmp': 26.5, 'depth': 0.3, 'thr0': 28.067, 'thr1': -273.15, 'thr2': 32.946, 'thr3': 35.492, 'thr4': 28.275, 'thr5': 29.422, 'cur0': 4.0, 'cur1': 0.3, 'cur2': 5.3, 'cel0': 11.3, 'cel1': 8.2, 'cel2': 6.5, 'cel3': 5.7, 'cel4': 4.8, 'cel5': 4.4, 'rot0': 8, 'rot1': 79, 'rot2': 100, 'rot3': 90, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1815}
{'lat': 26.221586367, 'lon': 127.668015013, 'time': 2172, 'x': 187.313, 'y': -0.875, 'z': 173.813, 'watertmp': 26.5, 'depth': 0.3, 'thr0': 28.067, 'thr1': -273.15, 'thr2': 32.946, 'thr3': 35.492, 'thr4': 28.275, 'thr5': 29.422, 'cur0': 4.0, 'cur1': 0.3, 'cur2': 5.3, 'cel0': 11.3, 'cel1': 8.2, 'cel2': 6.5, 'cel3': 5.7, 'cel4': 4.8, 'cel5': 4.4, 'rot0': 8, 'rot1': 79, 'rot2': 100, 'rot3': 90, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1815}
